baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g10889.t2	38.8688909433121	8.98391839284946	1.99658393849452	4.49964472799655	6.80671248398758e-06	0.0135589712681033
g11911.t3	34.2471286607883	-8.13933069749727	1.93023539466707	-4.21675549002205	2.47842455113667e-05	0.0215577215680307
g12065.t1	141.832450729294	-6.76077424638751	1.6325126681452	-4.14133034206028	3.4529723288896e-05	0.0249474507637025
g1379.t1	41.3761183729063	-8.39300316970644	1.70746639373947	-4.91547195334555	8.85688302790153e-07	0.00247000753882118
g14334.t1	29.5761628827342	-3.30919202334178	0.618738290854487	-5.3482903389925	8.87889515424717e-08	0.000412691046769408
g14455.t1	29.6423147847128	5.60074744466761	1.12049845929575	4.99844278963823	5.77951484578557e-07	0.00201473887524085
g15386.t1	53.9466397861759	-8.78588388795956	1.24464468122474	-7.05894944998614	1.67766083307348e-12	2.33933026563766e-08
g15687.t1	1453.95773971528	2.12969313807319	0.503520536747514	4.22960531427361	2.34101667324982e-05	0.0215577215680307
g15844.t2	60.5549867605689	4.4564588386663	1.13868682320738	3.9136826279535	9.08990927387085e-05	0.038408998459047
g1626.t1	52.2081073355726	-4.53108170852911	1.13080508041479	-4.00695202648636	6.15073500535471e-05	0.0326591411477136
g16843.t2	6.11402009597115	5.15036949583091	1.24950495989427	4.12192801240799	3.75714619935278e-05	0.0249474507637025
g16843.t3	6.11402009597115	5.15036949583091	1.24950495989427	4.12192801240799	3.75714619935278e-05	0.0249474507637025
g17130.t1	6.97184246101259	6.56903500748928	1.64938874625063	3.98270875948554	6.81342307232678e-05	0.0337895560362611
g17289.t1	17.5581315329913	3.91870569173425	0.91605667980646	4.27779828270253	1.8875094293658e-05	0.0215577215680307
g18378.t1	175.021886103382	3.06280987882799	0.759570032168629	4.03229425742803	5.52349655012451e-05	0.0320915149562234
g19162.t1	33.6854634148267	-2.7070763177421	0.655697157283313	-4.12854667383045	3.65063342472e-05	0.0249474507637025
g19879.t5	20.3169286720704	-7.39216753089391	1.75845392813235	-4.203788005265	2.62484792686154e-05	0.0215577215680307
g20813.t1	65.1465879088176	-7.12603805220366	1.66220411344949	-4.28710168296681	1.81019445385661e-05	0.0215577215680307
g21584.t1	12.371651369815	-6.61864415651769	1.6952052025294	-3.90433214022826	9.44859452826371e-05	0.0387503535594439
g22328.t1	8.92972838013905	-5.52491215230614	1.40155737502654	-3.94198072141107	8.08114734389842e-05	0.0375611728544399
g23015.t1	349.082722343261	6.6660958282716	1.53576887795097	4.34055926251452	1.42120531225672e-05	0.0215577215680307
g23167.t1	25.9312715451925	-2.9008885747581	0.648991703800376	-4.46983922563421	7.82784159328461e-06	0.0136439278970951
g241.t2	42.5739319488729	-8.4421256808261	2.05932902316156	-4.0994545242049	4.14125029412734e-05	0.026247997318778
g24160.t1	711.129971637912	-7.291087369722	1.58938011653144	-4.58737799339884	4.48847576770149e-06	0.0104312176841383
g2494.t3	42.8416273257029	-8.45579534592411	1.99679251950069	-4.23468901417887	2.28868211946681e-05	0.0215577215680307
g2621.t1	18.0153401391886	5.3096475461758	0.899389182948492	5.90361508326022	3.55621346715328e-09	2.47939202929927e-05
g350.t2	17.7308626678115	-4.918893208375	1.25394997975465	-3.92271883870315	8.75553051149572e-05	0.038408998459047
g3686.t1	33.2538723183802	4.40668081607107	1.0816584570218	4.0740039403975	4.62116989741541e-05	0.0280163448041568
g3871.t1	935.716803672576	-5.68292109674659	1.35195106594335	-4.20349614708963	2.62823627837437e-05	0.0215577215680307
g5240.t1	41.2111902864998	5.4332874407641	1.3667420010941	3.97535704354929	7.0273746776504e-05	0.0337895560362611
g6052.t1	37.5171371087422	2.10468782864108	0.537095865098101	3.91864463200933	8.90482898328454e-05	0.038408998459047
g6328.t1	54.9637967315486	-3.30541426769831	0.780150271222211	-4.23689433898412	2.26632719158088e-05	0.0215577215680307
g7040.t1	13.7429698291123	7.49186043349894	1.95178700408138	3.83846209541959	0.000123807321822236	0.049195803399855
g7548.t1	23.4148541464568	-6.90781082677179	1.72505929381286	-4.00439037170925	6.21776168845704e-05	0.0326591411477136
g8752.t1	57.2597842742583	-2.51869428782314	0.629612339531062	-4.00038901667505	6.32384402602028e-05	0.0326591411477136
g9984.t1	227.202411241734	4.08458348302393	1.06586355099583	3.83218234567431	0.000127011540619247	0.049195803399855
