Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
PSC-19_hisat	23469776	23469776	5514135	17417781	537860	56686	8664387	2119843	130668	81.54	65334.0	4332193.5	1059921.5
PSC-23_hisat	23607269	23607269	6050191	16913845	643233	52978	9778609	2083829	131988	79.29	65994.0	4889304.5	1041914.5
PSC-24_hisat	22748556	22748556	6910426	15324432	513698	54423	11517426	2066491	128089	74.69	64044.5	5758713.0	1033245.5
PSC-34_hisat	28383132	28383132	25692237	2622352	68543	7410	50936478	367006	66170	10.27	33085.0	25468239.0	183503.0
PSC-35_hisat	26379746	26379746	22463329	3813374	103043	9848	44246059	603539	57364	16.14	28682.0	22123029.5	301769.5
PSC-36_hisat	21277746	21277746	16506282	4611691	159773	14637	32219057	683886	80347	24.29	40173.5	16109528.5	341943.0
PSC-37_hisat	17154009	17154009	15522220	1594962	36827	4391	30808539	207687	19432	10.2	9716.0	15404269.5	103843.5
PSC-38_hisat	28364962	28364962	25367174	2933340	64448	7260	50180259	496709	42860	11.55	21430.0	25090129.5	248354.5
PSC-39_hisat	22631446	22631446	19564005	2935222	132219	8881	38452365	570952	86931	15.05	43465.5	19226182.5	285476.0
PSC-40_hisat	21152503	21152503	18457473	2633171	61859	6735	36432093	424243	45140	13.88	22570.0	18216046.5	212121.5
PSC-42_hisat	20804015	20804015	5289929	14976522	537564	51256	8167195	2160878	149273	80.37	74636.5	4083597.5	1080439.0
PSC-43_hisat	22105954	22105954	5142974	16381199	581781	52228	7984534	2078614	118344	81.94	59172.0	3992267.0	1039307.0
PSC-48_hisat	19277387	19277387	5182242	13656318	438827	38407	8337411	1836502	113757	78.38	56878.5	4168705.5	918251.0
PSC-49_hisat	21854798	21854798	6057409	15314498	482891	47050	9749196	2144116	127406	77.7	63703.0	4874598.0	1072058.0
PSC-52_hisat	22093640	22093640	5710208	15815757	567675	48894	9049534	2136461	136633	79.52	68316.5	4524767.0	1068230.5
PSC-54_hisat	25091718	25091718	6183365	18266410	641943	52770	9831218	2275774	154198	80.41	77099.0	4915609.0	1137887.0
PSC-56_hisat	20798136	20798136	6237508	14110835	449793	41630	10419428	1864189	108139	74.95	54069.5	5209714.0	932094.5
PSC-57_hisat	22483440	22483440	4945353	17033841	504246	52240	7472781	2205115	108330	83.38	54165.0	3736390.5	1102557.5
PSC-58_hisat	22500789	22500789	5729548	16178183	593058	55980	8901818	2282550	162768	80.22	81384.0	4450909.0	1141275.0
PSC-59_hisat	22471547	22471547	6060086	15948140	463321	49690	9815414	2095789	109589	78.16	54794.5	4907707.0	1047894.5
PSC-61_hisat	19883194	19883194	5323832	14095392	463970	47382	8397069	2036269	119562	78.88	59781.0	4198534.5	1018134.5
PSC-63_hisat	21332723	21332723	5344698	15465758	522267	42221	8302001	2155684	147269	80.54	73634.5	4151000.5	1077842.0
PSC-64_hisat	24101501	24101501	5989294	17465655	646552	54428	9283517	2411493	174722	80.74	87361.0	4641758.5	1205746.5
PSC-67_hisat	24528314	24528314	6840291	17071472	616551	51432	11071000	2348016	158702	77.43	79351.0	5535500.0	1174008.0
PSC-69_hisat	22802409	22802409	6305897	15971305	525207	48746	10015912	2353094	145296	78.04	72648.0	5007956.0	1176547.0
PSC-71_hisat	26600124	26600124	7250188	18704788	645148	56612	11776081	2460681	150390	77.86	75195.0	5888040.5	1230340.5
PSC-73_hisat	25168443	25168443	6622856	17913615	631972	57023	10339608	2614198	177860	79.46	88930.0	5169804.0	1307099.0
PSC-75_hisat	24371724	24371724	13713043	10314022	344659	29989	26008466	1283256	74386	46.64	37193.0	13004233.0	641628.0
PSC-76_hisat	22423230	22423230	5950959	16013682	458589	50589	9327815	2344499	128426	79.2	64213.0	4663907.5	1172249.5
PSC-78_hisat	21462348	21462348	8782651	12317179	362518	31527	15717932	1679589	104727	63.38	52363.5	7858966.0	839794.5
PSC-81_hisat	25846623	25846623	7112526	18079666	654431	52462	11477645	2477009	165474	77.8	82737.0	5738822.5	1238504.5
PSC-83_hisat	25489092	25489092	5900081	18934172	654839	57453	9330454	2226765	128037	81.7	64018.5	4665227.0	1113382.5
hisat	25489092	25489092	5900225	18934080	654787	57450	9330768	2226836	127946	81.7	63973.0	4665384.0	1113418.0
