Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PSC-19_R1_001	PSC-19_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23469776.0	3.4 Gbp	0.0	15-150	42.0	37.08825033663932	147.53932457642543	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
PSC-19_R2_001	PSC-19_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23469776.0	3.4 Gbp	0.0	15-150	42.0	38.99972324386862	147.54332670239376	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
PSC-23_R1_001	PSC-23_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23607269.0	3.4 Gbp	0.0	15-150	42.0	38.69588836011293	147.87488972146673	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
PSC-23_R2_001	PSC-23_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23607269.0	3.4 Gbp	0.0	15-150	42.0	40.793671125501774	147.87763887470422	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
PSC-24_R1_001	PSC-24_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22748556.0	3.3 Gbp	0.0	15-150	41.0	40.00984167444291	147.96935550546593	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
PSC-24_R2_001	PSC-24_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22748556.0	3.3 Gbp	0.0	15-150	41.0	41.940445636926704	147.97239095088057	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
PSC-34_R1_001	PSC-34_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28383132.0	4.1 Gbp	0.0	15-150	34.0	7.059194448192187	146.5962798608695	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-34_R2_001	PSC-34_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28383132.0	4.1 Gbp	0.0	15-150	34.0	7.88327081247888	146.51955647459906	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-35_R1_001	PSC-35_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26379746.0	3.8 Gbp	0.0	15-150	34.0	10.805298328363712	146.7596938575527	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-35_R2_001	PSC-35_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26379746.0	3.8 Gbp	0.0	15-150	34.0	11.616729426938042	146.68107581475576	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-36_R1_001	PSC-36_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21277746.0	3 Gbp	0.0	15-150	36.0	15.557982306559797	144.0378938163845	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-36_R2_001	PSC-36_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21277746.0	3 Gbp	0.0	15-150	36.0	16.518873153725814	144.03729417580226	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-37_R1_001	PSC-37_R1_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17154009.0	2.5 Gbp	0.0	15-150	34.0	9.485213038191652	146.80587925539737	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PSC-37_R2_001	PSC-37_R2_001.fastq.gz.fastp-trim.20220810.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17154009.0	2.5 Gbp	0.0	15-150	34.0	10.23533948707575	146.7402051030753	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
