Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
PSC-19_R1_001	62.91174966336068	42.0	147.53932457642543	18.181818181818183	23469776.0	
PSC-19_R2_001	61.00027675613138	42.0	147.54332670239376	18.181818181818183	23469776.0	
PSC-19_hisat						81.54
PSC-23_R1_001	61.30411163988707	42.0	147.87488972146673	18.181818181818183	23607269.0	
PSC-23_R2_001	59.206328874498226	42.0	147.87763887470422	18.181818181818183	23607269.0	
PSC-23_hisat						79.29
PSC-24_R1_001	59.99015832555709	41.0	147.96935550546593	18.181818181818183	22748556.0	
PSC-24_R2_001	58.059554363073296	41.0	147.97239095088057	18.181818181818183	22748556.0	
PSC-24_hisat						74.69
PSC-34_R1_001	92.94080555180781	34.0	146.5962798608695	27.27272727272727	28383132.0	
PSC-34_R2_001	92.11672918752112	34.0	146.51955647459906	27.27272727272727	28383132.0	
PSC-34_hisat						10.27
PSC-35_R1_001	89.1947016716363	34.0	146.7596938575527	27.27272727272727	26379746.0	
PSC-35_R2_001	88.38327057306196	34.0	146.68107581475576	27.27272727272727	26379746.0	
PSC-35_hisat						16.14
PSC-36_R1_001	84.4420176934402	36.0	144.0378938163845	27.27272727272727	21277746.0	
PSC-36_R2_001	83.48112684627418	36.0	144.03729417580226	27.27272727272727	21277746.0	
PSC-36_hisat						24.29
PSC-37_R1_001	90.51478696180834	34.0	146.80587925539737	27.27272727272727	17154009.0	
PSC-37_R2_001	89.76466051292425	34.0	146.7402051030753	18.181818181818183	17154009.0	
PSC-37_hisat						10.2
PSC-38_R1_001	91.41476549137974	33.0	147.31458554395385	27.27272727272727	28364962.0	
PSC-38_R2_001	90.59453414074507	33.0	147.32212022706042	27.27272727272727	28364962.0	
PSC-38_hisat						11.55
PSC-39_R1_001	90.33499985327047	34.0	146.84164493952352	36.36363636363637	22631446.0	
PSC-39_R2_001	89.96318043374862	34.0	143.99783407564854	36.36363636363637	22631446.0	
PSC-39_hisat						15.05
PSC-40_R1_001	89.42962916073752	34.0	146.8167764826697	27.27272727272727	21152503.0	
PSC-40_R2_001	88.6029171639102	34.0	146.8136111362329	27.27272727272727	21152503.0	
PSC-40_hisat						13.88
PSC-42_R1_001	57.8386152825425	42.0	147.8632280836175	18.181818181818183	20804015.0	
PSC-42_R2_001	55.17452352751433	42.0	147.86570077939282	18.181818181818183	20804015.0	
PSC-42_hisat						80.37
PSC-43_R1_001	67.77605183560041	42.0	147.8954421057784	18.181818181818183	22105954.0	
PSC-43_R2_001	65.08636775659627	42.0	147.89783937847696	18.181818181818183	22105954.0	
PSC-43_hisat						81.94
PSC-48_R1_001	59.934666635788176	41.0	147.7149187802268	18.181818181818183	19277387.0	
PSC-48_R2_001	58.10066113170293	41.0	147.71783105251765	18.181818181818183	19277387.0	
PSC-48_hisat						78.38
PSC-49_R1_001	63.217550045298005	41.0	147.82954447805923	18.181818181818183	21854798.0	
PSC-49_R2_001	61.01024640220219	41.0	147.83269399241303	18.181818181818183	21854798.0	
PSC-49_hisat						77.7
PSC-52_R1_001	59.294265401642825	42.0	147.36126129510575	18.181818181818183	22093640.0	
PSC-52_R2_001	57.26085687198189	42.0	147.36519690734528	18.181818181818183	22093640.0	
PSC-52_hisat						79.52
PSC-54_R1_001	62.46442903641225	42.0	146.80617544801038	18.181818181818183	25091718.0	
PSC-54_R2_001	60.5527023648816	42.0	146.81155543036152	18.181818181818183	25091718.0	
PSC-54_hisat						80.41
PSC-56_R1_001	56.575867097277985	42.0	148.25571363702977	18.181818181818183	20798136.0	
PSC-56_R2_001	55.14229175732116	42.0	148.25809091737835	18.181818181818183	20798136.0	
PSC-56_hisat						74.95
PSC-57_R1_001	64.14471535399838	42.0	148.16619609810598	18.181818181818183	22483440.0	
PSC-57_R2_001	61.76232621640263	42.0	148.16790242062604	18.181818181818183	22483440.0	
PSC-57_hisat						83.38
PSC-58_R1_001	60.747070166756124	41.0	147.68751331342204	18.181818181818183	22500789.0	
PSC-58_R2_001	58.72189396707536	42.0	147.69073217832494	18.181818181818183	22500789.0	
PSC-58_hisat						80.22
PSC-59_R1_001	61.36991991514187	41.0	147.9968645238354	18.181818181818183	22471547.0	
PSC-59_R2_001	59.46635941075835	41.0	147.9994006198149	18.181818181818183	22471547.0	
PSC-59_hisat						78.16
PSC-61_R1_001	58.66853178030796	41.0	148.1051131422849	18.181818181818183	19883194.0	
PSC-61_R2_001	56.802793741567534	41.0	148.10684752158028	18.181818181818183	19883194.0	
PSC-61_hisat						78.88
PSC-63_R1_001	60.12944973266688	41.0	148.33941246037836	18.181818181818183	21332723.0	
PSC-63_R2_001	57.91419495858652	41.0	148.34122887171975	18.181818181818183	21332723.0	
PSC-63_hisat						80.54
PSC-64_R1_001	62.0129877603087	42.0	147.43951590400945	18.181818181818183	24101501.0	
PSC-64_R2_001	59.81923644387676	42.0	147.44327147923278	18.181818181818183	24101501.0	
PSC-64_hisat						80.74
PSC-67_R1_001	55.94623728208629	41.0	147.04476532712357	18.181818181818183	24528314.0	
PSC-67_R2_001	54.59589248225483	41.0	147.053355889035	18.181818181818183	24528314.0	
PSC-67_hisat						77.43
PSC-69_R1_001	61.5954636828671	40.0	148.51408962974043	18.181818181818183	22802409.0	
PSC-69_R2_001	59.02152785118972	40.0	148.51655612352187	18.181818181818183	22802409.0	
PSC-69_hisat						78.04
PSC-71_R1_001	62.20178461840097	42.0	148.0435919772404	18.181818181818183	26600124.0	
PSC-71_R2_001	59.677590966785566	42.0	148.04563456170354	18.181818181818183	26600124.0	
PSC-71_hisat						77.86
PSC-73_R1_001	61.20899120725239	41.0	147.86627214087102	18.181818181818183	25168443.0	
PSC-73_R2_001	58.52687087107982	41.0	147.86907612838823	18.181818181818183	25168443.0	
PSC-73_hisat						79.46
PSC-75_R1_001	41.82224502569943	40.0	147.32613552492225	0.0	24371724.0	
PSC-75_R2_001	40.30910933969184	40.0	147.3275989831495	0.0	24371724.0	
PSC-75_hisat						46.64
PSC-76_R1_001	57.63529815665802	41.0	148.09300172187503	18.181818181818183	22423230.0	
PSC-76_R2_001	55.39379079950281	41.0	148.09436388067198	18.181818181818183	22423230.0	
PSC-76_hisat						79.2
PSC-78_R1_001	62.656748191889086	39.0	147.31339087410194	18.181818181818183	21462348.0	
PSC-78_R2_001	61.332752319370115	39.0	147.32109604224104	18.181818181818183	21462348.0	
PSC-78_hisat						63.38
PSC-81_R1_001	58.79846962521779	42.0	147.42815953171134	18.181818181818183	25846623.0	
PSC-81_R2_001	57.0123892246266	42.0	147.4313919849413	18.181818181818183	25846623.0	
PSC-81_hisat						77.8
PSC-83_R1_001	64.5650361695441	41.0	147.18422249015381	18.181818181818183	25489092.0	
PSC-83_R2_001	62.46536998407427	41.0	147.18912427323815	18.181818181818183	25489092.0	
PSC-83_hisat						81.7
hisat						81.7
