Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	PSC-35_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-35_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-73_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-73_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-75_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-75_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-71_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-71_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-40_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-40_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-59_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-59_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-37_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-37_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-38_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-38_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-36_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-36_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-24_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-24_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-43_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-43_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-49_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-49_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-48_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-48_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-64_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-64_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-78_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-78_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-57_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-57_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-52_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-52_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-81_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-81_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-58_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-58_hisat.stderr
Bowtie 2 / HiSAT2	all_sections	PSC-69_hisat	/home/shared/8TB_HDD_03/sr320/github/paper-pycno-sswd-2021-2022/analyses/10-hisat-deseq2/PSC-69_hisat.stderr
