Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
PSC-19_R1_001	23469776.0	4664140.0	18805636.0	19.87296342325551	292.01
PSC-23_R1_001	23607269.0	4973675.0	18633594.0	21.068404820566073	298.851
PSC-24_R1_001	22748556.0	4523808.0	18224748.0	19.88613255276511	294.531
PSC-34_R1_001	28383132.0	783115.0	27600017.0	2.7590859246964006	278.659
PSC-35_R1_001	26379746.0	799810.0	25579936.0	3.0319094050412767	266.34
PSC-36_R1_001	21277746.0	1157828.0	20119918.0	5.4414974217663845	270.083
PSC-37_R1_001	17154009.0	405314.0	16748695.0	2.3627946097031893	284.281
PSC-38_R1_001	28364962.0	517415.0	27847547.0	1.8241342963900322	253.906
PSC-39_R1_001	22631446.0	577742.0	22053704.0	2.5528284847552385	231.687
PSC-40_R1_001	21152503.0	570929.0	20581574.0	2.699108469574499	283.418
PSC-42_R1_001	20804015.0	4214067.0	16589948.0	20.256027502383557	306.015
PSC-43_R1_001	22105954.0	4784858.0	17321096.0	21.645109729261176	301.132
PSC-48_R1_001	19277387.0	3402893.0	15874494.0	17.652252351420863	283.334
PSC-49_R1_001	21854798.0	4090632.0	17764166.0	18.71731781735068	291.123
PSC-52_R1_001	22093640.0	4579511.0	17514129.0	20.72773431630098	294.544
PSC-54_R1_001	25091718.0	5016925.0	20074793.0	19.99434634168932	277.329
PSC-56_R1_001	20798136.0	4333654.0	16464482.0	20.83674229267469	308.953
PSC-57_R1_001	22483440.0	4951482.0	17531958.0	22.022795444113534	319.029
PSC-58_R1_001	22500789.0	4456474.0	18044315.0	19.805856585740173	301.906
PSC-59_R1_001	22471547.0	4331158.0	18140389.0	19.27396453835599	301.481
PSC-61_R1_001	19883194.0	3627983.0	16255211.0	18.246479916657254	303.521
PSC-63_R1_001	21332723.0	3951944.0	17380779.0	18.525267496324776	321.735
PSC-64_R1_001	24101501.0	5026042.0	19075459.0	20.85364724794526	301.577
PSC-67_R1_001	24528314.0	4705452.0	19822862.0	19.183756372329544	286.614
PSC-69_R1_001	22802409.0	3612760.0	19189649.0	15.843764577681243	312.61
PSC-71_R1_001	26600124.0	5581151.0	21018973.0	20.98167286738964	313.068
PSC-73_R1_001	25168443.0	4587875.0	20580568.0	18.22868025646243	302.037
PSC-75_R1_001	24371724.0	2423991.0	21947733.0	9.945915192540339	299.294
PSC-76_R1_001	22423230.0	4297318.0	18125912.0	19.164580660324138	304.964
PSC-78_R1_001	21462348.0	3351738.0	18110610.0	15.616828130827065	279.951
PSC-81_R1_001	25846623.0	5029421.0	20817202.0	19.458716134792542	295.345
PSC-83_R1_001	25489092.0	5126725.0	20362367.0	20.11340772750948	284.186
