Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
PSC-19_R1_001	290.263	38.01005599712583	8920875.0
PSC-23_R1_001	299.313	36.804426636558425	8688520.0
PSC-24_R1_001	299.105	34.82857549287964	7922998.0
PSC-34_R1_001	304.469	30.739060086814945	8724708.0
PSC-35_R1_001	308.95	31.141785823108382	8215124.0
PSC-36_R1_001	286.341	26.751691650046016	5692157.0
PSC-37_R1_001	298.123	32.19428181482241	5522610.0
PSC-38_R1_001	299.335	33.90514325384959	9617181.0
PSC-39_R1_001	284.353	20.95577542857845	4742595.0
PSC-40_R1_001	305.539	32.3043802428488	6833185.0
PSC-42_R1_001	310.057	37.737494421148995	7850914.0
PSC-43_R1_001	309.073	38.418821463213035	8492847.0
PSC-48_R1_001	292.139	37.85260419371153	7296993.0
PSC-49_R1_001	300.67	38.319992708237336	8374757.0
PSC-52_R1_001	295.924	37.964817024265805	8387810.0
PSC-54_R1_001	279.314	38.47032714140977	9652866.0
PSC-56_R1_001	306.746	32.142947810323	6685134.0
PSC-57_R1_001	318.859	38.45061076063094	8645020.0
PSC-58_R1_001	309.683	38.1923051676099	8593570.0
PSC-59_R1_001	308.637	37.240911807273434	8368609.0
PSC-61_R1_001	312.116	37.995243621321606	7554668.0
PSC-63_R1_001	327.886	38.32749808826562	8176299.0
PSC-64_R1_001	305.442	38.354482569363626	9244006.0
PSC-67_R1_001	292.308	34.239206168022804	8398300.0
PSC-69_R1_001	319.84	36.17662940788405	8249143.0
PSC-71_R1_001	310.368	32.75753902500605	8713546.0
PSC-73_R1_001	312.522	38.16956813736948	9606686.0
PSC-75_R1_001	302.735	23.038415337380318	5614859.0
PSC-76_R1_001	314.181	37.698623258112235	8453249.0
PSC-78_R1_001	285.592	31.931352524896155	6853218.0
PSC-81_R1_001	295.697	37.60256030352592	9718992.0
PSC-83_R1_001	288.592	37.67769758138109	9603703.0
