Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
PSC-19_hisat03	23469776	23469776	5524536	17479933	465307	58792	8678593	2137317	115578	81.51	57789.0	4339296.5	1068658.5
PSC-23_hisat03	23607269	23607269	6086792	16954590	565887	57536	9811534	2112563	134415	79.22	67207.5	4905767.0	1056281.5
PSC-24_hisat03	22748556	22748556	6934452	15348882	465222	57681	11544079	2077065	132398	74.63	66199.0	5772039.5	1038532.5
PSC-34_hisat03	28383132	28383132	25689142	2627107	66883	7794	50930867	366223	65606	10.28	32803.0	25465433.5	183111.5
PSC-35_hisat03	26379746	26379746	22464404	3812984	102358	10492	44249907	604301	53616	16.13	26808.0	22124953.5	302150.5
PSC-36_hisat03	21277746	21277746	16507014	4609731	161001	15613	32226496	677729	78577	24.27	39288.5	16113248.0	338864.5
PSC-37_hisat03	17154009	17154009	15522209	1595151	36649	4499	30808410	207438	19572	10.2	9786.0	15404205.0	103719.0
PSC-38_hisat03	28364962	28364962	25371124	2928918	64920	7615	50187099	498881	41038	11.53	20519.0	25093549.5	249440.5
PSC-39_hisat03	22631446	22631446	19567005	2932684	131757	9395	38460871	570415	83934	15.03	41967.0	19230435.5	285207.5
PSC-40_hisat03	21152503	21152503	18463101	2629022	60380	6840	36440824	426964	44734	13.86	22367.0	18220412.0	213482.0
PSC-42_hisat03	20804015	20804015	5293388	15045847	464780	52390	8179080	2177547	125369	80.34	62684.5	4089540.0	1088773.5
PSC-43_hisat03	22105954	22105954	5151321	16445592	509041	54500	7985981	2098210	109451	81.94	54725.5	3992990.5	1049105.0
PSC-48_hisat03	19277387	19277387	5207079	13677976	392332	41563	8366930	1851805	112297	78.3	56148.5	4183465.0	925902.5
PSC-49_hisat03	21854798	21854798	6076355	15377211	401232	50808	9767912	2168007	115175	77.65	57587.5	4883956.0	1084003.5
PSC-52_hisat03	22093640	22093640	5731128	15866338	496174	50704	9074555	2151596	134697	79.46	67348.5	4537277.5	1075798.0
PSC-54_hisat03	25091718	25091718	6225288	18306567	559863	56726	9876151	2307132	153841	80.32	76920.5	4938075.5	1153566.0
PSC-56_hisat03	20798136	20798136	6252786	14139359	405991	44850	10434495	1874761	106616	74.91	53308.0	5217247.5	937380.5
PSC-57_hisat03	22483440	22483440	4954084	17070199	459157	56297	7477322	2210427	107825	83.37	53912.5	3738661.0	1105213.5
PSC-58_hisat03	22500789	22500789	5743402	16272881	484506	57947	8921369	2309956	139585	80.18	69792.5	4460684.5	1154978.0
PSC-59_hisat03	22471547	22471547	6077572	15969759	424216	50704	9834104	2108159	111473	78.12	55736.5	4917052.0	1054079.5
PSC-61_hisat03	19883194	19883194	5349233	14118286	415675	48226	8427271	2051903	122840	78.81	61420.0	4213635.5	1025951.5
PSC-63_hisat03	21332723	21332723	5345591	15547691	439441	42455	8309965	2173999	122308	80.52	61154.0	4154982.5	1086999.5
PSC-64_hisat03	24101501	24101501	6002443	17561281	537777	57044	9297016	2434910	158872	80.71	79436.0	4648508.0	1217455.0
PSC-67_hisat03	24528314	24528314	6875977	17107191	545146	54371	11108332	2376278	158602	77.36	79301.0	5554166.0	1188139.0
PSC-69_hisat03	22802409	22802409	6341722	16011282	449405	51109	10055694	2387888	137644	77.95	68822.0	5027847.0	1193944.0
PSC-71_hisat03	26600124	26600124	7266383	18757973	575768	60756	11781679	2484693	144882	77.85	72441.0	5890839.5	1242346.5
PSC-73_hisat03	25168443	25168443	6636383	17991287	540773	58412	10361960	2642195	151787	79.41	75893.5	5180980.0	1321097.5
PSC-75_hisat03	24371724	24371724	13731430	10319688	320606	31752	26026646	1296718	75992	46.6	37996.0	13013323.0	648359.0
PSC-76_hisat03	22423230	22423230	5974315	16037240	411675	52722	9354425	2363483	125278	79.14	62639.0	4677212.5	1181741.5
PSC-78_hisat03	21462348	21462348	8795753	12333478	333117	33353	15733902	1684656	106242	63.35	53121.0	7866951.0	842328.0
PSC-81_hisat03	25846623	25846623	7136813	18122034	587776	55672	11505732	2495390	161160	77.74	80580.0	5752866.0	1247695.0
PSC-83_hisat03	25489092	25489092	5924468	18974344	590280	60907	9357198	2241050	128874	81.64	64437.0	4678599.0	1120525.0
