Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
PSC-19_hisat03	81.51
PSC-23_hisat03	79.22
PSC-24_hisat03	74.63
PSC-34_hisat03	10.28
PSC-35_hisat03	16.13
PSC-36_hisat03	24.27
PSC-37_hisat03	10.2
PSC-38_hisat03	11.53
PSC-39_hisat03	15.03
PSC-40_hisat03	13.86
PSC-42_hisat03	80.34
PSC-43_hisat03	81.94
PSC-48_hisat03	78.3
PSC-49_hisat03	77.65
PSC-52_hisat03	79.46
PSC-54_hisat03	80.32
PSC-56_hisat03	74.91
PSC-57_hisat03	83.37
PSC-58_hisat03	80.18
PSC-59_hisat03	78.12
PSC-61_hisat03	78.81
PSC-63_hisat03	80.52
PSC-64_hisat03	80.71
PSC-67_hisat03	77.36
PSC-69_hisat03	77.95
PSC-71_hisat03	77.85
PSC-73_hisat03	79.41
PSC-75_hisat03	46.6
PSC-76_hisat03	79.14
PSC-78_hisat03	63.35
PSC-81_hisat03	77.74
PSC-83_hisat03	81.64
