transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
1	g8558.t1	1425.59111801166	1.20403997357081	0.256864959569766	4.6874434550649	2.76639100629131e-06	0.00215601449466319	2230	2586	1819	604	786	970	2562	1912	2394	803	781	548
2	g10892.t1	14.1429529188142	6.82585145150417	1.80421626974129	3.783277850877	0.000154776468629268	0.0361038156639371	5	25	0	0	0	0	210	3	16	0	0	0
3	g12205.t1	126.18730286596	2.23786400905132	0.567700971641498	3.94197671105015	8.08128249822089e-05	0.0229009265650959	143	357	119	10	8	22	524	206	108	124	52	136
4	g3730.t1	583.916726997189	-0.613817775854036	0.121616780218389	-5.0471470692761	4.48456142715654e-07	0.000513983499098341	492	464	467	708	380	544	724	511	570	825	634	795
5	g5374.t2	31.0874373169495	8.06490022298491	1.69248612788964	4.76512042851483	1.88740886230918e-06	0.00159888149014052	11	153	113	0	0	0	151	12	0	0	0	0
6	g17510.t1	25.5922295122051	5.15327163606851	1.3855195245225	3.71937857594935	0.000199713527363111	0.0436427318154623	198	91	20	0	0	4	0	9	2	0	0	0
7	g14914.t3	24.9123994021687	7.82909880812619	1.67903047809098	4.66286878665103	3.11831589158942e-06	0.00225122811741143	41	157	7	0	0	0	65	70	0	0	0	0
8	g1748.t1	670.129384055745	-1.62924241481054	0.381834022314758	-4.26688644697957	1.98219987555357e-05	0.00919551961316326	386	285	687	473	693	1218	495	163	295	786	1341	758
9	g8977.t1	91.222272485061	4.62671743307095	1.05992429581451	4.36513952113485	1.27041645163854e-05	0.00728023357168389	541	304	113	2	0	8	73	128	0	10	3	7
10	g11899.t1	731.451457515778	1.85458138361551	0.431256623375011	4.30041252259866	1.70480458454276e-05	0.00851702885262336	2373	2083	916	353	264	738	940	248	742	203	60	96
11	g23101.t1	59.2841981712825	-2.24877488721791	0.551581411601843	-4.07695915764684	4.56285036724396e-05	0.0173707951316209	19	14	33	13	95	132	29	29	16	133	51	79
12	g11893.t1	55.2382072352368	7.01557528778513	1.27606954222754	5.49780012423033	3.84558454120096e-08	6.24394743339663e-05	14	197	63	0	0	0	218	24	258	0	0	7
13	g23103.t1	293.657889574639	-2.00292184000186	0.5042269661085	-3.97226244256613	7.11932211237739e-05	0.0218540593425334	132	58	127	101	422	275	252	236	54	619	759	365
14	g623.t1	201.07548557038	-2.35941080627191	0.484525321780308	-4.86953044600981	1.11863747607529e-06	0.00107490015723614	38	10	10	88	45	51	117	243	44	964	635	463
15	g8019.t3	9.8671369410399	6.43678036871913	1.28024963793793	5.02775410199428	4.96257662532946e-07	0.000537171349821774	30	41	17	0	0	0	46	3	4	0	0	0
16	g14335.t1	61.267636662728	-7.39189824571993	1.88017513278399	-3.931494527733	8.4419418198646e-05	0.0234975420597488	0	0	0	267	6	13	16	0	0	439	0	35
17	g15793.t1	102.402781091387	3.06130017775201	0.72026607293398	4.25023514613413	2.13546210543198e-05	0.00945621446869018	472	205	247	14	13	10	204	91	42	30	0	34
18	g3035.t1	8.21939544572944	6.32127980268084	1.11552671214499	5.66663239334354	1.45631315303422e-08	2.83748054737188e-05	6	27	16	0	0	0	39	16	15	0	0	0
19	g13468.t1	209.966453762334	5.37580886829653	1.15291897933476	4.66278113610239	3.11964479419568e-06	0.00225122811741143	386	1963	104	3	0	13	18	36	48	0	0	7
20	g17027.t1	146.34160370158	-2.12124273029907	0.538116460410314	-3.94197703724138	8.08127150507674e-05	0.0229009265650959	113	86	151	137	156	249	24	38	23	65	374	181
21	g22932.t2	59.6324572621141	9.14914415803335	2.13795324585304	4.27939393706566	1.87402915412555e-05	0.00912839600974558	0	46	207	0	0	0	422	252	0	0	0	0
22	g3945.t1	11.5913345135368	6.23958994981219	1.43489020980277	4.34847900360952	1.37084939710779e-05	0.00741934157034674	47	20	60	0	0	0	17	0	7	0	0	0
23	g14021.t2	27.6615629263125	7.95291986680087	1.53607793925926	5.17741949385458	2.24975972920285e-07	0.000292228790425255	92	32	115	0	0	0	117	38	0	0	0	0
24	g19209.t1	20.2046666657248	3.87868999068622	1.04349695014822	3.71701133399123	0.000201593402966106	0.0436427318154623	38	45	74	0	4	0	43	37	19	9	0	0
25	g21696.t1	169.765896359195	-1.18640873359454	0.299167830611039	-3.96569621530278	7.31820210466673e-05	0.0218540593425334	104	107	113	229	219	253	107	157	81	152	167	173
26	g22789.t1	7.39027689226739	5.73561186039634	1.44338839645145	3.97371343326388	7.07606916429357e-05	0.0218540593425334	5	7	0	0	0	0	55	34	17	0	0	0
27	g20804.t1	32.0525495758927	7.98327191604884	1.84476546535982	4.32752675933887	1.50793029853152e-05	0.00773171419383897	58	253	3	0	0	0	0	82	7	0	0	0
28	g11256.t1	16.9572968222984	6.7930374082403	1.48140063179753	4.58555050027056	4.52791811336128e-06	0.00304213643174935	103	69	16	0	0	0	15	18	0	0	0	0
29	g5067.t1	8.66151072167043	6.18066584992762	1.05729827967037	5.8457163591097	5.04392871348534e-09	1.0919545228172e-05	16	38	26	0	0	0	9	13	10	0	0	0
30	g6847.t1	1180.75215882297	-0.579393353341864	0.136540688227599	-4.24337507641734	2.20182965952035e-05	0.00953343313024324	1021	792	929	1031	901	1101	1718	1169	1111	1670	1629	1392
31	g11097.t1	243.356860350405	2.41417178499498	0.606735423849066	3.9789530825145	6.92193976183349e-05	0.0218540593425334	1061	776	555	50	22	26	247	121	62	108	33	71
32	g8676.t2	120.994079794039	-25.3237343864271	3.0583748533002	-8.28012771524752	1.23043247149794e-16	4.79474925493316e-13	0	0	0	0	643	172	0	0	0	0	0	0
33	g16046.t1	565.284546702964	2.96780526543923	0.69760928716741	4.2542513696883	2.09749571610034e-05	0.00945621446869018	1694	1827	1023	17	77	42	1064	903	264	225	35	349
34	g17488.t1	15.4310077878658	5.31625947664563	1.07447796010774	4.94776037668802	7.50722458356051e-07	0.000769846125189963	28	32	44	0	0	5	60	13	34	0	0	0
35	g8842.t1	938.742656596627	2.46996254749036	0.563282786522361	4.38494235327092	1.16016497915805e-05	0.00706395451684858	4444	3890	945	300	62	525	697	471	182	112	31	144
36	g10898.t1	64.6992070826944	5.82980722862799	1.34322055765952	4.34017123649899	1.42371727918592e-05	0.00749721823450231	178	334	181	6	0	0	122	23	0	0	0	3
37	g12821.t1	450.297436615593	-27.3623795530373	3.00374990692431	-9.10940670858147	8.28336989495553e-20	1.61393179033313e-15	0	0	0	0	118	0	0	0	0	6303	212	0
38	g17719.t1	257.743061672569	2.2544762309128	0.556413254295039	4.05180181009376	5.0824709821596e-05	0.0180048844757087	938	239	315	30	41	129	705	602	233	81	27	182
39	g3867.t3	18.1291754387014	2.89330520199822	0.697794241503999	4.1463586683692	3.37804529981959e-05	0.0140037946003585	50	61	35	3	4	1	12	33	19	9	0	4
40	g14601.t1	165.414994154586	8.44684852061402	2.06609210189641	4.08832138357282	4.34505913805446e-05	0.0172773739277251	207	1687	4	3	0	0	0	130	0	0	0	0
41	g23158.t1	41.2675777335231	3.92070968372859	0.806298955503052	4.86260047463716	1.15853537784638e-06	0.00107490015723614	195	155	83	5	6	25	35	7	4	0	0	0
42	g16461.t1	316.3960136469	-3.22996598753164	0.8266307842275	-3.90738652510999	9.32998351832277e-05	0.0252479720654168	61	12	41	70	1000	93	139	99	126	628	766	72
43	g8557.t1	266.658175673508	1.0570343635932	0.242552002703757	4.35797005100066	1.31274341810536e-05	0.00730785507381853	344	213	291	115	89	99	794	371	621	325	207	155
