"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g19583.t1"	95	73	89	182	127	91	138	107	39	73	194	70
"g12808.t1"	594	274	499	467	229	459	1398	450	430	567	365	452
"g5589.t1"	142	663	665	0	0	384	0	58	0	0	0	24
"g12024.t1"	44	64	71	11	28	140	18	10	40	0	10	51
"g7725.t1"	19	163	69	0	0	31	5	19	0	14	0	6
"g21942.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16868.t1"	3021	2339	1947	8670	4229	2458	7102	5708	4186	5046	4676	3643
"g15156.t1"	61	51	56	78	26	82	94	35	91	61	82	64
"g14109.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g14109.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g4103.t1"	3887	2119	2870	3268	1531	1597	2115	1115	1970	1507	2400	1418
"g6231.t1"	19	21	7	0	0	0	24	21	13	18	0	20
"g14809.t1"	150	128	238	162	37	285	705	652	699	600	671	473
"g20387.t1"	214	353	58	0	5	75	0	0	0	7	0	0
"g5617.t1"	32	32	30	27	20	28	157	37	49	96	89	70
"g3739.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7569.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g4794.t1"	29	24	40	26	44	14	146	61	124	94	92	106
"g17776.t1"	63	54	91	86	29	46	384	175	182	232	85	152
"g7932.t1"	7	11	0	0	0	9	41	37	34	23	35	14
"g24111.t1"	142	268	72	10	0	43	70	65	25	28	0	118
"g2175.t1"	0	6	26	0	4	6	13	16	0	9	0	23
"g3938.t1"	48	65	17	0	12	5	6	10	7	3	0	19
"g11329.t1"	8	10	57	4	11	162	59	75	35	25	39	76
"g3395.t2"	224	550	160	117	46	130	195	98	137	216	18	130
"g3395.t1"	13	66	106	34	1	8	87	17	23	6	32	43
"g5615.t1"	0	11	20	5	0	4	4	6	0	10	0	4
"g8539.t1"	0	0	0	2	0	5	11	0	0	6	0	8
"g12198.t1"	15	0	16	0	6	0	0	0	0	0	0	0
"g1203.t1"	47	22	13	0	90	0	16	3	0	0	0	33
"g1203.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g14954.t1"	144	145	155	183	47	76	252	214	132	291	196	228
"g22131.t1"	292	389	287	106	172	267	834	452	155	634	355	368
"g18117.t1"	0	3	48	13	13	11	18	0	7	0	0	16
"g17396.t1"	0	12	0	0	0	0	0	0	0	0	0	0
"g23035.t1"	4	6	0	0	0	0	0	0	0	0	0	0
"g18090.t1"	26	32	15	19	19	19	23	10	21	61	48	15
"g6095.t1"	171	397	1667	52	16	1062	365	391	731	63	81	368
"g20752.t1"	26	51	12	15	8	23	23	6	12	36	58	27
"g18619.t1"	34	112	2	0	0	0	0	8	0	0	0	0
"g16117.t1"	64	46	86	0	0	34	122	17	16	100	0	64
"g14155.t1"	225	49	130	170	369	143	823	695	286	478	377	254
"g15291.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g15291.t3"	0	0	0	0	0	0	12	0	0	1	0	0
"g15291.t1"	824	1235	1281	56	127	671	368	145	10	39	20	98
"g9820.t1"	983	634	788	1015	717	1144	801	518	228	454	363	444
"g12716.t1"	81	123	90	0	7	44	63	81	10	37	0	101
"g6097.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g21165.t1"	52	151	241	0	7	46	23	7	73	29	150	977
"g13868.t1"	504	957	310	295	299	585	623	339	239	329	223	287
"g8558.t1"	2230	2586	1819	604	786	970	2562	1912	2394	803	781	548
"g20385.t1"	4	8	0	0	0	0	0	0	0	0	0	0
"g4462.t1"	0	0	0	6	0	0	0	0	0	0	0	7
"g5201.t1"	35	0	7	0	29	0	23	11	12	0	0	0
"g12105.t1"	0	0	0	2	0	0	3	2	3	2	0	2
"g9822.t1"	6	1	2	6	8	11	5	4	2	4	13	3
"g60.t1"	6950	7734	9965	5673	6913	10788	27611	14974	7548	13379	11179	16424
"g14312.t1"	643	322	477	311	511	336	1006	1592	918	1316	641	732
"g3985.t2"	124	0	0	0	0	0	424	612	0	431	0	463
"g17037.t1"	114	59	66	21	18	18	182	69	58	100	0	128
"g10892.t1"	5	25	0	0	0	0	210	3	16	0	0	0
"g21329.t1"	0	0	0	0	11	20	0	0	0	0	0	0
"g10755.t1"	10	36	159	15	7	359	443	31	40	17	64	193
"g2642.t1"	1	17	7	5	4	3	69	13	6	18	9	8
"g18634.t1"	120	68	93	39	60	50	156	44	44	79	31	48
"g4339.t1"	8	14	8	10	8	12	25	7	21	27	13	7
"g13790.t1"	50	22	75	23	8	121	106	12	0	21	0	156
