Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
PSC-19-hisat	23469776	23469776	5524631	17480285	464860	58804	8678732	2137418	115504	81.51	57752.0	4339366.0	1068709.0
PSC-23-hisat	23607269	23607269	6086794	16954565	565910	57541	9811530	2112563	134413	79.22	67206.5	4905765.0	1056281.5
PSC-24-hisat	22748556	22748556	6934366	15349126	465064	57660	11544134	2076995	132283	74.63	66141.5	5772067.0	1038497.5
PSC-34-hisat	28383132	28383132	25689139	2627110	66883	7794	50930846	366279	65565	10.28	32782.5	25465423.0	183139.5
PSC-35-hisat	26379746	26379746	22464402	3812976	102368	10493	44249904	604293	53621	16.13	26810.5	22124952.0	302146.5
PSC-36-hisat	21277746	21277746	16507015	4609729	161002	15615	32226498	677718	78584	24.27	39292.0	16113249.0	338859.0
PSC-37-hisat	17154009	17154009	15522209	1595151	36649	4499	30808406	207442	19572	10.2	9786.0	15404203.0	103721.0
PSC-38-hisat	28364962	28364962	25371122	2928923	64917	7615	50187100	498877	41037	11.53	20518.5	25093550.0	249438.5
PSC-39-hisat	22631446	22631446	19567016	2932649	131781	9393	38460901	570414	83931	15.03	41965.5	19230450.5	285207.0
PSC-40-hisat	21152503	21152503	18463100	2629017	60386	6840	36440818	426960	44742	13.86	22371.0	18220409.0	213480.0
PSC-42-hisat	20804015	20804015	5293291	15046010	464714	52405	8178970	2177425	125377	80.34	62688.5	4089485.0	1088712.5
PSC-43-hisat	22105954	22105954	5151429	16445444	509081	54502	7986138	2098338	109378	81.94	54689.0	3993069.0	1049169.0
PSC-48-hisat	19277387	19277387	5207509	13677315	392563	41563	8367031	1852055	112806	78.3	56403.0	4183515.5	926027.5
PSC-49-hisat	21854798	21854798	6076312	15377237	401249	50818	9767843	2167995	115150	77.65	57575.0	4883921.5	1083997.5
PSC-52-hisat	22093640	22093640	5731119	15867049	495472	50710	9074524	2151739	134555	79.46	67277.5	4537262.0	1075869.5
PSC-54-hisat	25091718	25091718	6225262	18306485	559971	56731	9876122	2307087	153853	80.32	76926.5	4938061.0	1153543.5
PSC-56-hisat	20798136	20798136	6252771	14139317	406048	44852	10434467	1874745	106626	74.91	53313.0	5217233.5	937372.5
PSC-57-hisat	22483440	22483440	4954100	17070176	459164	56302	7477329	2210442	107825	83.37	53912.5	3738664.5	1105221.0
PSC-58-hisat	22500789	22500789	5743142	16274342	483305	57957	8921403	2309981	138986	80.18	69493.0	4460701.5	1154990.5
PSC-59-hisat	22471547	22471547	6077585	15969737	424225	50708	9834096	2108162	111496	78.12	55748.0	4917048.0	1054081.0
PSC-61-hisat	19883194	19883194	5349124	14118471	415599	48209	8427013	2052010	122807	78.81	61403.5	4213506.5	1026005.0
PSC-63-hisat	21332723	21332723	5345618	15547679	439426	42581	8309905	2173818	122351	80.52	61175.5	4154952.5	1086909.0
PSC-64-hisat	24101501	24101501	6002242	17570072	529187	56421	9298970	2444458	148214	80.71	74107.0	4649485.0	1222229.0
PSC-67-hisat	24528314	24528314	6875992	17106949	545373	54360	11108338	2376309	158617	77.36	79308.5	5554169.0	1188154.5
PSC-69-hisat	22802409	22802409	6341727	16011359	449323	51116	10055674	2387914	137634	77.95	68817.0	5027837.0	1193957.0
PSC-71-hisat	26600124	26600124	7266396	18758323	575405	60761	11781637	2484717	144916	77.85	72458.0	5890818.5	1242358.5
PSC-73-hisat	25168443	25168443	6643403	17984434	540606	58456	10374259	2643854	151781	79.39	75890.5	5187129.5	1321927.0
PSC-75-hisat	24371724	24371724	13731431	10319662	320631	31751	26026644	1296726	75990	46.6	37995.0	13013322.0	648363.0
PSC-76-hisat	22423230	22423230	5974243	16037971	411016	52736	9354330	2363683	125001	79.14	62500.5	4677165.0	1181841.5
PSC-78-hisat	21462348	21462348	8795736	12333626	332986	33355	15733851	1684692	106219	63.35	53109.5	7866925.5	842346.0
PSC-81-hisat	25846623	25846623	7136818	18121972	587833	55676	11505734	2495401	161149	77.74	80574.5	5752867.0	1247700.5
PSC-83-hisat	25489092	25489092	5924459	18974383	590250	60908	9357179	2241091	128832	81.64	64416.0	4678589.5	1120545.5
