Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
PSC-19-hisat	81.51
PSC-23-hisat	79.22
PSC-24-hisat	74.63
PSC-34-hisat	10.28
PSC-35-hisat	16.13
PSC-36-hisat	24.27
PSC-37-hisat	10.2
PSC-38-hisat	11.53
PSC-39-hisat	15.03
PSC-40-hisat	13.86
PSC-42-hisat	80.34
PSC-43-hisat	81.94
PSC-48-hisat	78.3
PSC-49-hisat	77.65
PSC-52-hisat	79.46
PSC-54-hisat	80.32
PSC-56-hisat	74.91
PSC-57-hisat	83.37
PSC-58-hisat	80.18
PSC-59-hisat	78.12
PSC-61-hisat	78.81
PSC-63-hisat	80.52
PSC-64-hisat	80.71
PSC-67-hisat	77.36
PSC-69-hisat	77.95
PSC-71-hisat	77.85
PSC-73-hisat	79.39
PSC-75-hisat	46.6
PSC-76-hisat	79.14
PSC-78-hisat	63.35
PSC-81-hisat	77.74
PSC-83-hisat	81.64
