baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g15182	767.379637247982	3.69023044494481	0.881670095081326	4.1855002971428	2.84538696412224e-05	0.00885237465120974
g9704	3634.64726305374	2.76617443257763	0.691109334309429	4.00251348846511	6.2673093562554e-05	0.0158987175346608
g9703	863.390599774415	3.76041259548544	1.04288577459181	3.60577609466126	0.00031122139947236	0.0410538372471979
g23456	328.713297003696	-3.29427773161203	0.840535624423712	-3.91926009545479	8.88212226593419e-05	0.0197025739110451
g8400	485.024549158233	-1.82230226668431	0.386439264658034	-4.7156239889259	2.40971094585258e-06	0.00147161939948753
g3695	19.7082390800915	17.1355770691142	3.57424767255041	4.79417730357984	1.6334376245575e-06	0.00112223970797203
g5591	32.7191853266826	-6.86057219154232	1.75316876131597	-3.91324117958421	9.10654991531221e-05	0.0197025739110451
g13465	31.1168258046917	-10.3501342828716	2.6697439422008	-3.87682658223	0.000105827730470965	0.021449479397383
g20326	1387.91526890835	1.67055993780463	0.449813404391702	3.71389540972835	0.000204093171269437	0.0336529230106175
g8006	116.336770298035	18.2097064691035	4.96700617246571	3.66613324743745	0.000246245652500275	0.0368952924563671
g13379	658.480453681956	2.32244028201448	0.584245883994809	3.97510764840085	7.03474293590787e-05	0.0163374473619979
g8368	1890.64262451358	1.28294727056186	0.334561114791818	3.83471722755402	0.000125708831544264	0.0246763443253973
g474	189.441137216003	-4.29200790341794	0.974919883121018	-4.40242114016375	1.07049505433926e-05	0.00420271260738095
g4537	74.9532043265003	-2.96782055244305	0.796425597841136	-3.72642536915927	0.000194214541784164	0.0326775875457049
g862	4959.51531804029	4.2046775787227	1.00228485064	4.19509241912401	2.7276034937457e-05	0.00865487754992168
g9668	1551.48963772122	1.80712308005578	0.504779090712445	3.58002760674022	0.000343557909062777	0.0435371089768317
g11918	13.822638742068	25.7840649331789	5.16068794593531	4.99624569501186	5.84571747942606e-07	0.00063133476010971
g16269	6.06406169758685	-30	6.01497943877533	-4.98754822113043	6.11503597907753e-07	0.00063133476010971
g9838	24.876056962063	-8.01998816106654	1.62955808983412	-4.92157242573839	8.58516191890109e-07	0.000786448527115334
g7320	526.58002450822	8.80014907051115	2.23314569966393	3.9406963333541	8.12454228206848e-05	0.0186063302345871
g8628	33.6611297745053	-4.01521639842715	0.995832788033403	-4.03201867489874	5.52997915971211e-05	0.0147070687684666
g11694	47.1755618285545	2.77001851331256	0.754893792427454	3.66941487809196	0.000243106268269535	0.0368952924563671
g23046	14.4720630530391	17.2514467210792	3.61703017481789	4.76950588944086	1.84678344255721e-06	0.00121806448737303
g3031	47.6100681878688	-22.3920670546042	3.58369480944059	-6.24831863349982	4.14894618475222e-10	2.28039912134598e-06
g4022	5125.79824299072	1.80140954360561	0.508356442520608	3.54359538491062	0.000394710500054421	0.0471621843144736
g14560	3892.54224036058	3.00322832875405	0.810917088988052	3.7034961644498	0.000212648398007016	0.0347164300469078
g15363	2653.51295552773	1.72162764548804	0.48344513338927	3.56116449744419	0.000369213670106437	0.045432568704366
g14017	62.8892157860067	-7.71369822641541	1.71001397451604	-4.51089777122933	6.45538278111482e-06	0.00295674462993895
g673	1991.33043825789	2.061249646897	0.571133822868067	3.60904846528963	0.000307322196006635	0.0410538372471979
g334	761.607347576966	2.53472786822504	0.555107941269886	4.56618916750947	4.96670601524779e-06	0.00248169743895214
g18033	18.0728008320028	-8.13449200604868	2.27457317584341	-3.57627184407132	0.000348529224631074	0.0435371089768317
g23583	60.9416989948853	-5.65100693030933	1.39315526586452	-4.05626498981978	4.9863685163393e-05	0.0140121878232594
g12768	7373.05809827256	1.91405622966805	0.47360155493284	4.04149059421791	5.31125117925923e-05	0.0145962034491342
