baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g16984	42.5732532580854	-1.81200656062504	0.66079228179516	-2.74217270774169	0.00610342409756489	0.0214840052055303
g16989	1068.14286285207	0.930144085813178	0.319936567780745	2.90727656505528	0.00364590699251201	0.0139876027835596
g21716	12.4131389975863	3.35172944244102	1.18332115697557	2.8324765619907	0.00461889522100612	0.0170674041878578
g21714	4.79204462190479	5.46550556767689	1.79324558599679	3.04782881405441	0.00230501195012124	0.00956068735091656
g21712	7194.43287302476	-0.638633249769945	0.242165630686154	-2.63717542394615	0.00835995865095745	0.0276565755484632
g21713	1582.92353049577	2.54784798479592	0.580569616192163	4.38853139009708	1.1411866532543e-05	0.000102923515898453
g21710	1969.5260086036	1.2778623470401	0.501719328071695	2.54696655189951	0.0108663847983991	0.0343322210183315
g21719	30.1347946203639	2.08516251053588	0.729105850975754	2.85988997035935	0.00423788015928135	0.0158575623542506
g7659	1086.58628382577	1.80419468598691	0.62902366444317	2.86824612168452	0.00412754308971042	0.0155413666054671
g15181	3319.56899233365	2.77714663766482	0.499705832400324	5.55756298525649	2.7356728019417e-08	4.97688377587115e-07
g15182	767.351797230135	2.20304006989375	0.672728192463399	3.27478481588032	0.00105742486147927	0.00498760738436136
g15183	630.03336478941	-0.851629354705675	0.178256084898924	-4.77756119903886	1.77434056825512e-06	2.00134526470626e-05
g7651	360.758726627261	1.5672505308692	0.31636010219109	4.95400816984986	7.27001518208064e-07	9.09230519688214e-06
g7656	218.743117682241	1.94046798341619	0.403874252304816	4.80463404721246	1.55034804762538e-06	1.77492483866553e-05
g15189	463.392077047184	0.922838200615167	0.304504821317652	3.03061934002182	0.00244052719206575	0.0100397069147961
g7654	13705.6361408876	0.782803999133341	0.238336290621222	3.2844515499212	0.00102181065169776	0.00485024114444752
g7655	119.74899322686	1.71671662570275	0.459115474809749	3.73918266731073	0.000184619540882383	0.00113869748950935
g14588	877.801301916186	1.11098141130042	0.41250310621032	2.69326798895418	0.00707553713590798	0.0242346211219835
g14587	485.52613150037	3.03775434252012	0.501817945200107	6.05349882676828	1.41733105256472e-09	3.48007802797763e-08
g14586	110.664535551342	-1.82269350749485	0.610637049115163	-2.98490487947956	0.00283666519058997	0.0114270751550395
g14585	37.2938609118044	-1.94562172909504	0.537770406713401	-3.61794123441221	0.000296955797849783	0.0017045678383572
g14584	5618.86668065287	1.53912199388269	0.346588773508779	4.44077278759206	8.96363987613362e-06	8.34279571142772e-05
g10808	13.6333959466103	4.72297078713069	1.38465462595674	3.41093778809089	0.000647398611032665	0.00327678919555247
g10803	588.166035521718	0.785736322080346	0.278683960475418	2.81945297727192	0.00481055786824715	0.0176599141269846
g10806	580.344172385095	-1.22598386018781	0.284450373385666	-4.31000967091572	1.63247406852013e-05	0.000139163408236822
g10804	473.940057996012	0.823288002331432	0.257539529060574	3.19674422537983	0.00138988110627732	0.00626140397528376
g10805	10768.9262185321	-2.95206476422068	0.425813987229927	-6.93275667956547	4.12717749712551e-12	1.66257081005857e-10
g4305	22150.871682282	1.73928111586534	0.418403553972245	4.15694632455419	3.22529729558817e-05	0.000250137259533647
g4304	278.888785855532	2.11757288213052	0.339821450630846	6.23142794017108	4.62202592069233e-10	1.26720798996122e-08
g4307	122.711736692234	-1.29981309288439	0.333250052780908	-3.90041376449216	9.6028427447203e-05	0.000652494363757407
g4306	93.3604114605998	-1.32600730250305	0.313896491283609	-4.2243457296405	2.39635936309675e-05	0.000193672626179162
