baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g16984	34.1536582942965	-2.36506183919605	0.790921508432281	-2.99026112450013	0.00278739050474971	0.0191467658556477
g16989	1040.46749731345	1.5739249874088	0.469093114057313	3.35525067463791	0.000792930970661242	0.00717428409213163
g15181	4507.48311688947	3.19928806748694	0.443716186142686	7.21021267062396	5.58645576011285e-13	9.19646199957887e-11
g15182	1050.4701605087	3.51833380038775	0.69804367459693	5.04027746174956	4.64857392313038e-07	1.50626415672112e-05
g15183	563.139532316604	-0.996061161988834	0.340330275720503	-2.92674861171285	0.00342525621435045	0.0224412257556849
g7651	376.537327128965	1.45256086357411	0.524750951100365	2.76809572336782	0.0056384892000352	0.0326280575042037
g7656	238.780661913914	2.42320611756542	0.492450777916432	4.9207072589428	8.62320287552183e-07	2.51530573489254e-05
g15189	477.565422273648	1.39416723428349	0.45987925655685	3.03159408563396	0.0024326609413603	0.017222229363402
g7654	14137.0531196459	1.02216695184656	0.343877075087186	2.97247774248224	0.00295406627795676	0.0200988775453191
g14588	1003.70532285643	1.48907098098587	0.543760328346459	2.7384693280476	0.00617259178708727	0.0347104874204262
g14587	617.229390785236	3.49053998055941	0.636306484990766	5.48562691547937	4.12005627023901e-08	1.79353938912958e-06
g14584	4990.04753125809	2.071044862285	0.600345299124757	3.44975610753408	0.000561093224732361	0.00549656440808268
g10805	9561.1796903609	-2.6365172937237	0.533803776047781	-4.93911323228951	7.84786340350276e-07	2.33189003454287e-05
g4305	26004.0147594361	2.22499020166234	0.568654138529856	3.91273016567612	9.12584880102548e-05	0.001297918634839
g4304	244.429433036378	2.026633291446	0.678035750873864	2.9889770396827	0.00279913165285532	0.0192089906718706
g4302	41.3218778405168	-2.5887665610461	0.874023931418716	-2.96189436923541	0.00305752658278718	0.0206167117319576
g1379	237.642563395012	-2.37273749273342	0.777993860708274	-3.04981518822438	0.00228982223678604	0.0163646876623002
g1377	1245.90050382594	1.71159136148655	0.484667843689876	3.53147291236789	0.000413252185519587	0.00426411945317833
g6009	39.1535286660639	-3.503687154703	1.26228885726855	-2.77566195291035	0.00550894545988394	0.0320207454855754
g254	641.128506967474	1.46315224570816	0.503327314198272	2.90695975448651	0.00364960149056958	0.023502514634864
g257	371.306216475649	-2.40925600944613	0.580937059864893	-4.14718938744663	3.36581638073094e-05	0.000573871692914626
g258	176.905711675387	-2.13588675535343	0.736849046553286	-2.89867614723034	0.00374741744171075	0.0239707514962847
g6530	792.121108764274	1.82836414529816	0.555047231820755	3.29406947819641	0.000987480868455723	0.00850944705055527
g6537	335.657217972177	-1.67261434516676	0.505559211320013	-3.30844401153243	0.00093815941154424	0.00816301281417777
g15974	38.7503899668503	-1.94144463802768	0.708014845130244	-2.74209594810196	0.00610485061667822	0.0344634097485477
g15976	2427.19646179604	1.50238214517397	0.403272567066705	3.72547569030517	0.000194947240519098	0.00235217723564829
g19474	135.150403532549	-2.1033226144458	0.724463961202813	-2.90328122182047	0.00369274877732716	0.0237270291560698
g19475	773.547276205681	2.4387378516151	0.575991184158466	4.23398468359917	2.29586587806495e-05	0.000413602403844606
g22735	74.5174352632803	-1.83210415007639	0.632743543561606	-2.89549244511257	0.00378564142092286	0.0241828530019881
g8210	3713.04947841585	1.80010421976447	0.436033809861461	4.12835926722382	3.65360947649761e-05	0.000609871735692294
g9167	419.300127397675	-1.88952524122325	0.541708697102808	-3.48808363485559	0.00048649587725199	0.00486224281507537
g13919	654.424264252674	4.91413879346494	1.09961802947108	4.46895072812571	7.86042328947863e-06	0.000168276505757717
g9948	1491.86211673171	1.39767077975401	0.528522159514498	2.64448851309832	0.00818144835628787	0.043190086015022
g9945	1146.56757214706	1.83752618244273	0.415379399165565	4.42372969418812	9.7011386001568e-06	0.000198202149830878
g6092	1182.73384433216	2.5432917674793	0.863875972289418	2.94404735061579	0.00323950432778605	0.0215195644631502
g11668	4884.61614800375	2.18359252280026	0.715821859237774	3.0504691839467	0.00228484126042474	0.0163454028630386
g11667	85.8734083649333	2.48843096544613	0.934156227861479	2.66382741047799	0.00772571889440797	0.0411789155212918
g11666	948.445139537971	1.84402242130616	0.594687621118635	3.10082530024329	0.00192982110584714	0.0143504142668446
g17621	51.492242113236	-2.3909607572969	0.682296914006501	-3.50428194560779	0.000457840344674977	0.00463150950529623
g6339	1093.82527628218	1.90481956299771	0.49941031524498	3.81413740335604	0.000136659422407148	0.00177768959828807
g9704	5039.08058139935	6.55770285600966	0.569716425130056	11.5104683080054	1.16842172844647e-30	4.18353399870258e-27
g9702	292.102881787373	2.48122846578554	0.654401680192355	3.79159855618985	0.000149680726197914	0.0019101107118462
g9703	1202.02316745827	6.0505561565248	0.875270030827722	6.9127879893282	4.75219922915479e-12	6.00327978551555e-10
g9701	325.585967146406	2.58312972453753	0.609830941571808	4.23581282687895	2.27726416665958e-05	0.000411285969670852
g2368	23.2629637453814	-7.63270199517656	2.83671211603253	-2.69068614754316	0.00713052421669788	0.0386864642495999
g2361	7040.56669212517	2.16818549056584	0.541491048880925	4.0041021823846	6.22534539752677e-05	0.000940499966069392
