Term	Count
anatomical structure development	98
signaling	57
cell differentiation	46
cytoskeleton organization	21
immune system process	15
lipid metabolic process	15
cell adhesion	14
transmembrane transport	14
carbohydrate derivative metabolic process	12
circulatory system process	8
vesicle-mediated transport	8
protein-containing complex assembly	8
defense response to other organism	8
muscle system process	7
DNA-templated transcription	7
glycoprotein biosynthetic process	6
reproductive process	6
regulation of DNA-templated transcription	5
programmed cell death	5
wound healing	5
cell motility	5
nucleocytoplasmic transport	4
mitotic cell cycle	3
renal system process	3
carbohydrate metabolic process	3
chromatin organization	3
inflammatory response	3
cell junction organization	3
nervous system process	3
endocrine process	3
meiotic nuclear division	3
DNA repair	2
DNA recombination	2
tRNA metabolic process	2
sulfur compound metabolic process	2
intracellular protein transport	2
autophagy	2
mitochondrion organization	2
chromosome segregation	2
establishment or maintenance of cell polarity	2
extracellular matrix organization	2
ribosome biogenesis	2
cilium organization	2
membrane organization	2
cellular modified amino acid metabolic process	1
mRNA metabolic process	1
digestive system process	1
protein catabolic process	1
protein maturation	1
nucleobase-containing small molecule metabolic process	1
mitotic nuclear division	1
cytokinesis	0
cytoplasmic translation	0
respiratory system process	0
generation of precursor metabolites and energy	0
DNA replication	0
protein folding	0
cellular amino acid metabolic process	0
vitamin metabolic process	0
microtubule-based movement	0
peroxisome organization	0
lysosome organization	0
photosynthesis	0
snRNA metabolic process	0
gene silencing by RNA	0
telomere organization	0
hepaticobiliary system process	0
cell wall organization or biogenesis	0
nitrogen cycle metabolic process	0
protein localization to plasma membrane	0
detoxification	0
mitochondrial gene expression	0
