# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0006629"	"lipid metabolic process"	5.980051423570241	-3.896196279044043	0.9516197451014515	0.09438531	null
"GO:0006915"	"apoptotic process"	0.3770497347375319	-2.6682373430381627	0.9867162058943203	0.01344053	null
"GO:0007034"	"vacuolar transport"	0.3908702315163347	-3.826813731587726	0.8878753842078294	0.0118606	null
"GO:0006607"	"NLS-bearing protein import into nucleus"	0.03967947080517894	-1.996144215785521	0.8955355960333996	0.52542738	"vacuolar transport"
"GO:0006625"	"protein targeting to peroxisome"	0.00854581742048144	-2.7644882182004498	0.8834787092586339	0.36459264	"vacuolar transport"
"GO:0006821"	"chloride transport"	0.2974421964798616	-2.072251257217948	0.9281105382701703	0.24191747	"vacuolar transport"
"GO:0015804"	"neutral amino acid transport"	0.1977918612017477	-1.5929542885686474	0.9379525368628345	0.23353163	"vacuolar transport"
"GO:0016192"	"vesicle-mediated transport"	2.591260690701909	-2.0728290167007652	0.9199646192738193	0.29885355	"vacuolar transport"
"GO:0031468"	"nuclear membrane reassembly"	0.012698119836481494	-1.6124368642315527	0.9211361871203231	0.56353001	"vacuolar transport"
"GO:0043652"	"engulfment of apoptotic cell"	0.02980944550099387	-1.3767172908934906	0.8745588945970648	0.55205194	"vacuolar transport"
"GO:0045026"	"plasma membrane fusion"	0.011026861187717988	-1.7353947972954296	0.9300221458805782	0.51951056	"vacuolar transport"
"GO:0045324"	"late endosome to vacuole transport"	0.1579327116316796	-2.0110624712765954	0.8840403936929305	0.57593099	"vacuolar transport"
"GO:0071340"	"skeletal muscle acetylcholine-gated channel clustering"	0.0006005701182596404	-1.902821293958782	0.8924364382370554	0.3094842	"vacuolar transport"
"GO:0090110"	"COPII-coated vesicle cargo loading"	0.042706934925914014	-2.791644650984608	0.8483556219182758	0.51931214	"vacuolar transport"
"GO:0097401"	"synaptic vesicle lumen acidification"	0.001599879413396583	-2.2715734087271398	0.8547070534766571	0.5634974	"vacuolar transport"
"GO:1903804"	"glycine import across plasma membrane"	0.005038389475727392	-1.7353947972954296	0.9251767877557743	0.56206357	"vacuolar transport"
"GO:0007229"	"integrin-mediated signaling pathway"	0.08566246649914042	-4.818156412055227	0.8197931011084909	-0	null
"GO:0006805"	"xenobiotic metabolic process"	0.14736120073854372	-2.2138275971995145	0.8478412251134652	0.25123992	"integrin-mediated signaling pathway"
"GO:0006986"	"response to unfolded protein"	0.1284161671309845	-2.198477064041579	0.9017398779383837	0.38221913	"integrin-mediated signaling pathway"
"GO:0007035"	"vacuolar acidification"	0.05759565888227698	-1.902821293958782	0.9026625797437122	0.47110066	"integrin-mediated signaling pathway"
