%Term	%PValue
GO:0043161	1.86E-08
GO:0002181	4.77E-08
GO:0006508	5.96E-07
GO:0006511	6.47E-07
GO:0007229	1.52E-05
GO:0033209	3.58E-05
GO:0042742	4.12E-05
GO:0006412	6.75E-05
GO:0097352	7.12E-05
GO:0043123	1.23E-04
GO:0006629	1.27E-04
GO:0007034	1.49E-04
GO:0006886	1.80E-04
GO:0031397	2.17E-04
GO:0043162	4.99E-04
GO:1904263	5.10E-04
GO:0044550	5.55E-04
GO:0031638	5.83E-04
GO:0030036	7.15E-04
GO:0016567	9.20E-04
GO:0034097	0.001085662
GO:0090110	0.00161568
GO:0006625	0.001719934
GO:0043651	0.001772478
GO:0006633	0.001873842
GO:0006915	0.002146657
GO:0042981	0.002983177
GO:0050821	0.003062049
GO:0031398	0.003394115
GO:0050830	0.003557354
GO:0006914	0.003740656
GO:0015031	0.003791283
GO:0006457	0.004346277
GO:0032743	0.00436159
GO:0098742	0.004573067
GO:0016310	0.005103687
GO:0097401	0.005350897
GO:1901096	0.005350897
GO:0007165	0.006057808
GO:0006805	0.006111846
GO:0006986	0.006331738
GO:0045116	0.007500538
GO:0010498	0.007694809
GO:0000045	0.007980394
GO:0016192	0.008456117
GO:0006821	0.008467374
GO:0006636	0.009748494
GO:0045324	0.009748494
GO:0006607	0.010089178
GO:0050829	0.010338446
GO:0007035	0.012507736
GO:0071340	0.012507736
GO:0016236	0.012702113
GO:0048167	0.013383866
GO:1903076	0.013528334
GO:0016525	0.013535342
GO:0032436	0.01355956
GO:0048015	0.013927218
GO:0019941	0.015635818
GO:0000209	0.017154924
GO:0051603	0.017616062
GO:0038061	0.018164603
GO:0042761	0.018164603
GO:0070106	0.018390994
GO:0060012	0.018390994
GO:0045026	0.018390994
GO:1903804	0.018390994
GO:0001934	0.019821077
GO:0016485	0.019913938
GO:0007249	0.021693045
GO:0045672	0.022439673
GO:0008333	0.023083954
GO:0006006	0.023214533
GO:0051897	0.024359376
GO:0045104	0.024409739
GO:0031468	0.024409739
GO:0015804	0.0255297
GO:0051085	0.0255297
GO:0007169	0.026031961
GO:0045087	0.027811755
GO:0007219	0.028939504
GO:0035335	0.02910501
GO:0010507	0.02910501
GO:0048511	0.029620749
GO:0034446	0.030053257
GO:0009615	0.030411156
GO:0042059	0.030606013
GO:0016477	0.030934899
GO:0007166	0.032627825
GO:0046578	0.032777353
GO:1902455	0.032777353
GO:0046825	0.032777353
GO:0071233	0.032777353
GO:1900153	0.032777353
GO:0034599	0.034216297
GO:0031146	0.036312124
GO:0043536	0.037500457
GO:0030574	0.039141647
GO:0048813	0.039745205
GO:0033674	0.039745205
GO:0032728	0.04000498
GO:0033327	0.042003232
GO:0043652	0.042003232
GO:0042026	0.042003232
GO:0016266	0.042003232
GO:0043011	0.042003232
GO:0098609	0.042315035
GO:0006686	0.04378118
GO:1990253	0.04378118
GO:0098656	0.04378118
GO:0034976	0.046397063
GO:0007517	0.046462686
GO:0033627	0.047683691
GO:0036092	0.047683691
