%Term	%PValue
GO:0003341	1.86E-09
GO:0030317	4.34E-08
GO:0060294	1.74E-06
GO:0003351	2.59E-05
GO:0007288	2.48E-04
GO:0015881	6.01E-04
GO:0060285	9.91E-04
GO:0055085	0.001157379
GO:0034418	0.001169421
GO:0036158	0.001417477
GO:0007186	0.002337072
GO:0045807	0.002553284
GO:1904158	0.002735988
GO:0035725	0.003262632
GO:0007162	0.003951869
GO:0001732	0.00529372
GO:0071805	0.006515981
GO:0042572	0.010762093
GO:0007167	0.011021847
GO:1902287	0.011021847
GO:0046101	0.011682886
GO:1990834	0.011719668
GO:0010447	0.011719668
GO:0007018	0.013508609
GO:0031100	0.014394212
GO:0009954	0.015298644
GO:0150099	0.015298644
GO:0031016	0.015548391
GO:0034220	0.016111657
GO:0008584	0.017142934
GO:0008285	0.017745435
GO:0010467	0.018398122
GO:0051289	0.019326484
GO:0001695	0.020703348
GO:0006144	0.020703348
GO:0050966	0.020703348
GO:0010917	0.020703348
GO:0016126	0.022576719
GO:0003254	0.025980691
GO:0009156	0.025980691
GO:0097017	0.025980691
GO:0009451	0.025980691
GO:0046449	0.025980691
GO:0006811	0.026519534
GO:0043473	0.027448134
GO:0044782	0.027448134
GO:0007286	0.027523881
GO:0000079	0.030604599
GO:0050769	0.030604599
GO:0008284	0.031341589
GO:0042391	0.031842673
GO:0008104	0.031855266
GO:0071340	0.032942712
GO:0006814	0.034042566
GO:0035082	0.037880895
GO:0030279	0.040289266
GO:0048738	0.040289266
GO:0030154	0.044802885
GO:0150094	0.046270427
GO:1905072	0.046270427
GO:0007626	0.046513342
GO:0050965	0.048575185
GO:0003356	0.048575185
