Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04814:Motor proteins	16	0.9137635636778983	8.359743326971114E-5	Q8TE73, Q6ZMV9, Q9Y6X6, Q02241, Q8IWG1, Q8NI77, Q8IVF4, Q8WXX0, Q5T7B8, Q9HD67, Q8WXR4, Q9P2D7, Q9C0G6, Q96JB1, Q6ZR08, Q9H1H9	673	39	4978	3.0345563302472667	0.0945451837612804	0.09931375072441684	0.09931375072441684
KEGG_PATHWAY	mmu04814:Motor proteins	11	0.6282124500285551	0.009370716448361158	Q99104, Q7TNC6, Q5SV80, Q9DCM4, Q9QZB7, P68373, Q8BW94, Q91XQ0, Q9D5I4, Q9WV04, Q8VHE6	673	33	4978	2.465577018325904	0.9999861177377382	1.0	1.0
KEGG_PATHWAY	dme04080:Neuroactive ligand-receptor interaction	6	0.34266133637921187	0.03099703377944459	P41596, P91685, Q8ITC7, A1ZAX0, Q24563, Q4V622	673	14	4978	3.1700275949904477	0.9999999999999999	1.0	1.0
KEGG_PATHWAY	rno00030:Pentose phosphate pathway	4	0.2284408909194746	0.035715944786004594	P60892	673	6	4978	4.931154036651808	1.0	1.0	1.0
KEGG_PATHWAY	hsa05016:Huntington disease	11	0.6282124500285551	0.041983083598256615	Q8TE73, Q8IVF4, Q6ZNE5, P41594, Q8TDY2, Q8WXX0, Q9P2D7, Q9C0G6, Q96JB1, Q6ZR08, P52435	673	41	4978	1.9844888196281667	1.0	1.0	1.0
KEGG_PATHWAY	pon04141:Protein processing in endoplasmic reticulum	5	0.2855511136493432	0.049708856155608945	Q5RB31, Q5RC74, Q5R6T1, Q5R9W1, Q5R9W3	673	11	4978	3.3621504795353236	1.0	1.0	1.0
KEGG_PATHWAY	rno05164:Influenza A	4	0.2284408909194746	0.08133028148179171	Q62689, Q9QX05, Q05961, Q9EPV5	673	8	4978	3.6983655274888556	1.0	1.0	1.0
KEGG_PATHWAY	mmu04929:GnRH secretion	4	0.2284408909194746	0.08133028148179171	O88704, O88703, Q9QX29, Q9WV18	673	8	4978	3.6983655274888556	1.0	1.0	1.0
KEGG_PATHWAY	rno01230:Biosynthesis of amino acids	4	0.2284408909194746	0.08133028148179171	P60892	673	8	4978	3.6983655274888556	1.0	1.0	1.0
KEGG_PATHWAY	xtr01100:Metabolic pathways	8	0.4568817818389492	0.08604097855912413	Q5M8W9, Q0V9P1, A4IHW6, Q566L8, B1WAX6, Q68EQ1, Q66JG3, Q6DNG6	673	29	4978	2.0404775324076443	1.0	1.0	1.0
KEGG_PATHWAY	hsa05032:Morphine addiction	5	0.2855511136493432	0.08662265137935994	P35626, Q9UBS5, O75899, Q14432, O60658	673	13	4978	2.8448965596068123	1.0	1.0	1.0
KEGG_PATHWAY	rno00340:Histidine metabolism	3	0.17133066818960593	0.09058365344828094	Q66HF8, Q01984, Q5BJZ6	673	4	4978	5.547548291233284	1.0	1.0	1.0
KEGG_PATHWAY	rno05134:Legionellosis	3	0.17133066818960593	0.09058365344828094	Q9QX05, P84079, Q9EPV5	673	4	4978	5.547548291233284	1.0	1.0	1.0
KEGG_PATHWAY	rno04115:p53 signaling pathway	3	0.17133066818960593	0.09058365344828094	Q920M9, Q9EPV5, O54857	673	4	4978	5.547548291233284	1.0	1.0	1.0
