%Term	%PValue
GO:0002181	2.76E-08
GO:0006412	8.68E-05
GO:0043161	1.52E-04
GO:0006629	3.24E-04
GO:0007517	3.33E-04
GO:0006508	6.29E-04
GO:0001732	7.89E-04
GO:0031397	7.95E-04
GO:0006511	9.57E-04
GO:0007229	9.75E-04
GO:0007288	0.001307484
GO:0006986	0.001307484
GO:0006457	0.001460079
GO:0010508	0.001554736
GO:0034097	0.001583561
GO:0003341	0.00161715
GO:0033209	0.00180401
GO:0097352	0.002397751
GO:0016558	0.002453767
GO:0006914	0.002913659
GO:0031638	0.002974139
GO:0043162	0.003387982
GO:0071340	0.003394442
GO:0007034	0.003394442
GO:0016477	0.003469053
GO:0060294	0.004078687
GO:0016236	0.004161452
GO:0008333	0.004197343
GO:0050830	0.004210219
GO:0055085	0.004412559
GO:0043123	0.004994427
GO:0030317	0.005919853
GO:0050829	0.006302738
GO:0010498	0.006557228
GO:0016562	0.007726644
GO:0006886	0.008549747
GO:0000045	0.008889802
GO:0051603	0.010653047
GO:0007416	0.010653047
GO:0098742	0.011072163
GO:0071526	0.011153017
GO:0044550	0.013655242
GO:0030336	0.013954378
GO:0001934	0.014091266
GO:0042742	0.014652311
GO:0015031	0.014675126
GO:0008104	0.015136966
GO:0007169	0.015380693
GO:0045332	0.015555491
GO:0098609	0.015938452
GO:0033674	0.017042706
GO:1990834	0.017350372
GO:0006625	0.017350372
GO:0007220	0.017350372
GO:0034418	0.017350372
GO:0006805	0.017751848
GO:0051085	0.017781645
GO:0007156	0.021789258
GO:0032496	0.021879091
GO:0030334	0.021879091
GO:0035725	0.022191365
GO:0140115	0.022889351
GO:0022409	0.022889351
GO:0015881	0.022889351
GO:0043651	0.022889351
GO:0048167	0.023272644
GO:0043066	0.024434901
GO:0006633	0.025521097
GO:0030036	0.02560014
GO:0090110	0.026586902
GO:0043149	0.026586902
GO:0043652	0.026586902
GO:0036503	0.027560759
GO:0051897	0.027659645
GO:0042149	0.0281678
GO:0006821	0.0281678
GO:0006413	0.029708662
GO:0090385	0.030308934
GO:0072359	0.031148204
GO:0016525	0.031230718
GO:0001764	0.034632094
GO:0007155	0.035868354
GO:0048813	0.037925164
GO:0006686	0.038289613
GO:1902043	0.038289613
GO:0055002	0.038289613
GO:1905037	0.038289613
GO:0006915	0.039063831
GO:0032755	0.039729102
GO:0042981	0.041746344
GO:0006513	0.044999309
GO:0006644	0.045275203
GO:0003351	0.045275203
GO:0006094	0.045275203
GO:0097401	0.046221558
GO:1902455	0.046221558
GO:1901096	0.046221558
GO:1904158	0.046221558
GO:1903078	0.047088473
GO:0000209	0.04771642
GO:0042572	0.048817064
GO:0007165	0.049620344
GO:0007166	0.049846596
