%Term	%PValue
GO:0006511	4.19E-08
GO:0016567	6.47E-08
GO:0002181	4.64E-07
GO:0006508	5.55E-07
GO:0033209	5.12E-05
GO:0043161	7.58E-05
GO:0042981	8.82E-05
GO:1904263	9.00E-05
GO:0006412	1.33E-04
GO:0007229	1.79E-04
GO:0097352	4.47E-04
GO:0043123	6.02E-04
GO:0032728	6.31E-04
GO:0007249	0.001319302
GO:0006629	0.001321181
GO:0031397	0.001558552
GO:0006915	0.001819224
GO:0044550	0.001865573
GO:0031638	0.002079395
GO:0031398	0.002308619
GO:0000045	0.002308619
GO:0043162	0.002540628
GO:0007034	0.002698038
GO:0015804	0.003592349
GO:0000209	0.003609264
GO:0034097	0.004232733
GO:0016310	0.004265708
GO:0098609	0.004702698
GO:0045087	0.005169605
GO:0034142	0.006233996
GO:1901096	0.006330801
GO:0006513	0.006525652
GO:0006633	0.007934742
GO:0015031	0.008797223
GO:0042742	0.008859883
GO:0045104	0.008941226
GO:0070498	0.008941226
GO:0070534	0.010265937
GO:0006914	0.010557608
GO:0038061	0.010872012
GO:0006886	0.011175759
GO:0043122	0.013588303
GO:0071356	0.014220673
GO:0017148	0.014298114
GO:0006625	0.014652708
GO:0051603	0.016787161
GO:0006457	0.016908087
GO:0032436	0.017756778
GO:0015881	0.019045472
GO:0043651	0.019045472
GO:0045324	0.021805341
GO:0043011	0.021805341
GO:0007586	0.021805341
GO:0090110	0.021805341
GO:0016239	0.024182406
GO:0006006	0.024231269
GO:0032743	0.024377587
GO:0045995	0.02574799
GO:0009615	0.030728322
GO:0019221	0.032510981
GO:0071267	0.033324601
GO:0010637	0.033324601
GO:0070327	0.033324601
GO:0010498	0.034333381
GO:0035335	0.036171775
GO:0007416	0.036290141
GO:0048015	0.037990618
GO:0016485	0.038667717
GO:0046578	0.039618429
GO:0046825	0.039618429
GO:1900153	0.039618429
GO:0097401	0.039618429
GO:0045600	0.039737029
GO:0016236	0.04145234
GO:0050852	0.04145234
GO:0010898	0.042622046
GO:0098742	0.042622046
GO:0051893	0.042622046
GO:0098586	0.042657483
GO:0016525	0.043124687
GO:0035329	0.043531794
GO:0033627	0.043531794
GO:0035418	0.043671999
GO:0031640	0.043671999
GO:0016558	0.043671999
GO:0007165	0.043896739
GO:0006986	0.044288262
GO:0030036	0.046369411
GO:0006821	0.04730173
