%Term	%PValue
GO:0002181	1.40E-08
GO:0006511	1.51E-07
GO:0016567	2.10E-07
GO:0006508	1.66E-06
GO:0006412	1.56E-05
GO:0043161	1.03E-04
GO:1904263	1.05E-04
GO:0033209	3.06E-04
GO:0043123	3.44E-04
GO:0000209	3.73E-04
GO:0031638	5.00E-04
GO:0007229	6.30E-04
GO:0032728	6.99E-04
GO:0034097	0.001178535
GO:0097352	0.001699886
GO:0031397	0.001741657
GO:0042981	0.001824039
GO:0044550	0.001991126
GO:0006915	0.002501644
GO:0000045	0.002624565
GO:0043162	0.002720674
GO:0007034	0.002849221
GO:0015031	0.003822431
GO:0015804	0.003872181
GO:0006633	0.003973406
GO:0007249	0.004958622
GO:0016310	0.006121788
GO:0031398	0.006135557
GO:1901096	0.006637556
GO:0034142	0.006650464
GO:0071356	0.006973808
GO:0051603	0.007777212
GO:0030513	0.008231503
GO:0017148	0.00840098
GO:0070498	0.00940742
GO:0045087	0.009708414
GO:0098609	0.009749107
GO:0042742	0.010002457
GO:0070534	0.011327438
GO:0035418	0.011478166
GO:0038061	0.011478166
GO:0006914	0.012516847
GO:0035335	0.014728572
GO:2001237	0.014776037
GO:0032008	0.014776037
GO:0006625	0.015252807
GO:0006629	0.016910219
GO:0051865	0.018472938
GO:0032436	0.019617953
GO:0022409	0.019896728
GO:0015881	0.019896728
GO:0043651	0.019896728
GO:0016236	0.020224899
GO:0043011	0.022859511
GO:0045324	0.022859511
GO:0007586	0.022859511
GO:0006636	0.022859511
GO:0090110	0.022859511
GO:0006750	0.024613914
GO:0051607	0.025334567
GO:0016239	0.025690621
GO:0032743	0.025814025
GO:0006006	0.026373586
GO:0045995	0.027939801
GO:0009615	0.033040202
GO:0070327	0.0344425
GO:0010637	0.0344425
GO:0021762	0.0344425
GO:1901652	0.0344425
GO:0097009	0.034849274
GO:0019221	0.034849274
GO:0010498	0.036688593
GO:0010507	0.038532301
GO:0007416	0.039232921
GO:0006886	0.039292314
GO:0031146	0.04084722
GO:1900153	0.041098562
GO:0097401	0.041098562
GO:0051246	0.041098562
GO:0046578	0.041098562
GO:0046825	0.041098562
GO:0045600	0.042062497
GO:0006541	0.042062497
GO:0043122	0.043610175
GO:0010898	0.044371779
GO:0051893	0.044371779
GO:0098742	0.044371779
GO:0045104	0.044371779
GO:0050852	0.04454332
GO:0043066	0.044546811
GO:0098586	0.044861756
GO:0016558	0.045622201
GO:0031640	0.045622201
GO:0035329	0.045629642
GO:0034727	0.045629642
GO:0033627	0.045629642
GO:0006986	0.047445855
