# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0006511"	"ubiquitin-dependent protein catabolic process"	1.2078769595261523	-7.377785977033705	0.803451623441882	0	null
"GO:0002181"	"cytoplasmic translation"	0.37754692803215667	-6.333482019445119	0.8741691754554136	0.27024809	"ubiquitin-dependent protein catabolic process"
"GO:0006412"	"translation"	4.432288697403288	-3.876148359032914	0.8412074706689483	0.40773812	"ubiquitin-dependent protein catabolic process"
"GO:0006457"	"protein folding"	1.1925033490398829	-1.7719055261894394	0.8455735742552257	0.59709358	"ubiquitin-dependent protein catabolic process"
"GO:0006508"	"proteolysis"	5.329242630377004	-6.255707016877324	0.8756404981875638	0.44662344	"ubiquitin-dependent protein catabolic process"
"GO:0006513"	"protein monoubiquitination"	0.044016374691955525	-2.1853760899887633	0.8882217667165422	0.69364171	"ubiquitin-dependent protein catabolic process"
"GO:0006629"	"lipid metabolic process"	5.980051423570241	-2.8790376805562286	0.9519288865143246	0.10215589	"ubiquitin-dependent protein catabolic process"
"GO:0016567"	"protein ubiquitination"	1.2480954666259985	-7.189095719331299	0.8570942405958872	0.30696801	"ubiquitin-dependent protein catabolic process"
"GO:0031638"	"zymogen activation"	0.03279260526874257	-2.6820630046435534	0.8597840261608586	0.44629044	"ubiquitin-dependent protein catabolic process"
"GO:0035335"	"peptidyl-tyrosine dephosphorylation"	0.04028250227638227	-1.4416301792729072	0.8893851470231914	0.37472349	"ubiquitin-dependent protein catabolic process"
"GO:0070534"	"protein K63-linked ubiquitination"	0.04617498122356907	-1.9886014052453627	0.8878562588687015	0.69639444	"ubiquitin-dependent protein catabolic process"
"GO:0097352"	"autophagosome maturation"	0.03528841715364124	-3.3496924768680634	0.8455905701844217	0.35331458	"ubiquitin-dependent protein catabolic process"
"GO:0006915"	"apoptotic process"	0.3770497347375319	-2.7401138232154802	0.9879902878400606	0.01098305	null
"GO:0007034"	"vacuolar transport"	0.3908702315163347	-2.5689519378835017	0.8823555343621414	0.01344053	null
"GO:0006625"	"protein targeting to peroxisome"	0.00854581742048144	-1.834082104949853	0.8725964348976363	0.36459264	"vacuolar transport"
"GO:0006821"	"chloride transport"	0.2974421964798616	-1.3251229752090368	0.939356762932109	0.24191747	"vacuolar transport"
"GO:0015031"	"protein transport"	2.9737820130332575	-2.0556543989986436	0.8647082006789738	0.60009782	"vacuolar transport"
"GO:0015804"	"neutral amino acid transport"	0.1977918612017477	-2.4446214778478783	0.9448588672214322	0.23353163	"vacuolar transport"
"GO:0015881"	"creatine transmembrane transport"	0.0006202609418091367	-1.7202082598391935	0.9426979422016156	0.15675585	"vacuolar transport"
