%Term	%PValue
GO:0006281	2.53E-05
GO:0016567	0.001556229
GO:0007020	0.002883863
GO:0032259	0.003467833
GO:0032728	0.003700726
GO:0071267	0.003851287
GO:0000724	0.004576381
GO:2001034	0.006035581
GO:0032204	0.006035581
GO:0045859	0.009855533
GO:0051382	0.009855533
GO:0006974	0.013282954
GO:0034587	0.01340473
GO:0006310	0.015840607
GO:0040029	0.017141335
GO:0050790	0.019477968
GO:0045722	0.021812525
GO:0051301	0.025119098
GO:0007059	0.026020615
GO:0019538	0.030267138
GO:0042574	0.034584138
GO:0045830	0.034584138
GO:0051893	0.034584138
GO:0048014	0.034584138
GO:0045947	0.034584138
GO:0070534	0.034739702
GO:0006579	0.03510465
GO:1904354	0.03510465
GO:0010637	0.03510465
GO:0032784	0.03510465
GO:0006897	0.039564414
GO:0032024	0.039572052
GO:0055013	0.040520326
GO:0006513	0.04062433
GO:0045087	0.040759314
GO:0045995	0.043990531
GO:0051607	0.048805469
GO:0050881	0.049069141
GO:0030240	0.049069141
GO:0016182	0.049069141
GO:0000278	0.049680289
