Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno03010:Ribosome	22	0.49977283053157656	1.1520500990967118E-7	P62907, P29314, P62909, P62914, P62083, Q498T4, P38983, P17702, P62282, P61354, P62250, P17074, P61314, P23358, P62752, P24049	2063	22	4978	2.412990790111488	3.0248261623833095E-4	3.025283560227965E-4	3.025283560227965E-4
KEGG_PATHWAY	rno05171:Coronavirus disease - COVID-19	27	0.6133575647432985	3.32552080419739E-5	P62907, P31722, P29314, P62909, P62914, P62083, Q05961, P40190, A0A0G2K344, P38983, P17702, P62282, P61354, P62250, P61314, P17074, P23358, Q8CHN8, B5DF45, P62752, P24049	2063	34	4978	1.9161985686179466	0.0836250173839892	0.04366408815911173	0.04366408815911173
KEGG_PATHWAY	hsa05012:Parkinson disease	21	0.47705588368923213	0.0012439068949116885	O43242, P55036, Q504Y0, P29274, Q05940, P51665, O95299, Q07817, P21912, P17612, Q9BXM7, O14727, Q99497, P25789, P25788, Q9Y385, Q9UER7, P25787, Q9NZJ5, Q96GE6	2063	28	4978	1.8097430925836162	0.9619377690813095	0.896830126787418	0.896830126787418
KEGG_PATHWAY	mmu05171:Coronavirus disease - COVID-19	14	0.31803725579282144	0.0013660778778178493	Q8VI93, P51410, Q8R5F7, P19221, Q62077, Q00560, Q9WUN2, P58682, O09167, Q60803, P27659, Q6Q899, P47955, P98064	2063	16	4978	2.111366941347552	0.9723954046118076	0.896830126787418	0.896830126787418
KEGG_PATHWAY	ocu03010:Ribosome	10	0.2271694684234439	0.0022321340449356288	G1SQH0, G1SKF7, G1SZ12, G1TFM5, G1T168, G1SNY0, G1TU13	2063	10	4978	2.412990790111488	0.9971718590007367	1.0	1.0
KEGG_PATHWAY	hsa04137:Mitophagy - animal	12	0.2726033621081327	0.0053392583049200375	Q9BXW4, Q07817, Q9BXK5, Q9BXM7, O14807, Q7Z6Z7, Q9UJ41, Q9UHD2, Q7Z3C6, Q14596, Q9HAU4, Q9NZJ5	2063	14	4978	2.0682778200955614	0.9999992156862159	1.0	1.0
KEGG_PATHWAY	mmu03050:Proteasome	9	0.2044525215810995	0.015549640389313493	Q9D8W5, P70195, P46471, Q8VDM4, Q9Z2U1, Q9R1P4, O88685, P62334, Q60692	2063	10	4978	2.171691711100339	1.0	1.0	1.0
KEGG_PATHWAY	hsa05164:Influenza A	14	0.31803725579282144	0.015924560300297416	O95786, Q09472, Q16611, Q9Y243, P55265, O14980, Q9UHD2, O14727, P52948, P20231, Q14790, Q9UBU9, P42336, P07478	2063	19	4978	1.7779932137663599	1.0	1.0	1.0
KEGG_PATHWAY	ocu05171:Coronavirus disease - COVID-19	10	0.2271694684234439	0.01958248223076594	G1SQH0, G1SKF7, G1SZ12, G1TFM5, G1T168, G1SNY0, G1TU13	2063	12	4978	2.01082565842624	1.0	1.0	1.0
KEGG_PATHWAY	hsa03050:Proteasome	7	0.15901862789641072	0.022729137039894456	Q14997, O43242, P55036, P25789, P25788, P51665, P25787	2063	7	4978	2.4129907901114884	1.0	1.0	1.0
KEGG_PATHWAY	hsa04625:C-type lectin receptor signaling pathway	11	0.24988641526578828	0.022767845419597997	Q9Y243, O14807, P20749, Q9UDY8, Q8TAD2, Q9ULY5, Q14790, Q06124, Q9NQC7, Q96GE6, P42336	2063	14	4978	1.8959213350875979	1.0	1.0	1.0
KEGG_PATHWAY	hsa05162:Measles	12	0.2726033621081327	0.025225483613860164	Q07817, O95786, O14727, Q9Y243, Q16611, P21580, P55265, Q14790, Q9UHD2, Q9Y4K3, P42336, Q9NZJ5	2063	16	4978	1.809743092583616	1.0	1.0	1.0
KEGG_PATHWAY	hsa04140:Autophagy - animal	26	0.5906406179009541	0.02772511361637368	Q9Y243, Q8TDY2, Q9H269, Q9H8Y8, Q9UHD2, Q99570, Q96DT6, Q9Y4K3, O15519, O14807, Q9NR09, Q7Z3C6, Q8N122, Q14596, P23443, Q9BXW4, P07858, P11279, Q07817, Q9NQL2, P17612, Q9HCE0, O94817, P42336, Q9NZJ5	2063	44	4978	1.4258581941567885	1.0	1.0	1.0
KEGG_PATHWAY	mmu04120:Ubiquitin mediated proteolysis	26	0.5906406179009541	0.02772511361637368	Q9D787, Q9Z255, Q3ULA2, Q3U1J4, Q8BZQ7, Q8BGZ4, Q9ES00, Q6PCX9, Q8C7R4, Q9D4H8, Q8BZZ3, Q6P073, P0CG50, A0PJN4, A2A6Q5, Q8VBV4, O08759, P61082, Q9CPX9, Q9WVS6, O88907, Q8R034, Q91W82, P22682, Q9R1A8, Q6ZPJ3	2063	44	4978	1.4258581941567885	1.0	1.0	1.0
KEGG_PATHWAY	hsa04210:Apoptosis	14	0.31803725579282144	0.02844157746805394	Q16611, Q9Y243, P07858, Q13315, Q12923, P53634, O15519, Q07817, O14727, Q14790, Q13490, Q9UER7, P42336, Q9NZJ5	2063	20	4978	1.6890935530780418	1.0	1.0	1.0
KEGG_PATHWAY	hsa05152:Tuberculosis	14	0.31803725579282144	0.02844157746805394	Q09472, Q9Y243, P11279, Q9Y4K3, P17676, Q99437, O14727, Q9UDY8, Q9ULY5, Q14790, P22897, Q15399, P10809, Q96GE6	2063	20	4978	1.6890935530780418	1.0	1.0	1.0
KEGG_PATHWAY	hsa04922:Glucagon signaling pathway	14	0.31803725579282144	0.02844157746805394	Q8TEY5, Q09472, P14618, Q9Y243, O43741, Q16822, P50416, P15336, P17612, Q9NQR9, Q01813, Q96BA8, Q96GE6	2063	20	4978	1.6890935530780418	1.0	1.0	1.0
KEGG_PATHWAY	hsa05020:Prion disease	17	0.38618809631985457	0.030410902436985177	Q8TEY5, O43242, P55036, P51665, O95299, P15336, P21912, P17612, Q01668, O14727, P25789, P25788, Q96BA8, P25787, P42336, Q9NZJ5	2063	26	4978	1.5777247473805884	1.0	1.0	1.0
KEGG_PATHWAY	bta04936:Alcoholic liver disease	8	0.1817355747387551	0.030657071430650603	P48818, Q645M6, Q2KJC9, Q3ZCC3, Q3SYW2, Q2KIA4, Q1RMT8, Q2UVX4	2063	9	4978	2.144880702321323	1.0	1.0	1.0
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	9	0.2044525215810995	0.036380136088343513	P98088, P21580, Q8TAD2, Q14790, Q9UHD2, Q9Y4K3, Q13164, Q9P0M4, P17676	2063	11	4978	1.9742651919093994	1.0	1.0	1.0
KEGG_PATHWAY	mmu04137:Mitophagy - animal	10	0.2271694684234439	0.0404256443471242	Q811U4, Q06507, O35465, P39429, P0CG50, Q9R049, Q6PDG8, O70405, Q9WUN2, Q9WVS6	2063	13	4978	1.8561467616242215	1.0	1.0	1.0
KEGG_PATHWAY	mcf01100:Metabolic pathways	10	0.2271694684234439	0.0404256443471242	Q4R7U8, Q4R834, Q9N0C5, Q60HG7, Q60HH9, Q95JJ0, O02663, Q4R761, Q8HXX8	2063	13	4978	1.8561467616242215	1.0	1.0	1.0
KEGG_PATHWAY	mmu05203:Viral carcinogenesis	11	0.24988641526578828	0.043215889609024075	Q60631, P70191, Q8VD76, Q06507, Q3U1J4, Q8VI36, P39429, Q60803, O08759, Q00560, Q99M87	2063	15	4978	1.7695265794150912	1.0	1.0	1.0
KEGG_PATHWAY	hsa05034:Alcoholism	11	0.24988641526578828	0.043215889609024075	Q8TEY5, P17612, Q96DB2, P29274, Q05940, Q16566, P15336, Q9UBN7, Q96BA8, Q96GE6	2063	15	4978	1.7695265794150912	1.0	1.0	1.0
KEGG_PATHWAY	hsa04931:Insulin resistance	12	0.2726033621081327	0.04506496398544063	Q8TEY5, Q9NQR9, Q9Y243, O43741, Q16822, O60343, Q06124, P50416, O14975, Q96BA8, P23443, P42336	2063	17	4978	1.7032876165492856	1.0	1.0	1.0
KEGG_PATHWAY	hsa04668:TNF signaling pathway	16	0.3634711494775102	0.046853965022995	Q8TEY5, Q9Y243, P21580, P19320, P15336, P17676, O15519, P20749, P16581, Q14790, O95429, Q13490, O14733, Q96BA8, Q9NQC7, P42336	2063	25	4978	1.5443141056713523	1.0	1.0	1.0
KEGG_PATHWAY	mmu05017:Spinocerebellar ataxia	16	0.3634711494775102	0.046853965022995	Q9D8W5, P98156, P54254, P70195, P46471, P39429, Q8VDM4, Q9R1P4, Q60692, Q3UMR5, Q9ESK9, Q9Z2U1, O88685, O70305, P62334, O70405	2063	25	4978	1.5443141056713523	1.0	1.0	1.0
KEGG_PATHWAY	hsa04215:Apoptosis - multiple species	6	0.13630168105406634	0.04781110272474484	Q07817, O14727, Q16611, Q9NR09, Q14790, Q13490	2063	6	4978	2.412990790111488	1.0	1.0	1.0
KEGG_PATHWAY	mmu05323:Rheumatoid arthritis	6	0.13630168105406634	0.04781110272474484	Q9D777, Q9WU72, Q8BVE3, Q9Z1G4, P50516, Q02858	2063	6	4978	2.412990790111488	1.0	1.0	1.0
KEGG_PATHWAY	hsa00630:Glyoxylate and dicarboxylate metabolism	6	0.13630168105406634	0.04781110272474484	Q9BWD1, Q9UBQ7, P05165, Q9UJM8, P15104, P23378	2063	6	4978	2.412990790111488	1.0	1.0	1.0
KEGG_PATHWAY	mmu04622:RIG-I-like receptor signaling pathway	7	0.15901862789641072	0.059055351473230565	Q8R151, Q60855, Q8R5F7, P39429, Q60803, Q6Q899, Q9WUN2	2063	8	4978	2.111366941347552	1.0	1.0	1.0
KEGG_PATHWAY	mmu04630:JAK-STAT signaling pathway	7	0.15901862789641072	0.059055351473230565	Q60631, O54928, P70297, O35717, Q00560, O88907, Q8VHQ2	2063	8	4978	2.111366941347552	1.0	1.0	1.0
KEGG_PATHWAY	hsa04726:Serotonergic synapse	7	0.15901862789641072	0.059055351473230565	P17612, Q01668, P09917, Q05940, P30939, P51589	2063	8	4978	2.111366941347552	1.0	1.0	1.0
KEGG_PATHWAY	bta00600:Sphingolipid metabolism	7	0.15901862789641072	0.059055351473230565	Q2KHZ8, Q0V8R6, A6QNK1, O97859, Q17QB3, A6BMK7	2063	8	4978	2.111366941347552	1.0	1.0	1.0
KEGG_PATHWAY	hsa05145:Toxoplasmosis	8	0.1817355747387551	0.06590774386054446	Q07817, P24043, P09917, Q9Y243, Q14790, Q13490, Q9Y4K3, Q16363	2063	10	4978	1.9303926320891907	1.0	1.0	1.0
KEGG_PATHWAY	hsa04211:Longevity regulating pathway	16	0.3634711494775102	0.06927632309501242	Q8TEY5, Q9Y243, Q15848, Q8TDY2, O43741, P58005, Q9UKG1, P15336, Q9Y6P5, P17612, Q16566, Q8N122, Q96BA8, P23443, P42336	2063	26	4978	1.4849174092993773	1.0	1.0	1.0
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	9	0.2044525215810995	0.06997544380371509	Q9Y243, Q13905, Q06124, Q16566, O14733, Q9Y4K3, Q13164, Q96GE6, P42336	2063	12	4978	1.809743092583616	1.0	1.0	1.0
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	15	0.3407542026351658	0.07071406921861054	Q8TEY5, Q9Y376, Q9Y243, Q15848, O00418, O43741, Q16822, Q16537, P50416, Q9NQR9, Q8N122, Q01813, Q96BA8, P23443, P42336	2063	24	4978	1.5081192438196802	1.0	1.0	1.0
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	14	0.31803725579282144	0.07193399424826598	O95786, O43242, Q16611, P55036, Q9Y243, P21580, Q9UHD2, P51665, Q9Y4K3, O14727, Q9UBT6, Q14790, O14733, P42336	2063	22	4978	1.5355395937073109	1.0	1.0	1.0
KEGG_PATHWAY	xla04310:Wnt signaling pathway	10	0.2271694684234439	0.07220968241722649	P33945, P67963, P28020, Q8AVJ9, B0DOB5, P58421, Q9I9M5, Q71U00, A0A0D3QS98	2063	14	4978	1.7235648500796343	1.0	1.0	1.0
KEGG_PATHWAY	mmu05417:Lipid and atherosclerosis	13	0.29532030895047706	0.0728464591036371	P98156, P35951, P39429, Q9Z2A0, Q62077, P70236, Q9WUN2, P41233, Q06507, O54750, Q60803, O54749, Q8BJQ4	2063	20	4978	1.5684440135724673	1.0	1.0	1.0
KEGG_PATHWAY	mmu01240:Biosynthesis of cofactors	13	0.29532030895047706	0.0728464591036371	P97494, Q99K85, P70691, P58058, Q9D273, Q8CFY5, Q7M753, Q9WTP6, Q7TQA3, Q9QYF1, Q9QXL8, Q8BUV3, Q8BJ03	2063	20	4978	1.5684440135724673	1.0	1.0	1.0
KEGG_PATHWAY	hsa04725:Cholinergic synapse	11	0.24988641526578828	0.07319989959997755	Q8TEY5, P17612, Q01668, Q9Y243, Q9NR82, P32297, Q16566, P22303, Q96BA8, P42336	2063	16	4978	1.658931168201648	1.0	1.0	1.0
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	11	0.24988641526578828	0.07319989959997755	O15519, Q07817, Q92838, O95786, P21580, Q9UDY8, Q13315, P19320, Q13490, Q9Y4K3, Q9NQC7	2063	16	4978	1.658931168201648	1.0	1.0	1.0
