Sample_ID,Disease_Sign,start,end,Sample_Date,Treatment,Age,Star_ID
3,Healthy,6/21/22,6/28/22,,Exposed,Adult,3
3,ArmTwist,6/28/22,7/3/22,,Exposed,Adult,3
3,ArmDrop,7/3/22,7/3/22,,Exposed,Adult,3
3,Mortality,7/3/22,7/4/22,,Exposed,Adult,3
5,Healthy,6/21/22,6/29/22,,Exposed,Adult,5
5,ArmTwist,6/29/22,7/3/22,,Exposed,Adult,5
5,ArmDrop,7/3/22,7/4/22,,Exposed,Adult,5
5,Mortality,7/4/22,7/5/22,,Exposed,Adult,5
6,Healthy,6/21/22,6/26/22,,Exposed,Adult,6
6,ArmTwist,6/26/22,6/29/22,,Exposed,Adult,6
6,ArmDrop,6/29/22,7/5/22,,Exposed,Adult,6
6,Mortality,7/5/22,7/6/22,,Exposed,Adult,6
18,Healthy,6/21/22,6/30/22,,Exposed,Adult,18
18,ArmTwist,6/30/22,7/4/22,,Exposed,Adult,18
18,ArmDrop,7/4/22,7/5/22,,Exposed,Adult,18
18,Mortality,7/5/22,7/6/22,,Exposed,Adult,18
22,Healthy,6/21/22,6/29/22,,Exposed,Adult,22
22,ArmTwist,6/29/22,7/4/22,,Exposed,Adult,22
22,ArmDrop,7/4/22,7/5/22,,Exposed,Adult,22
22,Mortality,7/5/22,7/6/22,,Exposed,Adult,22
28,Healthy,6/21/22,6/26/22,,Exposed,Adult,28
28,ArmTwist,6/26/22,6/29/22,,Exposed,Adult,28
28,ArmDrop,6/29/22,7/7/22,,Exposed,Adult,28
28,Mortality,7/7/22,7/8/22,,Exposed,Adult,28
37,Healthy,6/21/22,6/28/22,,Exposed,Juvenile,37
37,ArmTwist,6/28/22,7/1/22,,Exposed,Juvenile,37
37,ArmDrop,7/1/22,7/2/22,,Exposed,Juvenile,37
37,Mortality,7/2/22,7/3/22,,Exposed,Juvenile,37
39,Healthy,6/21/22,6/27/22,,Exposed,Juvenile,39
39,ArmTwist,6/27/22,6/30/22,,Exposed,Juvenile,39
39,ArmDrop,6/30/22,7/3/22,,Exposed,Juvenile,39
39,Mortality,7/3/22,7/4/22,,Exposed,Juvenile,39
44,Healthy,6/21/22,6/26/22,,Exposed,Juvenile,44
44,ArmTwist,6/26/22,6/29/22,,Exposed,Juvenile,44
44,ArmDrop,6/29/22,7/2/22,,Exposed,Juvenile,44
44,Mortality,7/2/22,7/3/22,,Exposed,Juvenile,44
46,Healthy,6/21/22,6/26/22,,Exposed,Juvenile,46
46,ArmTwist,6/26/22,7/2/22,,Exposed,Juvenile,46
46,ArmDrop,7/2/22,7/3/22,,Exposed,Juvenile,46
46,Mortality,7/3/22,7/4/22,,Exposed,Juvenile,46
47,Healthy,6/21/22,6/27/22,,Exposed,Juvenile,47
47,ArmTwist,6/27/22,6/30/22,,Exposed,Juvenile,47
47,ArmDrop,6/30/22,7/2/22,,Exposed,Juvenile,47
47,Mortality,7/2/22,7/3/22,,Exposed,Juvenile,47
50,Healthy,6/21/22,6/27/22,,Exposed,Juvenile,50
50,ArmTwist,6/27/22,6/30/22,,Exposed,Juvenile,50
50,ArmDrop,6/30/22,7/3/22,,Exposed,Juvenile,50
50,Mortality,7/3/22,7/4/22,,Exposed,Juvenile,50
54,Healthy,6/21/22,6/27/22,,Exposed,Juvenile,54
54,ArmTwist,6/27/22,7/1/22,,Exposed,Juvenile,54
54,ArmDrop,7/1/22,7/2/22,,Exposed,Juvenile,54
54,Mortality,7/2/22,7/3/22,,Exposed,Juvenile,54
174,Healthy,6/21/22,6/25/22,7/1/22,Exposed,Adult,30
174,ArmTwist,6/25/22,7/1/22,7/1/22,Exposed,Adult,30
174,ArmDrop,7/1/22,7/5/22,7/1/22,Exposed,Adult,30
174,Mortality,7/5/22,7/6/22,7/1/22,Exposed,Adult,30
187,Healthy,6/21/22,6/27/22,7/2/22,Exposed,Juvenile,57
187,ArmTwist,6/27/22,7/2/22,7/2/22,Exposed,Juvenile,57
187,ArmDrop,7/2/22,7/4/22,7/2/22,Exposed,Juvenile,57
187,Mortality,7/4/22,7/5/22,7/2/22,Exposed,Juvenile,57
188,Healthy,6/21/22,6/29/22,7/2/22,Exposed,Juvenile,38
188,ArmTwist,6/29/22,7/2/22,7/2/22,Exposed,Juvenile,38
188,ArmDrop,7/2/22,7/6/22,7/2/22,Exposed,Juvenile,38
188,Mortality,7/6/22,7/7/22,7/2/22,Exposed,Juvenile,38
190,Healthy,6/21/22,6/28/22,7/2/22,Exposed,Adult,10
190,ArmTwist,6/28/22,7/2/22,7/2/22,Exposed,Adult,10
190,ArmDrop,7/2/22,7/4/22,7/2/22,Exposed,Adult,10
190,Mortality,7/4/22,7/5/22,7/2/22,Exposed,Adult,10
228,Healthy,6/21/22,6/28/22,7/5/22,Exposed,Juvenile,61
228,ArmTwist,6/28/22,7/5/22,7/5/22,Exposed,Juvenile,61
228,ArmDrop,7/5/22,7/6/22,7/5/22,Exposed,Juvenile,61
228,Mortality,7/6/22,7/7/22,7/5/22,Exposed,Juvenile,61
231,Healthy,6/21/22,6/28/22,7/6/22,Exposed,Adult,13
231,ArmTwist,6/28/22,7/6/22,7/6/22,Exposed,Adult,13
231,ArmDrop,7/6/22,7/8/22,7/6/22,Exposed,Adult,13
231,Mortality,7/8/22,7/9/22,7/6/22,Exposed,Adult,13
