Sample_ID,Disease_Sign,start,end,Sample_Date,Treatment,Age,Star_ID
186,Healthy,1,18,7/2/22,Control,Adult,15
203,Healthy,1,18,7/3/22,Control,Adult,31
209,Healthy,1,18,7/4/22,Control,Adult,9
177,Healthy,1,18,7/2/22,Control,Juvenile,34
219,Healthy,1,18,7/5/22,Control,Juvenile,63
230,Healthy,1,18,7/6/22,Control,Juvenile,65
174,Healthy,1,8,7/1/22,Exposed,Adult,30
174,ArmTwist,8,11,7/1/22,Exposed,Adult,30
174,ArmDrop,11,15,7/1/22,Exposed,Adult,30
174,Mortality,15,16,7/1/22,Exposed,Adult,30
190,Healthy,1,8,7/2/22,Exposed,Adult,10
190,ArmTwist,8,12,7/2/22,Exposed,Adult,10
190,ArmDrop,12,14,7/2/22,Exposed,Adult,10
190,Mortality,14,15,7/2/22,Exposed,Adult,10
231,Healthy,1,8,7/6/22,Exposed,Adult,13
231,ArmTwist,8,16,7/6/22,Exposed,Adult,13
231,ArmDrop,16,18,7/6/22,Exposed,Adult,13
231,Mortality,18,19,7/6/22,Exposed,Adult,13
187,Healthy,1,7,7/2/22,Exposed,Juvenile,57
187,ArmTwist,7,12,7/2/22,Exposed,Juvenile,57
187,ArmDrop,12,14,7/2/22,Exposed,Juvenile,57
187,Mortality,14,15,7/2/22,Exposed,Juvenile,57
188,Healthy,1,9,7/2/22,Exposed,Juvenile,38
188,ArmTwist,9,12,7/2/22,Exposed,Juvenile,38
188,ArmDrop,12,16,7/2/22,Exposed,Juvenile,38
188,Mortality,16,17,7/2/22,Exposed,Juvenile,38
228,Healthy,1,8,7/5/22,Exposed,Juvenile,61
228,ArmTwist,8,15,7/5/22,Exposed,Juvenile,61
228,ArmDrop,15,16,7/5/22,Exposed,Juvenile,61
228,Mortality,16,17,7/5/22,Exposed,Juvenile,61
