gene_id,uniprot_accession.x,gene_name.x,Entry.Name.x,Protein.names.x,Gene.Names.x,Gene.Ontology.biological.process.x,Gene.Ontology.IDs.x,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203
g11617,Q60855,RIPK1_MOUSE,RIPK1_MOUSE,Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1),Ripk1 Rinp Rip,amyloid fibril formation [GO:1990000]; apoptotic process [GO:0006915]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to tumor necrosis factor [GO:0071356]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; inflammatory response [GO:0006954]; necroptotic process [GO:0070266]; necroptotic signaling pathway [GO:0097527]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of necroptotic process [GO:0060546]; peptidyl-serine autophosphorylation [GO:0036289]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of miRNA processing [GO:1903800]; positive regulation of necroptotic process [GO:0060545]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of phosphorylation [GO:0042327]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; programmed necrotic cell death [GO:0097300]; protein autophosphorylation [GO:0046777]; protein catabolic process [GO:0030163]; regulation of reactive oxygen species metabolic process [GO:2000377]; ripoptosome assembly [GO:0097343]; ripoptosome assembly involved in necroptotic process [GO:1901026]; T cell apoptotic process [GO:0070231]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0001934; GO:0004672; GO:0004674; GO:0004706; GO:0005123; GO:0005524; GO:0005739; GO:0006915; GO:0006954; GO:0008625; GO:0030163; GO:0031264; GO:0031625; GO:0032757; GO:0032760; GO:0032991; GO:0033209; GO:0035591; GO:0036289; GO:0042327; GO:0042803; GO:0043065; GO:0043066; GO:0043123; GO:0043124; GO:0043235; GO:0043410; GO:0043525; GO:0044877; GO:0045651; GO:0045944; GO:0046330; GO:0046777; GO:0050729; GO:0051092; GO:0060545; GO:0060546; GO:0070105; GO:0070231; GO:0070266; GO:0070301; GO:0070513; GO:0071356; GO:0071363; GO:0097300; GO:0097342; GO:0097343; GO:0097527; GO:0106310; GO:1900119; GO:1901026; GO:1901224; GO:1903265; GO:1903800; GO:1990000; GO:2000377; GO:2001237; GO:2001238; GO:2001240,2454,3582,6371,4795,6527,6563,4446,4646,6151,9759,5676,7312,8655,11060,2363,14880,8222,3971,4720,10037,9797,6113,3224,2479,2558,2067,2768,1947
g20747,Q3MHX1,COMD7_BOVIN,COMD7_BOVIN,COMM domain-containing protein 7,COMMD7,negative regulation of DNA-templated transcription [GO:0045892]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0031410; GO:0033209; GO:0045892; GO:0051059,253,287,354,478,561,397,254,297,68,31,38,82,108,14,125,20,46,48,40,62,8,35,309,217,135,224,97,198
g21675,P92208,JNK_DROME,JNK_DROME,Stress-activated protein kinase JNK (dJNK) (EC 2.7.11.24) (Protein basket),bsk JNK CG5680,"antibacterial humoral response [GO:0019731]; axon extension [GO:0048675]; axon guidance [GO:0007411]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to cadmium ion [GO:0071276]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive oxygen species [GO:0034614]; chorion micropyle formation [GO:0046844]; collateral sprouting of injured axon [GO:0048674]; defense response to Gram-negative bacterium [GO:0050829]; determination of digestive tract left/right asymmetry [GO:0071907]; dorsal appendage formation [GO:0046843]; dorsal closure [GO:0007391]; dorsal closure, spreading of leading edge cells [GO:0007395]; embryonic anterior midgut (ectodermal) morphogenesis [GO:0048615]; engulfment of apoptotic cell [GO:0043652]; follicle cell of egg chamber development [GO:0030707]; imaginal disc fusion, thorax closure [GO:0046529]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; JNK cascade [GO:0007254]; long-term memory [GO:0007616]; melanization defense response [GO:0035006]; mushroom body development [GO:0016319]; neuron development [GO:0048666]; neuron projection morphogenesis [GO:0048812]; peptidoglycan recognition protein signaling pathway [GO:0061057]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of border follicle cell migration [GO:1903688]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron remodeling [GO:1904801]; positive regulation of programmed cell death [GO:0043068]; regulation of cellular response to phosphate starvation [GO:0140255]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; wound healing [GO:0042060]; wound healing, spreading of epidermal cells [GO:0035313]",GO:0004672; GO:0004674; GO:0004705; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006979; GO:0007254; GO:0007391; GO:0007395; GO:0007411; GO:0007616; GO:0008284; GO:0009408; GO:0010508; GO:0010628; GO:0016319; GO:0019731; GO:0030424; GO:0030425; GO:0030707; GO:0033209; GO:0034599; GO:0034614; GO:0035006; GO:0035313; GO:0042060; GO:0043065; GO:0043068; GO:0043652; GO:0046529; GO:0046843; GO:0046844; GO:0048010; GO:0048615; GO:0048666; GO:0048674; GO:0048675; GO:0048803; GO:0048812; GO:0050829; GO:0061057; GO:0071243; GO:0071276; GO:0071907; GO:0106310; GO:0140255; GO:1903688; GO:1904801,441,812,950,815,921,891,806,906,1143,1523,351,1576,919,1314,522,2364,1649,1081,1053,988,1806,1499,642,409,415,624,522,502
g19565,P70191,TRAF5_MOUSE,TRAF5_MOUSE,TNF receptor-associated factor 5,Traf5,apoptotic process [GO:0006915]; interleukin-17-mediated signaling pathway [GO:0097400]; mRNA stabilization [GO:0048255]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein K63-linked ubiquitination [GO:0070534]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]; signal transduction involved in regulation of gene expression [GO:0023019]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0005164; GO:0005737; GO:0005813; GO:0005829; GO:0006915; GO:0007165; GO:0008270; GO:0008284; GO:0009898; GO:0023019; GO:0031625; GO:0031996; GO:0033209; GO:0035631; GO:0042802; GO:0042981; GO:0043122; GO:0043123; GO:0048255; GO:0051092; GO:0070534; GO:0097400,0,0,0,0,0,0,2,0,0,4,6,17,3,0,0,3,0,11,9,6,2,7,0,2,0,0,0,0
g8414,Q9WU72,TN13B_MOUSE,TN13B_MOUSE,"Tumor necrosis factor ligand superfamily member 13B (B-cell-activating factor) (BAFF) (CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form]",Tnfsf13b Baff,B cell costimulation [GO:0031296]; B cell differentiation [GO:0030183]; B cell homeostasis [GO:0001782]; B cell proliferation [GO:0042100]; germinal center formation [GO:0002467]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of germinal center formation [GO:0002636]; positive regulation of T cell proliferation [GO:0042102]; regulation of immune response [GO:0050776]; skin development [GO:0043588]; T cell costimulation [GO:0031295]; T cell proliferation [GO:0042098]; transitional one stage B cell differentiation [GO:0002333]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0001782; GO:0002333; GO:0002467; GO:0002636; GO:0005125; GO:0005164; GO:0005615; GO:0005886; GO:0005925; GO:0030183; GO:0030890; GO:0031295; GO:0031296; GO:0033209; GO:0042098; GO:0042100; GO:0042102; GO:0043231; GO:0043588; GO:0048018; GO:0048471; GO:0050776,36,50,10,0,0,37,174,6,145,76,568,929,269,45,180,622,118,688,396,34,10,431,93,44,75,7,43,65
g13957,P48059,LIMS1_HUMAN,LIMS1_HUMAN,LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48),LIMS1 PINCH PINCH1,cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; cellular response to transforming growth factor beta stimulus [GO:0071560]; establishment of protein localization [GO:0045184]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of gene expression [GO:0010628]; positive regulation of GTPase activity [GO:0043547]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0005737; GO:0005829; GO:0005886; GO:0005911; GO:0005925; GO:0008270; GO:0010628; GO:0010811; GO:0019901; GO:0033209; GO:0043123; GO:0043547; GO:0045184; GO:0045216; GO:0045892; GO:0048471; GO:0051894; GO:0071560; GO:0098609; GO:1900026; GO:2001046,6695,13922,18081,16947,16744,18018,14435,16595,4742,4372,5936,3851,4560,1101,2047,2400,1867,1355,2246,2970,1270,1312,11823,8895,7816,9015,8973,7418
g24037,P39429,TRAF2_MOUSE,TRAF2_MOUSE,TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2),Traf2,apoptotic process [GO:0006915]; cellular response to nitric oxide [GO:0071732]; innate immune response [GO:0045087]; interleukin-17-mediated signaling pathway [GO:0097400]; mRNA stabilization [GO:0048255]; negative regulation of apoptotic process [GO:0043066]; negative regulation of glial cell apoptotic process [GO:0034351]; non-canonical NF-kappaB signal transduction [GO:0038061]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; programmed necrotic cell death [GO:0097300]; protein autoubiquitination [GO:0051865]; protein catabolic process [GO:0030163]; protein K63-linked ubiquitination [GO:0070534]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; regulation of immunoglobulin production [GO:0002637]; regulation of JNK cascade [GO:0046328]; regulation of protein-containing complex assembly [GO:0043254]; signal transduction [GO:0007165]; signal transduction involved in regulation of gene expression [GO:0023019]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0000151; GO:0002637; GO:0002726; GO:0002947; GO:0004842; GO:0005164; GO:0005174; GO:0005737; GO:0005829; GO:0005938; GO:0006915; GO:0007165; GO:0008270; GO:0009898; GO:0012506; GO:0019901; GO:0019903; GO:0023019; GO:0030163; GO:0031435; GO:0031625; GO:0031996; GO:0032743; GO:0032991; GO:0033209; GO:0034351; GO:0035591; GO:0035631; GO:0038061; GO:0042802; GO:0042981; GO:0043066; GO:0043120; GO:0043123; GO:0043254; GO:0043507; GO:0044877; GO:0045087; GO:0045121; GO:0046328; GO:0046625; GO:0048255; GO:0051092; GO:0051865; GO:0065003; GO:0070534; GO:0071732; GO:0097057; GO:0097300; GO:0097400; GO:1903265; GO:1990604; GO:2001238,1430,2008,1779,1440,2333,2087,1950,2519,3815,3272,4656,5015,5284,3373,1873,11462,3284,2857,1409,2246,4907,2052,997,828,813,1265,1086,883
g14241,Q63486,RRAGA_RAT,RRAGA_RAT,Ras-related GTP-binding protein A (Rag A) (RagA) (EC 3.6.5.-),Rraga,apoptotic process [GO:0006915]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; glucose homeostasis [GO:0042593]; intracellular signal transduction [GO:0035556]; negative regulation of autophagy [GO:0010507]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]; protein localization [GO:0008104]; protein localization to lysosome [GO:0061462]; protein localization to membrane [GO:0072657]; regulation of TORC1 signaling [GO:1903432]; response to amino acid [GO:0043200]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0003924; GO:0005525; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0005765; GO:0006915; GO:0008104; GO:0009267; GO:0010507; GO:0031625; GO:0031669; GO:0032008; GO:0033209; GO:0034198; GO:0035556; GO:0042593; GO:0042803; GO:0043200; GO:0043495; GO:0046982; GO:0051219; GO:0061462; GO:0071230; GO:0072657; GO:1903432; GO:1904263; GO:1990130; GO:1990131; GO:1990877,785,968,1514,986,1704,1632,876,1051,1185,1154,649,1259,920,1228,653,4647,1474,549,744,1231,841,1012,924,537,903,619,951,447
g5983,Q13490,BIRC2_HUMAN,BIRC2_HUMAN,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),BIRC2 API1 MIHB RNF48,"apoptotic process [GO:0006915]; canonical NF-kappaB signal transduction [GO:0007249]; cell surface receptor signaling pathway [GO:0007166]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; negative regulation of ripoptosome assembly involved in necroptotic process [GO:1902443]; non-canonical NF-kappaB signal transduction [GO:0038061]; placenta development [GO:0001890]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein monoubiquitination [GO:1902527]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of cysteine-type endopeptidase activity [GO:2000116]; regulation of inflammatory response [GO:0050727]; regulation of innate immune response [GO:0045088]; regulation of necroptotic process [GO:0060544]; regulation of non-canonical NF-kappaB signal transduction [GO:1901222]; regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0070424]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to cAMP [GO:0051591]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]",GO:0000209; GO:0001666; GO:0001741; GO:0001890; GO:0003713; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006915; GO:0007166; GO:0007249; GO:0008270; GO:0009898; GO:0016740; GO:0031398; GO:0033209; GO:0034121; GO:0035631; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0044877; GO:0045088; GO:0045471; GO:0045595; GO:0050727; GO:0051087; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0061630; GO:0070266; GO:0070424; GO:0098770; GO:1901222; GO:1902443; GO:1902523; GO:1902524; GO:1902527; GO:2000116; GO:2000377,1001,1691,2528,1153,1695,1517,1947,2114,7914,8140,3751,10488,5564,8381,2312,20381,12393,8691,4064,3005,11900,6823,1531,833,736,1026,1241,1050
g22024,Q5ZJB4,IKKA_CHICK,IKKA_CHICK,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA),CHUK IKKA RCJMB04_19h23,cellular response to tumor necrosis factor [GO:0071356]; positive regulation of transcription by RNA polymerase II [GO:0045944]; toll-like receptor signaling pathway [GO:0002224]; tumor necrosis factor-mediated signaling pathway [GO:0033209],GO:0002224; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0008384; GO:0008385; GO:0033209; GO:0042803; GO:0045944; GO:0046982; GO:0071356,1111,968,1817,989,1146,1940,1059,1792,958,825,764,3386,1419,967,810,3721,1500,1684,1258,2721,1558,1363,1346,566,523,728,829,714
