ID,log2FC
RD23A,1.205761532
BACD3,2.091678627
PSB3,1.46806986
FBSP1,-2.00868178
PSA1,0.936469479
NSF1C,1.272522464
RBX1,1.292694182
PSA5,1.488046361
PSA2,1.373004764
PRS7,1.590326099
SMUF2,1.544587134
SMUF2,1.442685129
ARRB1,-2.07528836
KC1A,0.532148779
CUL3B,0.663841426
PSMD8,1.25040596
PRS10,1.440783389
CUL5,0.976517428
TRIM2,3.695904519
PSMD3,1.25691695
HOIL1,0.786001229
PSDE,1.199699177
COP1,-2.180644209
COP1,-2.147681966
PSMD6,1.021526629
APBP2,1.405208312
UBE4B,1.670980598
KCMF1,0.793043018
SPOP,0.985291806
PSA6,1.128377735
PSB5,0.966110107
NPL4,1.418742757
NPL4,1.264355462
FBXW7,0.847676844
FBXW7,1.081507839
PSB6,1.487575159
PRS6B,1.0780115
TERA,1.73523704
PRS4,1.393109269
TRIM2,1.894125436
GBA1,1.254286428
FBW1A,1.973541123
PRS6A,1.197947607
SIR2,-0.681909717
UBE2A,2.175320807
GUS,4.630092068
PSB2,1.063620338
PSB2,1.19057786
CL16A,1.197105936
SOCS2,5.779773185
RBX2,2.143315297
SPSB3,3.029029814
SPSB3,3.799797681
PSMD4,1.034898177
PSMD4,1.117027493
TRIM2,-1.860253896
TRAF4,2.902050156
UBE3A,1.237123924
SOCS7,1.496236701
UFD1,0.978734609
ASB9,-1.574802046
PSB7,0.79125086
PSA4,0.989895204
SIR1,2.518058879
SIR1,2.613545519
BIRC2,3.432797035
NHL1,0.452774065
FBXW7,-1.07930151
FBXW7,-1.143792434
BAG6,1.540908289
BAG6,1.715456301
ANAG,-1.335854428
HECD3,-0.897837948
PLAP,1.27612924
UBP14,1.249832324
TRIM3,-2.256722444
TRIM2,-2.624291224
MAEA,0.681983416
CHIP,-0.812880754
PSMD2,1.456497793
PSMD1,1.510916104
PSMD1,1.591182055
PSMD7,1.936339686
FXL17,-0.539576031
PSA3,1.295071326
PRS8,1.523035905
SPSB3,3.93373542
RL18A,0.974428719
TRM7,-0.774467364
RS21,0.84883477
RL24,0.84504998
RL36,0.908584984
RL26,0.920773291
RS30,1.001678872
RL29,0.922948207
RLA1,1.222862502
RL6,0.81376115
RLA0,0.86444335
RL9,0.882108911
RL10,0.579727143
RL371,0.811938666
RL40,0.862819893
RL19,0.871443593
RL15,0.79264491
RL10A,0.811795199
RL17,0.876628204
SYSC,1.79417958
RL21,0.904989942
RL8,0.714784501
RS26,1.08934962
RL18,0.720104463
NICA,1.061839103
CBPA2,3.05543145
CBPA1,3.542945736
PEPD,0.789192189
AQL1,-3.150598642
CA3A1,4.676816413
CLCA1,4.829300475
SENP8,-1.496059209
DESI1,0.573549775
ASPG,-0.594159002
UBP4,2.212524723
UBP4,2.49949273
MARTX,4.116564821
KDM8,-2.490107884
FCN2,-4.433345108
NRDC,-0.745945499
CASP3,1.163998653
MALT1,1.942512478
P20D2,3.573950151
XPP2,3.284820753
CBPE,0.707407145
Y4757,-1.803200282
CTRB,2.663441474
SEPR,2.500651529
NETR,3.907375701
ADT1,7.946267041
CANB,-1.975624032
CTRB1,4.128332285
GPI8,-1.16574726
MINY1,1.292879614
ASGL1,-1.129461887
LGMN,3.326012501
CATD,0.924363103
POL2,-2.657309667
BLMH,0.648093111
ACE,2.508525359
NALD2,2.865843643
FCN1,-3.674430832
CBPA3,3.842696752
NLRP1,1.935856034
XPP3,-0.731160454
XPP3,-0.879318817
CTRB,2.911980701
POL3,-4.375503475
MMP24,4.60738368
ATS9,-1.690217736
QCR2,1.03643484
ATS19,3.013884691
ENDOU,3.053811539
XPP1,0.655530101
CASP7,4.159212674
AMPO,-2.089024222
CLCA1,4.81941029
CLA4A,3.465513367
DPEP1,-3.454119712
CYLD,2.294887039
FBW1A,1.973541123
ATS6,-1.750023956
PARK7,-1.076085399
CLPX,0.879540883
CLCA2,-1.319764113
CLCA1,-1.499731181
CBPQ,-1.361193733
ASGL1,-1.570979071
NRDC,-0.921352265
P20D2,-1.825033394
TLL2,-3.208524773
MMP24,3.698641948
PLMN,6.05293072
NEC2,2.960609089
UBP36,1.380541545
NETR,-1.391178744
TYSD1,-1.85361297
ATS16,8.4174289
TLD,8.47480447
ATS16,8.273974395
MMP24,-2.389745506
FCN2,3.386084993
NAS4,8.279164699
NAS15,-2.640126741
DERF3,2.898486246
MMP17,4.628990545
MMP19,4.140082235
UBP48,-1.074566466
UBP48,-0.622067862
OTUB1,-0.834003118
MYSM1,-1.134737111
ACPH,-1.045160446
PPGB,0.673969249
OVCH,1.321057894
PAPP1,4.086653327
STBPA,1.048167059
AMPN,2.992339005
AMPN,2.765001761
PRS33,-4.006771301
MMP13,8.555708315
VASH2,1.748904408
POL5,-2.581167089
YCF2E,3.207351733
CATC,0.771419487
SEPR,2.836050659
PPCE,1.169008806
TF29,-1.815901486
ERMP1,-2.449584788
THOP1,1.93648981
CTR2,3.494083942
VCIP1,0.914573201
MMP19,3.867093362
HGF,3.381144277
FOLH1,2.567367865
CAN15,1.630761382
UBP5,0.54281103
PARL,1.746599524
THRB,-1.470065972
CASP7,6.398084833
TRYB2,2.979982774
ADA12,2.625843508
MMP13,8.323366677
MMP13,4.575671392
MMP16,2.470079096
UBP54,1.01508396
SEPR,2.78194702
CTRB,5.489646804
NETR,-2.330163417
YWRD,-2.497774872
CBPE,5.254317439
THRB,6.055352713
FCN2,7.954476343
ERAP1,-1.065821005
AMPN,3.692112133
POL4,-3.448236072
BACD3,2.091678627
FBSP1,-2.00868178
HECW2,0.76442113
KCD21,3.044868264
SMUF2,1.544587134
WDR81,-1.636775723
ARRB1,-2.07528836
