term	geneID	description
GO:0043161	g3209	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g11585	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g22030	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g22031	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17771	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17770	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g10308	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g14363	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g9857	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g2687	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12645	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g15347	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g19466	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g21244	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g4233	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g1447	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g13779	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g13778	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g10578	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g19475	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g16729	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g2520	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g15362	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12733	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g387	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g4190	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g15513	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12914	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12913	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g18476	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g6193	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12528	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g8525	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g19889	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17254	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g1579	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g143	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g3645	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g20953	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g14365	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g23479	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g23478	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g6489	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g5983	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g13964	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17328	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17977	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12673	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g388	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17329	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g13000	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g6442	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g11179	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g11649	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g23285	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g14607	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g15512	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g5001	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g16728	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g703	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g8908	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g5143	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g6607	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g10579	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g5002	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g14871	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g642	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g16612	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g23546	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g17367	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g16413	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g19544	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g15882	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g1435	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g12053	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043161	g1377	proteasome-mediated ubiquitin-dependent protein catabolic process
