# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0006629"	"lipid metabolic process"	5.904682497366825	1.195182936	0.9536630982724119	0.06517577	null
"GO:0006915"	"apoptotic process"	0.35571372278606816	1.178626289	0.9887612732549868	0.01514893	null
"GO:0043011"	"myeloid dendritic cell differentiation"	0.0022894172143842514	2.115770123	0.9190436884380582	0.01054961	null
"GO:0001701"	"in utero embryonic development"	0.03568295037389269	1.309762457	0.9566355028557962	0.41772647	"myeloid dendritic cell differentiation"
"GO:0006879"	"intracellular iron ion homeostasis"	0.3120742899631481	1.535402624	0.9764973127724955	0.54526293	"myeloid dendritic cell differentiation"
"GO:0007586"	"digestion"	0.0278835037626751	2.115770123	0.9662227204770014	0.35692821	"myeloid dendritic cell differentiation"
"GO:0048813"	"dendrite morphogenesis"	0.013270905802273091	1.597199014	0.9126817034462441	0.48487839	"myeloid dendritic cell differentiation"
"GO:0097009"	"energy homeostasis"	0.007838016816995422	1.570035766	0.9474863287096692	0.38183165	"myeloid dendritic cell differentiation"
"GO:0043651"	"linoleic acid metabolic process"	0.005471459191055504	2.298614455	0.9241176847064396	0.03398733	null
"GO:0006006"	"glucose metabolic process"	0.4454913867633721	1.565174974	0.9514459309160656	0.21267819	"linoleic acid metabolic process"
"GO:0006633"	"fatty acid biosynthetic process"	0.826237173099254	1.603283582	0.8955265258775132	0.55827172	"linoleic acid metabolic process"
"GO:0006689"	"ganglioside catabolic process"	0.017149966497643762	2.262698604	0.8678089160123548	0.32813133	"linoleic acid metabolic process"
"GO:0006750"	"glutathione biosynthetic process"	0.0664289144082227	1.989185586	0.9027480127640992	0.51477998	"linoleic acid metabolic process"
"GO:0043162"	"ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"	0.07008481891302162	2.216521081	0.8660428709942438	0.38863986	"linoleic acid metabolic process"
"GO:0097352"	"autophagosome maturation"	0.029208665832613518	1.777834617	0.876833334500904	0.41181131	"linoleic acid metabolic process"
"GO:0044550"	"secondary metabolite biosynthetic process"	0.4384964044440921	2.370446156	0.9609712616464665	-0	null
"GO:0002181"	"cytoplasmic translation"	0.30687006719783905	2.198050072	0.8807136328296484	0.15616886	"secondary metabolite biosynthetic process"
"GO:0006412"	"translation"	4.79105045597284	1.335132717	0.8475891235514879	0.40011842	"secondary metabolite biosynthetic process"
"GO:0006508"	"proteolysis"	5.47471837344373	1.296346533	0.8760779316193001	0.53488925	"secondary metabolite biosynthetic process"
"GO:0006513"	"protein monoubiquitination"	0.03420626249554136	1.450649976	0.8840698110549975	0.29134813	"secondary metabolite biosynthetic process"
"GO:0016310"	"phosphorylation"	1.4042282367682775	1.19173132	0.9416982117192175	0.26809817	"secondary metabolite biosynthetic process"
"GO:0016579"	"protein deubiquitination"	0.3210363527770975	1.361021717	0.867994432423861	0.58529027	"secondary metabolite biosynthetic process"
"GO:0031638"	"zymogen activation"	0.021841756529047348	2.093381021	0.8890239374886499	0.24839	"secondary metabolite biosynthetic process"
"GO:0035335"	"peptidyl-tyrosine dephosphorylation"	0.0001735659260002501	1.831708394	0.911025730768654	0.16687576	"secondary metabolite biosynthetic process"
"GO:0051865"	"protein autoubiquitination"	0.021976752249269763	1.396408281	0.8872990281356669	0.53710462	"secondary metabolite biosynthetic process"
"GO:0051923"	"sulfation"	0.030054455345027434	1.896356925	0.9509870791467299	0.07369615	null
"GO:0070327"	"thyroid hormone transport"	0.0019643254799710844	2.585941261	0.8940772157979122	-0	null
"GO:0006954"	"inflammatory response"	0.14757511733538725	1.252981848	0.909145895256503	0.67294153	"thyroid hormone transport"
"GO:0006986"	"response to unfolded protein"	0.10853104902942623	1.584931741	0.9225257889498728	0.23426371	"thyroid hormone transport"
"GO:0007034"	"vacuolar transport"	0.33345320402286144	2.585941261	0.9168755371150915	0.16193289	"thyroid hormone transport"
"GO:0007169"	"cell surface receptor protein tyrosine kinase signaling pathway"	0.2759009469729372	1.406389107	0.7994659487411124	0.6382183	"thyroid hormone transport"
"GO:0007229"	"integrin-mediated signaling pathway"	0.08797037433514263	1.704370377	0.8129197947295356	0.26265976	"thyroid hormone transport"
"GO:0007249"	"canonical NF-kappaB signal transduction"	0.017535668555422095	1.690807748	0.8467495171026098	0.53327823	"thyroid hormone transport"
"GO:0010629"	"negative regulation of gene expression"	0.8899083177943616	1.253186919	0.8613210066825949	0.55288072	"thyroid hormone transport"
"GO:0015031"	"protein transport"	3.012903359291357	1.119288009	0.9091818967955958	0.61251274	"thyroid hormone transport"
"GO:0015804"	"neutral amino acid transport"	0.1240638218990994	1.723960841	0.9620712106058027	0.21609075	"thyroid hormone transport"
"GO:0015881"	"creatine transmembrane transport"	0.0006915086893025837	2.298614455	0.9605582574315928	0.11789672	"thyroid hormone transport"
"GO:0022409"	"positive regulation of cell-cell adhesion"	0.04582140446406603	2.298614455	0.7967803382903964	0.14239256	"thyroid hormone transport"
"GO:0030001"	"metal ion transport"	2.4677575808568575	1.723960841	0.9480918700604672	0.41907622	"thyroid hormone transport"
"GO:0030513"	"positive regulation of BMP signaling pathway"	0.005777265822579753	1.567237128	0.7893621270670877	0.53470484	"thyroid hormone transport"
"GO:0031397"	"negative regulation of protein ubiquitination"	0.015959800147927757	1.67325611	0.8893780603371372	0.26884676	"thyroid hormone transport"
"GO:0032008"	"positive regulation of TOR signaling"	0.05085481631807327	1.68086182	0.7572873053963475	0.66906206	"thyroid hormone transport"
"GO:0032436"	"positive regulation of proteasomal ubiquitin-dependent protein catabolic process"	0.08619063483996547	1.45459196	0.775968307307848	0.6576597	"thyroid hormone transport"
"GO:0032728"	"positive regulation of interferon-beta production"	0.004140787091720252	1.861877708	0.8046785253430374	0.57557807	"thyroid hormone transport"
"GO:0033674"	"positive regulation of kinase activity"	0.0017549443628914177	1.521141918	0.8284926747850807	0.372888	"thyroid hormone transport"
