date	time	animal_ID	experiment_day	treatment	behavior_notes	number_twisted_arms	uneven_turgor	stretched	number_arms_dropped	initials	heat-killed_inoculate	unfiltered_live_inoculate	dead	censored	notes																											
10/5/21	909	E06	0	control	NS/B	0	N	N	0	GC	yes	NA	0	0																												
10/5/21	1700	E06	0	control	NS/B	0	N	N	0	GC	NA	NA	0	0	hump on central disc																											
10/6/21	917	E06	1	control	LS/FS surface corner	0	N	N	0	GC	NA	NA	0	0	central disc inflated --> pic																											
10/6/21	1655	E06	1	control	FS/RS	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	926	E06	2	control	NS/RS/B small mound	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/7/21	1635	E06	2	control	NS/RS/ B mounded	0	N	N	0	AG	NA	NA	0	0																												
10/8/21	920	E06	3	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1642	E06	3	control	NS/B mounded	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	955	E06	4	control	RS/B slight mound	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1654	E06	4	control	NS/B slight mound	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	904	E06	5	control	LS slight mound	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1648	E06	5	control	LS	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	917	E06	6	control	NS/LS	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1655	E06	6	control	NS/B/RS	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	859	E06	7	control	NS/RS	0	N	N	0	"GC, AG"	NA	NA	0	0	paired with H6																											
10/12/21	1654	E06	7	control	NS/LS/B	0	N	N	0	GC	NA	NA	0	0	crossed over wound																											
10/13/21	914	E06	8	control	NS/B	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1636	E06	8	control	NS/B	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/14/21	908	E06	9	control	NS/LS/B	0	N	N	0	GC	NA	NA	0	0																												
10/14/21	1640	E06	9	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	908	E06	10	control	LS/ surface/ mounded	0	N	N	0	GC. AG	NA	NA	0	0	sublethal paired sampling with H6 (no arm or histo)																											
10/15/21	1640	E06	10	control	FS	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/16/21	908	E06	11	control	LS/B small mound	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1600	E06	11	control	FS/LS/ B corner some mounding	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/17/21	905	E06	12	control	NS/LS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1629	E06	12	control	NS/LS/B	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	912	E06	13	control	FS/LS moving	0	N	N	0	GC	NA	NA	0	0																												
10/18/21	1000-1200	E06	13	control	NA	0	N	N	0	AG	NA	NA	0	1	was alive																											
10/5/21	909	E07	0	control	NS/LS/B corner	0	N	N	0	GC	yes	NA	0	0																												
10/5/21	1702	E07	0	control	NS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	918	E07	1	control	NS/RS/ B corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1656	E07	1	control	NS/RS corner	0	N	N	0	GC	NA	NA	0	0	one arm crossed back																											
10/7/21	929	E07	2	control	NS/RS small mound	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/7/21	1636	E07	2	control	RS/B	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/8/21	920	E07	3	control	NS/LS	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1642	E07	3	control	NS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1000	E07	4	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1655	E07	4	control	FS/LS/B	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	905	E07	5	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1649	E07	5	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	918	E07	6	control	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1655	E07	6	control	RS	0	N	N	0	GC	NA	NA	0	0	some arms arched back																											
10/12/21	900	E07	7	control	FS/B	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1655	E07	7	control	FS/B	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	915	E07	8	control	NS/RS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1638	E07	8	control	NS/RS	0	N	N	0	"GC, MW"	NA	NA	0	0																												
