library_ID,star_ID,star_size,star_collection_date,star_collection_location,star_radius_cm,star_diameter_cm,inoc_date,sample_date,experiment_number,exposure_history,treatment_group,experiment_day,disease_sign,number_arms_dropped,number_arm_twist,number_arms_crossed,star_death_date,notes
PSC-19,H16,large,9/2/21,DallasBank,24,48,9/23/21,9/23/21,na,tankexposed,na,0,armdrop,2,0,0,9/24/21,died before got unfiltered inoculum
PSC-23,H15,large,9/2/21,DallasBank,19,38,9/23/21,9/26/21,A,tankexposed,control,3,armdrop,2,1,0,9/27/21,injected with heat-killed 9/23/21
PSC-24,E13,large,9/2/21,DallasBank,18,36,9/23/21,9/27/21,A,tankexposed,0.45live,4,armdrop,2,0,0,9/28/21,injected with 0.45 live inoc 23 Sept (sampled before injected with heat-killed live inoc on 5 Oct 21)
PSC-34,H12,large,9/2/21,DallasBank,23,46,9/23/21,10/2/21,A,tankexposed,0.45live,9,armtwist,0,1,0,10/18/21,injected with 0.45 live inoc 23 Sept (sampled before injected with heat-killed live inoc on 5 Oct 21)
PSC-35,E05,large,,,21,42,9/23/21,10/2/21,A,na,unfilteredlive,9,armdrop,6,0,0,10/3/21,died before got unfiltered inoculum
PSC-36,E04,large,,,28,56,9/23/21,10/2/21,A,na,unfilteredlive,9,armdrop,9,0,0,10/3/21,DEAD 5 OCT 21 used in prelim experiment: given live inoc - survived
PSC-37,E01,large,,,25,50,9/23/21,10/2/21,A,na,unfilteredlive,9,armdrop,1,2,0,10/18/21,used in prelim experiment: given heat-killed inoc - in experiment 2 --> heat-killed unfiltered inoculum --> 5 Oct 21
PSC-38,E12,large,9/2/21,DallasBank,18,36,9/23/21,10/2/21,A,na,0.45live,9,NA,0,0,0,10/2/21,DEAD 2 OCT 21 used in prelim experiment: given live inoc - survived
PSC-39,H05,large,,,16,32,9/23/21,10/2/21,A,na,control,9,NA,0,0,0,10/16/21,used in prelim experiment: given heat-killed inoc - in experiment 2 --> unfiltered inoculum --> 5 Oct 21; still heat-killed at this point??
PSC-40,H04,large,,,30,60,9/23/21,10/2/21,A,na,control,9,NA,0,0,0,10/3/21,DEAD 3 OCT 21 used in prelim experiment: given live inoc - survived
PSC-42,H03,large,,,25,50,9/23/21,10/3/21,A,na,control,9,NA,0,0,0,10/18/21,used in prelim experiment: given heat-killed inoc - in experiment 2 --> heat-killed unfiltered inoculum --> 5 Oct 21
PSC-43,E02,large,,,20,40,9/23/21,10/3/21,A,na,unfilteredlive,10,armdrop,1,1,0,10/5/21,DEAD 5 OCT 21 used in prelim experiment: given live inoc - survived --> this star used for inoculate for 5 Oct 21
PSC-48,E14,large,7/29/21,DallasBank,14,28,10/5/21,10/7/21,A,na,0.45live,12,NA,0,0,0,10/18/21,injected with 0.45 live inoc 23 Sept 21;not used in last experiment - released nito water table
PSC-49,E16,large,7/29/21,DallasBank,25,50,10/5/21,10/7/21,A,na,0.45live,12,NA,0,0,0,10/18/21,injected with 0.45 live inoc 23 Sept 21;not used in last experiment - released nito water table
