sample_ID_PSC,species,experiment,treatment,experiment_day,bin_number,sample_date
517,dermasterias_imbricata,multispecies,exposed,12,1,8/2/23
518,pisaster_ochraceus,multispecies,exposed,12,1,8/2/23
519,pycnopodia_helianthoides,multispecies,exposed,12,1,8/2/23
523,dermasterias_imbricata,multispecies,exposed,12,2,8/2/23
524,pisaster_ochraceus,multispecies,exposed,12,2,8/2/23
525,pycnopodia_helianthoides,multispecies,exposed,12,2,8/2/23
529,dermasterias_imbricata,multispecies,exposed,12,3,8/2/23
530,pisaster_ochraceus,multispecies,exposed,12,3,8/2/23
531,pycnopodia_helianthoides,multispecies,exposed,12,3,8/2/23
535,dermasterias_imbricata,multispecies,exposed,12,4,8/2/23
536,pisaster_ochraceus,multispecies,exposed,12,4,8/2/23
537,pycnopodia_helianthoides,multispecies,exposed,12,4,8/2/23
547,dermasterias_imbricata,multispecies,exposed,12,6,8/2/23
548,pisaster_ochraceus,multispecies,exposed,12,6,8/2/23
549,pycnopodia_helianthoides,multispecies,exposed,12,6,8/2/23
559,dermasterias_imbricata,multispecies,exposed,12,8,8/2/23
560,pisaster_ochraceus,multispecies,exposed,12,8,8/2/23
561,pycnopodia_helianthoides,multispecies,exposed,12,8,8/2/23
