"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"g21711"	13920.0874738021	-0.641248723992224	0.258312607410437	-2.48245229073675	0.0130481539431769	0.0443379953630705
"g15181"	6804.48344364722	2.08172714097918	0.692159908789221	3.00758121720845	0.00263335748423526	0.0118326068143884
"g15183"	911.118197072907	-0.63302485852711	0.221876300242468	-2.85305306531313	0.0043301390131062	0.0179221058564589
"g7651"	568.458481793327	1.05254966742961	0.334794381730714	3.14386896813643	0.00166730078288506	0.00804938565272
"g7656"	337.597149288514	1.59533871740734	0.375071244633864	4.25342848920523	2.10522188567102e-05	0.000192436767063574
"g15189"	772.662558248713	0.859472522659667	0.286787107876216	2.99690083359897	0.00272739418853692	0.0121928115580117
"g7654"	36530.2828162499	0.84932376939562	0.251243492937257	3.38048066227022	0.000723591666227074	0.00396610361987512
"g7655"	109.121397894385	1.16151488586728	0.332225005897555	3.49616935886351	0.000471989030526236	0.00275910315217499
"g14589"	514.97813336664	0.601973096214404	0.212629951032169	2.8310832659851	0.00463906424417141	0.0189817205037349
"g14588"	1738.38663266156	1.8471098894216	0.493996766064119	3.73911332282255	0.000184670470097499	0.00124995668978584
"g14587"	499.854240677731	2.57616903579558	0.533876261268897	4.82540472893969	1.39719242352888e-06	1.84660514442035e-05
"g14586"	247.216721214403	-1.10413855749828	0.372446321256558	-2.96455756033016	0.0030311853043789	0.0133105608994185
"g14585"	123.007944437219	-1.03109115190168	0.389167446701411	-2.64947944809162	0.00806158752514277	0.0299654441778303
"g10808"	7.44122228822941	4.30390882725726	1.21008135093297	3.55671031864011	0.000375527854196374	0.00226450381511625
"g10802"	436.851886228571	3.47257682313502	1.01673832136785	3.41540861611596	0.00063686395102472	0.00355955527387507
"g10801"	1493.0687466262	1.99724763541562	0.607909952290809	3.2854333571762	0.00101825627189563	0.00531124888646331
"g10806"	945.499581302934	-1.03642820124165	0.381679025017108	-2.71544447902316	0.00661868732507339	0.0255066197122454
"g10805"	35503.0743294587	-3.66115169269214	0.390908870611157	-9.36574216637295	7.55176692891555e-21	1.16442946558314e-18
"g4305"	40199.0382844399	1.72989004223983	0.455778645048711	3.79546093489077	0.000147369399882851	0.00102551833378494
"g4304"	252.133214742899	0.712423581431843	0.28391000034969	2.50932894422301	0.0120960784466693	0.0415607636699675
"g1378"	62.197906543755	-1.53497755830392	0.580706190786003	-2.64329463446271	0.00821035554532294	0.030402702712384
"g1377"	2640.34068742703	1.25466912515572	0.306579123986607	4.09248062568844	4.26782912619672e-05	0.000350560282150869
"g1375"	6591.33882359825	-2.06861630080422	0.287940748524006	-7.18417351975369	6.76149467652719e-13	3.35744501197726e-11
"g188"	714.855472990243	0.602707821009283	0.220593026053541	2.73221611667359	0.00629098598707659	0.0244977739656252
"g1088"	24.8684571128074	2.81091380207487	1.01438911685357	2.77104096975505	0.00558773956630974	0.0222069378468444
"g22028"	262.921717891941	-1.3480722749651	0.286013565396359	-4.71331586352185	2.43717962062135e-06	2.98541765653533e-05
"g184"	356.733518029926	-0.75725143018812	0.214702818083438	-3.52697480614268	0.000420336757991936	0.00249196611533971
"g6684"	14.3839441802582	1.81885460711184	0.535222607369893	3.39831423797617	0.000678024914537822	0.00375616827852059
"g257"	697.255046697271	-1.34282349857526	0.423961235248183	-3.16732613015712	0.0015384767737545	0.00750995410415346
"g258"	417.143862140106	-1.18917192371546	0.439028948663101	-2.70864125779551	0.00675593458719879	0.0259462132780818
"g6530"	1370.60319682215	1.59435799163303	0.422395845704671	3.774558883204	0.000160291044932793	0.00110280025081958
"g6531"	629.622334092329	0.75934373689919	0.278366535292398	2.72785568890876	0.0063747489707056	0.0247745605587139
"g6532"	32361.4793274202	1.05803276841759	0.276734983271665	3.8232707549625	0.000131693031312401	0.000928187692225093
"g6537"	795.138267975588	-1.8006041489807	0.247908515122172	-7.26317991979157	3.78094475402988e-13	1.97801925256956e-11
"g15186"	75.6286909903318	1.55812753316643	0.510288428916288	3.05342517069309	0.00226245138903986	0.0104408953837077
"g15972"	277.384302374312	3.71106909149855	0.789889742678496	4.69821152369243	2.62449548900597e-06	3.17504347596331e-05
"g19476"	32.9513152159663	-2.12697079923697	0.430671052106201	-4.93873639483081	7.863041812407e-07	1.11735286158844e-05
