"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"g12024.t1"	38.7429906066486	2.82464684814065	1.10686887907141	2.55192543719391	0.0107129442633407	0.0398521526596273
"g3331.t1"	625.234712799742	-1.73360036294091	0.360747928762387	-4.80557260269892	1.54309227241788e-06	2.15224708349155e-05
"g14809.t1"	659.819325394778	-0.988277036726318	0.309700922786397	-3.19106907346202	0.00141747387578087	0.0074720124815601
"g20387.t1"	653.733803419566	6.80236303847671	1.04195834193963	6.52844049965948	6.64580024632097e-11	2.47942442910707e-09
"g17776.t1"	287.894436282555	-0.871097348043854	0.351261672504386	-2.47991003923998	0.013141553390937	0.0469017508952407
"g3938.t1"	16.0048483698573	2.46175294888968	0.860702263597876	2.86016785711606	0.00423416827493599	0.0185718782093399
"g12198.t1"	5.71750723642452	6.54998723885418	1.85206963626346	3.53657719483418	0.000405348021231338	0.00259516557104831
"g1203.t1"	24.3766515605243	2.88948373096745	1.16343821534397	2.48357299327079	0.013007167389342	0.0465602416162556
"g13650.t1"	13.90558503422	-4.1659231006615	1.57838275223835	-2.63936177378629	0.00830622884317705	0.0323699037620993
"g9820.t1"	740.064884759915	1.20385090578568	0.448114075764879	2.68648313207043	0.00722085940489157	0.0288340104550026
"g12716.t1"	68.2215559108184	2.34430651959272	0.806588950704811	2.9064451199638	0.00365561017714234	0.0164435462952496
"g21165.t1"	767.742260378836	2.87144902284128	0.872285339688255	3.29186894722719	0.000995239775468346	0.00555827122644071
"g6114.t1"	373.315630044011	-1.11368679569029	0.250341528652062	-4.44866978997382	8.64037322932974e-06	9.51577946440657e-05
"g13790.t1"	73.7738052580671	3.05540761187487	0.579174033389309	5.27545683288789	1.32425781574063e-07	2.42562199912682e-06
"g20126.t1"	92.7147960224426	-1.99761460326139	0.420117241325532	-4.75489793505885	1.9854669791025e-06	2.68038042178837e-05
"g18636.t1"	62.9563743433987	1.13717300116163	0.448109092068895	2.53771463531651	0.0111578924613511	0.0410865699643211
"g20819.t1"	465.513533279272	0.603742271423193	0.200377972087773	3.01301717515502	0.0025866427797046	0.01237154289493
"g23583.t1"	270.80399141234	-2.65751913184868	0.97618492970405	-2.72235213941928	0.00648190324487991	0.0264797728741776
"g16115.t1"	301.881438288917	-0.668556005892497	0.263311719984821	-2.53902866887595	0.0111160713839903	0.0409953046385436
"g21505.t1"	195.768678560514	-0.600603587717237	0.233210674153591	-2.57536920167592	0.0100133137970537	0.0376938412020102
"g6656.t1"	9111.01173505646	3.42156986634333	0.54401460899424	6.28948158702767	3.18527884347534e-10	1.04999662698192e-08
"g14098.t1"	158.095424111112	2.56823261327153	0.451731828750077	5.68530364658545	1.30580437875783e-08	3.0250349092018e-07
