"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"g16989"	2444.31693094881	0.897461850214557	0.368241005125628	2.4371589196276	0.0148031720340077	0.0425003549555467
"g21712"	15246.0437001555	-0.667529529781307	0.278969625625118	-2.39283946517654	0.0167185543326862	0.046806118381827
"g21713"	922.453958326873	0.766758133184415	0.290070901482453	2.64334729635332	0.00820907852710822	0.0260977408152544
"g21711"	12820.9373720654	-0.720191624039775	0.230415995913426	-3.12561470042371	0.00177433859826497	0.00722645178684228
"g21769"	96.7797618930884	3.28980475421126	0.909719583642537	3.61628441704949	0.000298861996878716	0.00162440107960514
"g15181"	7332.28704262927	2.10435179792864	0.611264445189158	3.4426209711534	0.000576106136842071	0.0028134668453033
"g15183"	866.234105971879	-0.590177926374829	0.237021075859892	-2.48998079277851	0.0127749998974572	0.0375967290272712
"g7650"	683.245217650835	0.652106166824254	0.270192550482079	2.41348684729006	0.0158006981591844	0.0447570232058333
"g7651"	618.227764910831	1.18997603085831	0.335750992718368	3.54422192835176	0.000393773636226951	0.00205766760900574
"g7656"	350.211779995356	1.58503059153766	0.323101290621436	4.90567706643665	9.31056034501988e-07	1.06148105389996e-05
"g15189"	811.650109499863	0.944677752197596	0.276204902574787	3.42020631564209	0.00062573659290553	0.00301531126951674
"g7654"	35486.7767609733	0.761058892493273	0.218224738745045	3.48750053211167	0.000487557953164199	0.00244432398865074
"g7655"	127.719019736587	1.43545033356112	0.346329156195926	4.14475740168135	3.40173653430006e-05	0.000251454275257129
"g14589"	532.781316877992	0.688871286455932	0.215524383604576	3.19625684544265	0.00139223117572413	0.00589852662700636
"g14588"	1711.20577686603	1.7194270194359	0.448335482794813	3.83513481627066	0.00012549543924638	0.000772551207841529
"g14587"	616.093761047775	2.79911536680414	0.517837724907917	5.40539097900193	6.4667175038977e-08	9.88278668690906e-07
"g14586"	224.051521301134	-1.18401266132338	0.409675592809743	-2.89012253134946	0.00385091693869725	0.0138190936585081
"g14585"	109.186249931631	-1.21940758895506	0.38810324520653	-3.14196699980221	0.0016781694910807	0.00690635428943148
"g14584"	6409.78540966135	1.63872439415061	0.496593536754766	3.29993097546064	0.000967086110907525	0.00434148761837791
"g10808"	8.24321559224106	4.29198661287735	0.995045045700049	4.31335911014741	1.60792622201834e-05	0.000130038754015897
"g10802"	426.474570029311	3.28839704656628	0.939318607575912	3.5008324332599	0.000463807372507367	0.00235462029132662
"g10801"	1552.0772638136	1.96160295627727	0.565061803259898	3.47148390664629	0.000517590355104453	0.00256477608798028
"g10806"	883.538976928072	-0.984473031430071	0.326562106060789	-3.01465789556984	0.00257269260668645	0.00982152435256826
"g10805"	30853.6458497205	-3.54152875891861	0.343962923581262	-10.2962514739817	7.32606680855374e-25	1.24841365013726e-22
"g4305"	42996.6215032662	1.76416341648649	0.389866924015636	4.52503997598867	6.03840907394112e-06	5.51330512697061e-05
"g4304"	268.062197299099	0.846936392227412	0.290332663430099	2.91712404047614	0.00353275251180242	0.0128570558244694
"g4300"	375.319599513077	3.48374256578743	1.3884471086901	2.50909274396062	0.0121041699872587	0.0360436680887238
"g5656"	128.213491896902	-0.971236345700471	0.397901584213826	-2.4408959004761	0.014650877331181	0.0421573959786644
"g1378"	58.8876939787582	-1.29625393785365	0.515418936804888	-2.51495210069154	0.0119048556780062	0.0355852066028699
"g1377"	2758.10014472376	1.28486255784815	0.259447544830593	4.95230185618872	7.33407197963386e-07	8.60813154982253e-06
"g1375"	5952.05663464335	-1.97039700979332	0.267818705194527	-7.35720459988838	1.8780139307585e-13	8.00067173687734e-12
"g188"	697.486458040684	0.547493258825936	0.191664572374174	2.85651778022441	0.004283160141984	0.0151111270967468
"g6005"	369.949250449973	-0.938382103760141	0.369730985289933	-2.53801315306124	0.0111483794405364	0.0336372915241255
"g1088"	23.9191893933941	2.60783620317545	0.892777217684086	2.92103802776276	0.00348867241742268	0.0127230825889945
"g22028"	237.551711729784	-1.4014972189905	0.259191614613513	-5.40718580375492	6.40227177344208e-08	9.79985256513519e-07
"g184"	330.27545521349	-0.795529236962713	0.18681051669798	-4.25848207597895	2.05819719099927e-05	0.000161370704844796
"g6684"	15.5045568960189	1.87689168805489	0.457850880211396	4.09935149013649	4.14309419990571e-05	0.000297906728578731
"g255"	34.0085035045357	3.26593315826657	1.13526546299949	2.87680129864747	0.00401728472300644	0.0143277751104117
"g257"	625.694167983004	-1.43207109610432	0.378261383113037	-3.78592994166781	0.000153134817023669	0.000918904342975308
"g258"	372.4065556436	-1.32721814387744	0.404941733442084	-3.27755337192791	0.0010471093268984	0.00463139160258135
"g6530"	1553.44276336779	1.74878462849988	0.37912858253454	4.6126425415065	3.97581711734805e-06	3.82218344541458e-05
"g6531"	636.802484236563	0.770870952640074	0.234521859226464	3.28698977222285	0.00101264511554665	0.00450230762986986
"g6532"	31648.0688021012	0.967615338177722	0.243851635557781	3.96804940825769	7.24633126100536e-05	0.000481156395730756
"g6533"	2401.40063602299	-1.51764919423341	0.527229973557137	-2.87853360080056	0.00399528717243866	0.0142623254001482
"g6537"	726.557653840011	-1.68943168721497	0.233523109965008	-7.23453746170185	4.67118392770551e-13	1.86228401059829e-11
"g15186"	90.09580417441	1.81388609365412	0.496525770476281	3.65315599211334	0.000259036754200342	0.00143954162738291
"g15974"	87.9816833368771	-1.17471714891542	0.297551090000509	-3.94795108602496	7.88229038828941e-05	0.000516263209921431
"g15976"	4280.94791776625	1.02807019259556	0.413814410346954	2.48437504081503	0.0129779047025693	0.0381123277341276
"g15973"	380.190715986204	1.35561582890938	0.447062612214974	3.03227286708897	0.00242719685069777	0.00934762051140726
"g15972"	78.5348162338163	1.55868811792012	0.512963487054212	3.03859467049239	0.00237684411064172	0.0091794043711426
"g15978"	239.231772774189	-0.874052114511604	0.285251875813338	-3.06414151359889	0.00218295623268284	0.00855413211569817
"g19475"	1108.74947334716	2.16179834576189	0.464133946855095	4.65770357977461	3.19756163790015e-06	3.15755112304643e-05
"g19476"	30.0903897883185	-1.90085475514063	0.431287824256985	-4.40739257690704	1.04622460025787e-05	8.89060057483035e-05
"g19477"	34.9080943117787	-1.7396203712884	0.480405721824816	-3.62114831746897	0.000293298301928347	0.00160258839550044
"g19478"	62.1024265649882	-1.36234893484429	0.364639830403941	-3.73614954058944	0.000186859570201135	0.00108969348388645
