gene_id,PSC-19,PSC-23,PSC-24,PSC-34,PSC-35,PSC-36,PSC-37,PSC-38,PSC-39,PSC-40,PSC-42,PSC-43,PSC-48,PSC-49,PSC-52,PSC-54,PSC-56,PSC-57,PSC-58,PSC-59,PSC-61,PSC-63,PSC-64,PSC-67,PSC-69,PSC-71,PSC-73,PSC-75,PSC-76,PSC-78,PSC-81,PSC-83
g16981,0,10,75,0,0,20,0,0,0,0,10,0,6,1,3,0,12,0,0,5,0,15,19,12,0,2,12,0,4,20,17,4
g16980,81,55,54,0,13,0,20,12,14,4,79,9,144,103,209,131,105,34,134,143,167,107,140,207,93,54,147,12,138,475,320,32
g16983,27,40,59,0,0,36,0,0,2,0,107,17,42,97,88,66,150,14,81,64,59,96,92,91,34,86,77,0,106,57,167,29
g16982,12,35,411,0,4,95,0,8,10,0,23,7,12,9,22,3,67,5,34,14,23,42,28,35,20,34,73,0,18,60,40,12
g16985,6,0,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,7,0,0,23,0,8,0,0,0,0,0,0
g16984,49,83,94,11,6,66,25,15,0,0,153,18,103,182,230,251,179,4,128,88,136,125,134,180,54,81,149,6,193,159,209,19
g16987,59,180,149,2,11,63,0,3,12,8,110,97,78,88,44,56,73,11,41,96,85,36,40,137,193,139,42,2,50,146,142,43
g16986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
g16989,2328,2112,1458,291,275,162,106,319,219,257,1633,2288,1400,1718,1690,2100,6250,2239,2256,2089,1219,1624,2640,3389,1517,4460,1965,1299,1062,2332,1753,2029
g16988,226,369,459,19,32,272,6,0,46,32,261,139,112,160,263,249,1050,110,215,138,164,291,258,863,274,1021,157,29,387,100,260,157
g21716,9,6,24,0,0,46,0,0,0,1,5,4,0,5,0,4,0,5,0,8,1,7,4,13,0,3,5,0,10,0,7,12
g21717,0,0,14,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
g21714,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
g21715,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
