Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	94	2.147589673292209	4.188588781338648E-8	Q9H0E2, P46471, Q3U1J4, Q9UBF6, Q8BZQ7, Q8CJB9, P53804, Q7TPD1, Q6GPF3, Q8C7R4, P15374, Q9BXM7, Q8BZZ3, Q5E964, Q92890, Q08CZ0, Q6P073, Q9JLV2, Q9Z2U1, Q8BW70, Q6TEM9, Q71U00, Q9H3F6, Q9VBP9, Q9Y5A7, Q15386, Q5PQN1, O43242, Q5RKH6, P60901, Q8QG64, Q810L3, O08759, Q6J1I7, F6UA42, Q9R049, Q3T0J1, F6P3G4, Q96AB6, Q29504, Q9C5D2, Q9P2G1, Q5U2S1, Q9N1T2, Q5SPX3, Q4KLT0, B4F6W9, P46379, Q6ZT12, P49407, Q15751, Q9HAU4, Q5RFS2, Q3URF8, Q6NRG0, Q3ULA2, A9JRZ0, Q9R1P4, Q9ES00, P18101, O95376, A0AVT1, Q9PTW9, Q708Y0, Q923V4, P60670, Q7Z6Z7, P25789, P25788, P25867, Q5ND34, Q91YT2, Q5F3N6, Q8BM54, Q6NW85, P25787, Q4G0X4, Q8TDB6, O88196, Q5ZHY5, Q5R4I2, O95260, Q9CPX9, Q9M622, Q9WVS6, P0C2W1, Q6I6G8, Q80Z37, Q9NV58, Q5XIU5, Q9UMX0, P22682, O95628	4107	156	10742	1.5760271706217652	2.966756181761454E-4	2.292669377937336E-4	2.2907275348730185E-4
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	167	3.8153986748914783	6.472810214391124E-8	Q6INH1, Q91ZT9, Q8WXK3, Q5F4A1, Q91ZT8, Q9R1R2, P53804, Q8CJB9, E1C760, Q5REG4, Q9UPN9, P15374, Q9BXM7, Q9QZN1, Q08CZ0, Q6PFK1, Q9JLV2, P23787, Q5SSH7, Q6TEM9, Q71U00, Q9NXK8, Q58WW2, Q5PQN1, Q8BI21, Q8IWR1, Q5PQN5, Q8CF97, A0JM49, P51593, Q9P1Y6, Q5ZKD9, Q9Y4L5, F6UA42, Q810L3, Q8K0G5, Q8LEV3, Q9Y4D8, Q922Y2, Q3V0Q1, Q3SZD5, Q9N1T2, Q5RCM6, Q4KLT0, B4F6W9, Q5XI67, Q5FVN8, A7E305, Q6ZT12, P49407, Q9HAU4, Q3URF8, Q0IJ33, Q6NRG0, O15541, Q9Z255, A9JRZ0, Q9ES00, P18101, Q5R792, A0AVT1, D3Z902, Q7L622, Q708Y0, Q6DG60, Q5M8S7, Q9NR09, P61963, O35709, Q5ZM55, P79781, Q6NW85, Q93008, Q924T7, P0CG73, Q8HXD5, Q9Y575, Q6PJ21, Q9UPQ7, Q9CPX9, E7FDW2, Q56A24, Q7ZX22, P0C2W1, Q6I6G8, Q96EH8, Q08BU1, P56273, P60882, P22682, O95628, A9JTG5, Q6TDP4, O54928, Q32L65, E9Q4F2, O94822, E1BNS0, Q3U1J4, Q9UBF6, A0A0G2JZ79, Q969H0, Q7TPD1, Q6GPF3, Q8C7R4, P63245, Q8BZZ3, Q8TEJ3, P0CG50, Q13042, B5DF45, Q8K430, Q9H3F6, Q6GPV5, Q9Y5A7, Q5RKH6, A2A6Q5, Q8VBV4, Q8QG64, O08759, Q7L273, F1LZF0, A5HK05, Q8N5D0, Q9UHC7, Q5T447, Q5BJN8, A6H7H7, Q5FWL3, Q9SAL0, O35717, Q9UJX3, Q15751, Q8WV16, Q9D787, Q3ULA2, Q8N806, O70277, Q3TQF0, Q8VHQ4, Q8BGZ4, Q80T85, A0A1D5NVS8, O95376, Q7Z6M2, Q9W3M3, Q6PCX9, Q8VHQ2, Q923V4, Q03601, P62976, P25867, Q8BM54, Q5RB36, Q4G0X4, Q28DS3, O88196, Q28DT9, Q149N8, Q9WVS6, Q5ZIJ9, Q15370, Q93034, Q8BK06, Q9R1A8	4107	314	10742	1.3910645022712504	4.5842877952162464E-4	2.292669377937336E-4	2.2907275348730185E-4
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	32	0.731094356865433	4.640100758180903E-7	Q9IA76, P18101, P63221, G1SQH0, G1SKF7, Q8JGR4, O09167, Q8CBC7, A0A1D8PF57, O61231, Q6DD06, Q6P799, P47955, P41116, P62907, P51410, D2XV59, P27085, Q9VXX8, Q498T4, P62861, P38983, Q02543, P36241, P61314, Q90YV0, P27659, P05388, P24049	4107	40	10742	2.092427562697833	0.0032816517112841392	9.83329665008046E-4	9.824968053256564E-4
GOTERM_BP_DIRECT	GO:0006508~proteolysis	194	4.432259538496687	5.552397882597663E-7	P32822, B2RYG6, Q07590, G5ECS8, P59509, Q6P1B1, P48052, Q9Y3Q0, Q8R4K8, Q8C1A5, O15484, Q70CQ4, P62083, G3UZ78, O15519, Q9QX15, P21128, P17945, P25723, Q8BW70, Q5T2D3, A6QR55, Q6ICB0, P07478, P29787, Q86UV5, Q6TH47, Q8CF97, P19221, P12821, Q04592, Q8TE57, P15145, P87362, Q9WVM6, Q62381, B2GUZ1, Q8NHM4, Q8CHN8, Q9CUS9, Q8NFA0, Q5XJY4, A0A2S3R7M0, B6MUN4, O00602, Q08CH3, Q19AZ8, P10619, Q54P70, O43895, Q9CXY9, Q6PZ02, Q9WTR0, Q99PW6, O05218, O43897, A0A0R4IB93, O02467, O57382, Q8NF86, P16444, Q9UDY8, P48147, B5DEQ3, Q93008, O35548, Q9DEX3, P80646, P23004, P45436, Q6GQ29, Q9R0S2, P07858, Q61824, O77656, P17538, Q60692, Q9W436, Q3T0P5, Q00493, Q4WUD3, D3ZPG5, Q3UR85, P39675, P15088, P14272, B1AQJ2, P20825, Q9UQC9, Q92542, Q9NQH7, Q8BHG1, P29119, P80912, Q9ULZ9, Q8BM88, Q9UKP5, Q9VT65, Q9UKP4, Q8IYS1, P56399, Q3UVK0, P20918, P50579, Q5PQY6, Q1JP61, Q3SYW2, O76031, P55866, Q9P2N4, P70505, P21328, Q8I7P9, P70627, Q95M12, Q5G267, Q07943, P0C872, Q4R684, A0A386CAB9, P20231, Q9UI42, P04323, Q9Y5R2, P55115, Q9CZR2, O75976, P21580, P55112, Q96LD8, Q7M760, P70059, Q9D7Z6, P13676, Q5G271, P90850, F8VPZ3, B0BM95, Q5ZIM5, Q8N7X0, P00730, Q8N531, Q09PK2, Q3ULA2, Q9VAC5, P04813, P16519, P58873, P0CT40, A8K7I4, Q86V25, Q96DT6, A3KG59, Q7L266, Q80V42, Q4R7U8, P69527, Q99542, O57579, P00767, Q14790, P54281, Q60928, P98064, Q9NQC7, Q15485, Q9NVE5, Q10751, O15072, Q1JPJ2, Q9CXT6, A3KQS4, F1NV61, Q9JLG8, P70195, Q2T9J0, Q6P8K8, E1C1R4, P53634, P15684, Q3UTY6, Q6Q473, P10394, Q96KP4, Q9JJ22, P52948, Q99497, P08594, P47245, Q5I0D7, Q9I9L7	4107	383	10742	1.3248399058857034	0.0039255943819545	9.83329665008046E-4	9.824968053256564E-4
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	20	0.4569339730408956	5.115037521666235E-5	P70191, Q9WU72, Q60855, Q9VAC5, P39429, Q61382, Q3ZCC3, Q5ZJB4, Q63486, Q9Y4K3, P92208, Q9NS68, Q9DF58, Q60803, P48059, Q13490, B5DF45, Q92636, Q3MHX1, Q924T7	4107	24	10742	2.1796120444769094	0.303967222398037	0.07246985160696721	0.07240847115670722
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	92	2.10189627598812	7.575779936326376E-5	A9JTG5, P46471, Q3U1J4, Q9R1R2, A0A0G2JZ79, Q969H0, D2GXS7, Q6GPF3, P54814, P51665, Q8BZZ3, Q9P0J7, Q9QZN1, Q92890, Q9Z2U1, P48601, P23787, Q5F418, Q5E9K0, Q9H3F6, Q9VBP9, Q32KL2, O43242, Q8BK63, Q9ESN6, P60901, Q8VBV4, P55036, P55035, Q5ZKD9, Q8QG64, O08759, Q7SXR3, P17439, A5HK05, Q80U30, Q5T447, Q0IIF7, Q8WV99, Q4R834, Q9V3G7, D3ZQG6, B4F6W9, P46379, O88685, A7E305, Q13490, Q5REY7, P49407, Q9HAU4, Q9Z255, Q3ULA2, O70277, A9JRZ0, A4IF63, Q8VDM4, Q9R1P4, Q9ES00, Q9V3H2, Q5NVK7, D3Z902, Q5RE15, P60670, Q03601, P25789, P25788, Q5ZK10, P40307, Q5ZM55, P62334, P25787, Q28DT9, Q5ZHY5, P70195, Q6PJ21, Q61382, Q9C040, P54802, Q60692, P54725, Q9WVS6, P0C2W1, A1Z6E0, Q80Z37, Q4R7L3, Q5XIU5, Q9Y263, Q8BK06, O73817, Q9R1A8	4107	173	10742	1.3909200561286175	0.4153188248845173	0.07969977652415795	0.07963227247854178
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	61	1.3936486177747316	8.817755665428502E-5	Q645M6, Q13315, A0A0G2JZ79, Q9Z0H7, Q7TPD1, F6R2G2, Q3ZCC3, O95076, Q9Y4K3, O15519, O08873, Q5QJU3, Q9BXM7, A0A386CAB9, Q4LAL6, B5DF45, Q8C180, F1MHT9, Q7SZE8, Q15906, Q07817, Q8VEK6, Q13490, Q9UER7, Q53T59, O14727, Q9BXK5, Q9UDY8, Q9Z2F6, Q9NR09, Q00535, Q60803, O54988, Q14790, Q9CY58, Q6V7V2, P45436, B2RY56, P70191, P62909, Q5U318, P07858, P39429, Q61382, Q5R5W2, Q5F485, Q9WVS6, Q8R3B7, Q75Q39, Q7SXL7, Q9NV56, Q06507, Q8TDM6, P20749, B1AQJ2, Q8HY67, Q7T381, Q7SYB2, B7SBD2	4107	106	10742	1.5051660533557525	0.4645658431258012	0.07969977652415795	0.07963227247854178
GOTERM_BP_DIRECT	GO:1904263~positive regulation of TORC1 signaling	29	0.6625542609092986	9.000539415489323E-5	B2RYG6, Q09472, Q9VS24, Q28F07, Q5PPM8, Q5R9A7, Q9UHD2, Q9P278, Q9WUN2, Q6DCW7, Q7T0V2, Q9D1L9, A6QR55, P23443, Q8BK63, Q7ZUK7, Q9N0P9, Q7ZX22, Q80U30, Q63486, Q9NQL2, F8VPZ3, B2GUZ1, Q9JHS3, Q6P4S6, Q8NFA0, Q8NFG4, Q5XFW8	4107	41	10742	1.8500121743364988	0.4714547763722575	0.07969977652415795	0.07963227247854178
GOTERM_BP_DIRECT	GO:0006412~translation	96	2.193283070596299	1.325867348164653E-4	P82924, Q62448, S4R2K0, Q803A7, Q6P3J5, O42387, P62083, Q2HJI0, Q58DV5, P63245, G1SZ12, P17702, O09167, Q0VFH6, P17074, Q8WQI5, P62752, Q7T2A5, Q99JT1, Q90Z10, Q6B860, O01727, A3KMI0, Q6NZJ6, Q9VXX8, G1TU13, Q8N5C6, P84175, Q8R050, P61354, Q8BWW4, P62282, Q6DRC4, P61314, P23358, Q6PBY1, Q3T0B7, P05388, P08736, P29314, Q9GNE2, Q8VE22, Q90YS3, G1TFM5, Q8TEQ6, P59325, P18101, P31674, P63221, G1SKF7, Q05AY2, Q99LJ2, O61231, P47897, Q6INR1, Q6DH02, P79781, Q90YS0, G1SNY0, Q8BP74, P41116, P62907, Q6PQD5, Q8ISP0, Q6GR45, Q3MHH4, P51410, P62909, P47772, Q0VCQ4, Q6PF21, Q99N94, Q7T3T8, Q8BX17, P62861, P38983, Q6AZN4, O54873, Q02543, P33095, Q8VDC0, P36241, Q90YV0, Q4R8Z2, Q4R4Z6, P27659, Q13310	4107	184	10742	1.3646266713246735	0.6091012487032808	0.10436049215998223	0.10427210100343792
GOTERM_BP_DIRECT	GO:0007229~integrin-mediated signaling pathway	30	0.6854009595613434	1.7883118358283338E-4	Q13797, P59509, Q9W2Q5, Q6GPF3, Q06124, B8JK39, Q99JY8, P14234, P70505, Q00651, Q9VZI3, A2ARA8, Q9DF58, P53708, B0FYY4, P26039, Q9Y490, Q9EQH1, O15072, Q8CFN2, P12606, Q8VI36, Q03001, Q61001, P18433, B1A8Z2, D3ZIE4, Q96RT1, Q9H0C8, Q66H76	4107	44	10742	1.7833189454811078	0.7183114900735583	0.12668401045007915	0.12657671173992946
