Sample_ID,Disease_Sign,start,end,Sample_Date,Treatment,Age,Star_ID
3,Healthy,2022-06-21,2022-06-28,,Exposed,Adult,3
3,ArmTwist,2022-06-28,2022-07-03,,Exposed,Adult,3
3,ArmDrop,2022-07-03,2022-07-03,,Exposed,Adult,3
3,Mortality,2022-07-03,2022-07-04,,Exposed,Adult,3
5,Healthy,2022-06-21,2022-06-29,,Exposed,Adult,5
5,ArmTwist,2022-06-29,2022-07-03,,Exposed,Adult,5
5,ArmDrop,2022-07-03,2022-07-04,,Exposed,Adult,5
5,Mortality,2022-07-04,2022-07-05,,Exposed,Adult,5
6,Healthy,2022-06-21,2022-06-26,,Exposed,Adult,6
6,ArmTwist,2022-06-26,2022-06-29,,Exposed,Adult,6
6,ArmDrop,2022-06-29,2022-07-05,,Exposed,Adult,6
6,Mortality,2022-07-05,2022-07-06,,Exposed,Adult,6
18,Healthy,2022-06-21,2022-06-30,,Exposed,Adult,18
18,ArmTwist,2022-06-30,2022-07-04,,Exposed,Adult,18
18,ArmDrop,2022-07-04,2022-07-05,,Exposed,Adult,18
18,Mortality,2022-07-05,2022-07-06,,Exposed,Adult,18
22,Healthy,2022-06-21,2022-06-29,,Exposed,Adult,22
22,ArmTwist,2022-06-29,2022-07-04,,Exposed,Adult,22
22,ArmDrop,2022-07-04,2022-07-05,,Exposed,Adult,22
22,Mortality,2022-07-05,2022-07-06,,Exposed,Adult,22
28,Healthy,2022-06-21,2022-06-26,,Exposed,Adult,28
28,ArmTwist,2022-06-26,2022-06-29,,Exposed,Adult,28
28,ArmDrop,2022-06-29,2022-07-07,,Exposed,Adult,28
28,Mortality,2022-07-07,2022-07-08,,Exposed,Adult,28
174,Healthy,2022-06-21,2022-06-25,2022-07-01,Exposed,Adult,30
174,ArmTwist,2022-06-25,2022-07-01,2022-07-01,Exposed,Adult,30
174,ArmDrop,2022-07-01,2022-07-05,2022-07-01,Exposed,Adult,30
174,Mortality,2022-07-05,2022-07-06,2022-07-01,Exposed,Adult,30
190,Healthy,2022-06-21,2022-06-28,2022-07-02,Exposed,Adult,10
190,ArmTwist,2022-06-28,2022-07-02,2022-07-02,Exposed,Adult,10
190,ArmDrop,2022-07-02,2022-07-04,2022-07-02,Exposed,Adult,10
190,Mortality,2022-07-04,2022-07-05,2022-07-02,Exposed,Adult,10
231,Healthy,2022-06-21,2022-06-28,2022-07-06,Exposed,Adult,13
231,ArmTwist,2022-06-28,2022-07-06,2022-07-06,Exposed,Adult,13
231,ArmDrop,2022-07-06,2022-07-08,2022-07-06,Exposed,Adult,13
231,Mortality,2022-07-08,2022-07-09,2022-07-06,Exposed,Adult,13
