gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.biological.process	Gene.Ontology.IDs
g16984	42.5732532580854	-1.81200656062504	0.66079228179516	-2.74217270774169	0.00610342409756489	0.0214840052055303	34	44	0	13	6	8	141	56	77	124	52	54	sp	Q8C2A2	SEN54_MOUSE	26.298	289	186	8	310	1170	260	523	8.49e-20	94.7	Q8C2A2	reviewed	SEN54_MOUSE	tRNA-splicing endonuclease subunit Sen54 (tRNA-intron endonuclease Sen54)	Tsen54 Sen54	Mus musculus (Mouse)	525	mRNA processing [GO:0006397]; tRNA-type intron splice site recognition and cleavage [GO:0000379]	GO:0000214; GO:0000379; GO:0005730; GO:0006397
g16989	1068.14286285207	0.930144085813178	0.319936567780745	2.90727656505528	0.00364590699251201	0.0139876027835596	1444	787	975	1597	1168	856	1094	1101	1104	643	651	739	sp	Q7YRK6	CX6B1_CARSF	62.069	87	29	2	1	252	1	86	3.83e-36	120	Q7YRK6	reviewed	CX6B1_CARSF	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	COX6B1 COX6B	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	86	oxidative phosphorylation [GO:0006119]	GO:0005743; GO:0006119; GO:0045277
g21716	12.4131389975863	3.35172944244102	1.18332115697557	2.8324765619907	0.00461889522100612	0.0170674041878578	23	43	20	0	9	27	0	5	4	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21714	4.79204462190479	5.46550556767689	1.79324558599679	3.04782881405441	0.00230501195012124	0.00956068735091656	0	13	11	6	13	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21710	1969.5260086036	1.2778623470401	0.501719328071695	2.54696655189951	0.0108663847983991	0.0343322210183315	2916	1200	1062	852	4051	2204	1436	1624	1053	1720	1092	1414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21719	30.1347946203639	2.08516251053588	0.729105850975754	2.85988997035935	0.00423788015928135	0.0158575623542506	48	88	56	9	14	53	16	22	7	9	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7659	1086.58628382577	1.80419468598691	0.62902366444317	2.86824612168452	0.00412754308971042	0.0155413666054671	566	3411	2282	175	191	2673	636	659	545	514	773	344	sp	Q9Y2H1	ST38L_HUMAN	72.234	461	115	5	28	1398	13	464	0	676	Q9Y2H1	reviewed	ST38L_HUMAN	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	Homo sapiens (Human)	464	intracellular signal transduction [GO:0035556]; negative regulation of autophagy [GO:0010507]; postsynapse organization [GO:0099173]; protein phosphorylation [GO:0006468]; regulation of cellular component organization [GO:0051128]	GO:0000287; GO:0003779; GO:0004674; GO:0005524; GO:0005737; GO:0005829; GO:0006468; GO:0010507; GO:0015629; GO:0016020; GO:0035556; GO:0051128; GO:0098978; GO:0099173; GO:0106310
g10803	588.166035521718	0.785736322080346	0.278683960475418	2.81945297727192	0.00481055786824715	0.0176599141269846	601	874	742	270	493	800	696	445	495	675	423	446	sp	A7J1T0	M313B_XENLA	61.245	498	176	5	43	1512	39	527	0	608	A7J1T0	reviewed	M313B_XENLA	Mitogen-activated protein kinase kinase kinase 13-B (EC 2.7.11.25)	map3k13-b	Xenopus laevis (African clawed frog)	961		GO:0004709; GO:0005524; GO:0005737; GO:0016020; GO:0106310
g10804	473.940057996012	0.823288002331432	0.257539529060574	3.19674422537983	0.00138988110627732	0.00626140397528376	501	701	523	283	359	717	540	324	384	545	319	405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g4307	122.711736692234	-1.29981309288439	0.333250052780908	-3.90041376449216	9.6028427447203e-05	0.000652494363757407	68	37	128	71	19	58	273	179	258	217	189	159	sp	Q9DAZ9	ANCHR_MOUSE	51.02	98	47	1	259	552	287	383	1.24e-25	104	Q9DAZ9	reviewed	ANCHR_MOUSE	Abscission/NoCut checkpoint regulator (ANCHR) (Zinc finger FYVE domain-containing protein 19)	Zfyve19 Anchr	Mus musculus (Mouse)	389	abscission [GO:0009838]; cell division [GO:0051301]; mitotic cytokinesis checkpoint signaling [GO:0044878]; negative regulation of cytokinesis [GO:0032466]	GO:0005737; GO:0005813; GO:0009838; GO:0030496; GO:0032154; GO:0032266; GO:0032466; GO:0044878; GO:0046872; GO:0051301; GO:0090543
