gene_id	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2.x	uniprot_accession.x	gene_name.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13.x	V14.x	Entry.x	Reviewed.x	Entry.Name.x	Protein.names.x	Gene.Names.x	Organism.x	Length.x	Gene.Ontology.IDs.x	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2.y	uniprot_accession.y	gene_name.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y	V13.y	V14.y	Entry.y	Reviewed.y	Entry.Name.y	Protein.names.y	Gene.Names.y	Organism.y	Length.y	Gene.Ontology.IDs.y
g1377	2828.141477	1.205761532	0.267315346	4.510633422	6.46E-06	5.94E-05	2646	2007	2217	1692	3016	2484	1937	2358	3409	4954	1719	4448	3526	1230	1413	3181	sp	P54725	RD23A_HUMAN	41.912	408	172	8	1	1176	3	361	8.94E-76	242	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381	1525.639235	1.270317323	0.30292967	4.193439759	2.75E-05	0.000218245	3221	1352	2123	1314	1512	1541	1723	1302	1334	967	479	863	sp	P54725	RD23A_HUMAN	41.912	408	172	8	1	1176	3	361	8.94E-76	242	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381
g19475	1128.157498	2.091678627	0.463765081	4.510211557	6.48E-06	5.95E-05	499	525	567	480	838	747	407	516	951	1058	669	1430	1458	2823	628	4910	sp	Q9H3F6	BACD3_HUMAN	71.483	263	68	4	88	873	28	284	2.79E-134	386	Q9H3F6	reviewed	BACD3_HUMAN	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10)	KCTD10 ULR061 MSTP028	Homo sapiens (Human)	313	GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260	786.8160768	2.190568155	0.328872658	6.660839994	2.72E-11	9.31E-10	1558	1176	670	1012	1250	622	381	302	415	293	310	332	sp	Q9H3F6	BACD3_HUMAN	71.483	263	68	4	88	873	28	284	2.79E-134	386	Q9H3F6	reviewed	BACD3_HUMAN	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10)	KCTD10 ULR061 MSTP028	Homo sapiens (Human)	313	GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260
g9945	2068.075663	1.46806986	0.294612089	4.983060492	6.26E-07	7.35E-06	1947	1259	1247	1034	2375	1448	993	1449	2132	2676	2305	1981	2789	1344	1824	1785	sp	O73817	PSB3_ONCMY	72.683	205	37	1	1	558	1	205	5.98E-105	302	O73817	reviewed	PSB3_ONCMY	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	psmb3	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	205	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161	1114.189249	1.461550369	0.272165648	5.370076569	7.87E-08	1.27E-06	1762	992	1091	1913	1151	1202	804	716	808	610	737	594	sp	O73817	PSB3_ONCMY	72.683	205	37	1	1	558	1	205	5.98E-105	302	O73817	reviewed	PSB3_ONCMY	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	psmb3	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	205	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
g14478	96.63110255	-2.00868178	0.559047615	-3.59304239	0.000326839	0.001738179	138	167	170	307	296	169	165	216	68	35	5	51	47	4	64	0	sp	P0C2W1	FBSP1_HUMAN	72.727	220	59	1	25	681	39	258	3.93E-115	334	P0C2W1	reviewed	FBSP1_HUMAN	F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45)	FBXO45 FBX45	Homo sapiens (Human)	286	GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300	60.73188569	-2.478275998	0.32038314	-7.735350866	1.03E-14	6.60E-13	21	17	11	21	10	15	102	125	144	120	137	100	sp	P0C2W1	FBSP1_HUMAN	72.727	220	59	1	25	681	39	258	3.93E-115	334	P0C2W1	reviewed	FBSP1_HUMAN	F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45)	FBXO45 FBX45	Homo sapiens (Human)	286	GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300
g11179	3178.166166	0.936469479	0.179741643	5.210086335	1.89E-07	2.54E-06	3326	3126	2826	2152	2849	3325	2573	3303	2575	2968	2711	4030	4392	1189	5423	2550	sp	Q9R1P4	PSA1_MOUSE	75.949	237	57	0	1	711	1	237	1.23E-133	382	Q9R1P4	reviewed	PSA1_MOUSE	Proteasome subunit alpha type-1 (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6)	Psma1	Mus musculus (Mouse)	263	GO:0000502; GO:0001530; GO:0002376; GO:0002862; GO:0005634; GO:0005654; GO:0005813; GO:0005829; GO:0005839; GO:0019773; GO:0043161	1166.977391	0.537171481	0.19378574	2.771986638	0.005571532	0.019914725	1829	1109	1248	1419	708	904	1357	979	1251	1205	1218	884	sp	Q9R1P4	PSA1_MOUSE	75.949	237	57	0	1	711	1	237	1.23E-133	382	Q9R1P4	reviewed	PSA1_MOUSE	Proteasome subunit alpha type-1 (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6)	Psma1	Mus musculus (Mouse)	263	GO:0000502; GO:0001530; GO:0002376; GO:0002862; GO:0005634; GO:0005654; GO:0005813; GO:0005829; GO:0005839; GO:0019773; GO:0043161
g6607	1416.201051	1.272522464	0.204835541	6.212410495	5.22E-10	1.21E-08	1295	1369	902	855	1386	995	879	1226	1569	2468	1114	1958	2118	439	1580	1335	sp	Q5ZK10	NSF1C_CHICK	42.298	409	188	8	13	1221	2	368	7.08E-85	266	Q5ZK10	reviewed	NSF1C_CHICK	NSFL1 cofactor p47 (p97 cofactor p47)	NSFL1C RCJMB04_13o20	Gallus gallus (Chicken)	369	GO:0000045; GO:0000132; GO:0005634; GO:0005795; GO:0005813; GO:0005829; GO:0007030; GO:0008289; GO:0031468; GO:0043130; GO:0043161; GO:0046604; GO:0061025; GO:1904780; GO:1990730	573.3589323	1.026715435	0.300049242	3.421823127	0.000622028	0.003177394	1142	525	636	499	498	650	527	365	689	530	230	405	sp	Q5ZK10	NSF1C_CHICK	42.298	409	188	8	13	1221	2	368	7.08E-85	266	Q5ZK10	reviewed	NSF1C_CHICK	NSFL1 cofactor p47 (p97 cofactor p47)	NSFL1C RCJMB04_13o20	Gallus gallus (Chicken)	369	GO:0000045; GO:0000132; GO:0005634; GO:0005795; GO:0005813; GO:0005829; GO:0007030; GO:0008289; GO:0031468; GO:0043130; GO:0043161; GO:0046604; GO:0061025; GO:1904780; GO:1990730
g18476	3213.194509	1.292694182	0.242242036	5.336374333	9.48E-08	1.37E-06	2749	2367	2529	2191	3159	2813	1659	2393	3549	3374	3952	2790	4367	1199	5779	2525	sp	Q8QG64	RBX1_SALSA	100	87	0	0	70	330	21	107	3.46E-61	185	Q8QG64	reviewed	RBX1_SALSA	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (Hyperosmotic protein 21) (sHOP21) (RING-box protein 1) (Rbx1)	rbx1 hop21	Salmo salar (Atlantic salmon)	108	GO:0005634; GO:0005737; GO:0006513; GO:0008270; GO:0016567; GO:0019005; GO:0031146; GO:0031463; GO:0031464; GO:0031465; GO:0031467; GO:0043161; GO:0045116; GO:0061630; GO:0061663; GO:0097602	1034.804131	1.0517391	0.193311914	5.440632591	5.31E-08	8.95E-07	1462	1387	1214	1135	910	1010	987	858	821	927	451	883	sp	Q8QG64	RBX1_SALSA	100	87	0	0	70	330	21	107	3.46E-61	185	Q8QG64	reviewed	RBX1_SALSA	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (Hyperosmotic protein 21) (sHOP21) (RING-box protein 1) (Rbx1)	rbx1 hop21	Salmo salar (Atlantic salmon)	108	GO:0005634; GO:0005737; GO:0006513; GO:0008270; GO:0016567; GO:0019005; GO:0031146; GO:0031463; GO:0031464; GO:0031465; GO:0031467; GO:0043161; GO:0045116; GO:0061630; GO:0061663; GO:0097602
g21244	2134.607948	1.488046361	0.272654167	5.457632935	4.83E-08	7.45E-07	2473	1576	1212	1213	1836	1200	995	1430	2450	3437	1333	2455	3379	1076	2376	2168	sp	Q9Z2U1	PSA5_MOUSE	79.253	241	50	0	1	723	1	241	3.60E-147	413	Q9Z2U1	reviewed	PSA5_MOUSE	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain)	Psma5	Mus musculus (Mouse)	241	GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0019773; GO:0043161	1004.499074	1.600848527	0.313427924	5.107549153	3.26E-07	4.47E-06	3010	977	1061	1168	857	916	848	533	847	490	415	515	sp	Q9Z2U1	PSA5_MOUSE	79.253	241	50	0	1	723	1	241	3.60E-147	413	Q9Z2U1	reviewed	PSA5_MOUSE	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain)	Psma5	Mus musculus (Mouse)	241	GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0019773; GO:0043161
g14871	1877.926034	1.373004764	0.266092462	5.15987846	2.47E-07	3.22E-06	2395	1443	1562	832	1585	1222	994	1158	1611	1988	1300	2634	2454	1038	2795	2139	sp	P25787	PSA2_HUMAN	82.203	236	39	2	1	705	1	234	2.20E-144	405	P25787	reviewed	PSA2_HUMAN	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3) (Proteasome subunit alpha-2) (alpha-2)	PSMA2 HC3 PSC3	Homo sapiens (Human)	234	GO:0000502; GO:0000932; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0009615; GO:0019773; GO:0034774; GO:0043161; GO:0070062; GO:1904813	780.7714899	1.118435913	0.293641488	3.808848403	0.000139616	0.000900515	1710	665	889	982	620	695	731	564	610	392	812	429	sp	P25787	PSA2_HUMAN	82.203	236	39	2	1	705	1	234	2.20E-144	405	P25787	reviewed	PSA2_HUMAN	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3) (Proteasome subunit alpha-2) (alpha-2)	PSMA2 HC3 PSC3	Homo sapiens (Human)	234	GO:0000502; GO:0000932; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0009615; GO:0019773; GO:0034774; GO:0043161; GO:0070062; GO:1904813
g11585	3999.912963	1.590326099	0.230336358	6.904364173	5.04E-12	1.70E-10	3577	2405	2803	1904	3108	2629	2129	2867	4265	5306	3317	4127	5803	2193	5992	3944	sp	P46471	PRS7_MOUSE	90.553	434	40	1	1	1302	1	433	0	763	P46471	reviewed	PRS7_MOUSE	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	Psmc2 Mss1	Mus musculus (Mouse)	433	GO:0000932; GO:0005524; GO:0008540; GO:0016887; GO:0017025; GO:0022624; GO:0036402; GO:0043161; GO:0043197; GO:0140296	1621.458056	1.354470952	0.279696219	4.84265021	1.28E-06	1.50E-05	3160	1467	1626	1707	1849	1807	1248	991	1339	870	1174	921	sp	P46471	PRS7_MOUSE	90.553	434	40	1	1	1302	1	433	0	763	P46471	reviewed	PRS7_MOUSE	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	Psmc2 Mss1	Mus musculus (Mouse)	433	GO:0000932; GO:0005524; GO:0008540; GO:0016887; GO:0017025; GO:0022624; GO:0036402; GO:0043161; GO:0043197; GO:0140296
