gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.biological.process	Gene.Ontology.IDs
g15182	767.351797230135	3.69006657328911	0.886454960381773	4.16272313677381	3.14474583024854e-05	0.00989487504224212	397	247	329	2146	1698	529	257	649	381	210	168	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9704	3634.48026308184	2.76604048314897	0.695226043675107	3.97862034702716	6.93163228599096e-05	0.0166171809443161	4733	1800	2347	4379	8950	8834	312	290	199	161	133	121	sp	Q29J90	MOODY_DROPS	24.37	357	228	14	91	1071	44	388	4.83e-17	86.7	Q29J90	reviewed	MOODY_DROPS	G-protein coupled receptor moody	moody GA18107	Drosophila pseudoobscura pseudoobscura (Fruit fly)	675	axon ensheathment [GO:0008366]; behavioral response to cocaine [GO:0048148]; G protein-coupled receptor signaling pathway [GO:0007186]	GO:0004930; GO:0005886; GO:0007186; GO:0008366; GO:0048148
g9703	863.362557956039	3.76039580248801	1.05164812949414	3.57571672218619	0.000349269693967588	0.0440265148946002	1035	327	498	2943	1640	1015	281	87	135	105	9	34	sp	P18841	ADA1B_MESAU	31.548	336	196	10	175	1134	50	367	6.39e-24	107	P18841	reviewed	ADA1B_MESAU	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	Mesocricetus auratus (Golden hamster)	515	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of heart rate by epinephrine-norepinephrine [GO:0001996]; positive regulation of MAPK cascade [GO:0043410]; regulation of cardiac muscle contraction [GO:0055117]; regulation of vasoconstriction [GO:0019229]	GO:0001996; GO:0004937; GO:0005634; GO:0005737; GO:0005886; GO:0005901; GO:0007200; GO:0007204; GO:0007267; GO:0019229; GO:0031965; GO:0043410; GO:0046982; GO:0055117; GO:0071880
g23456	328.740703636573	-3.29453065934666	0.84136311120589	-3.91570609106542	9.01400059323166e-05	0.0195755997298727	184	875	387	39	19	61	758	510	249	620	347	475	sp	Q5ZKK5	ODFP2_CHICK	43.232	495	281	0	25	1509	326	820	1.21e-116	365	Q5ZKK5	reviewed	ODFP2_CHICK	Outer dense fiber protein 2 (Cenexin) (Outer dense fiber of sperm tails protein 2)	ODF2 RCJMB04_10e12	Gallus gallus (Chicken)	822	cell differentiation [GO:0030154]; regulation of cilium assembly [GO:1902017]; spermatogenesis [GO:0007283]	GO:0000922; GO:0005737; GO:0005813; GO:0005814; GO:0005874; GO:0007283; GO:0030154; GO:0036126; GO:1902017
g8400	485.049242372159	-1.82245319067801	0.382649521445158	-4.76272172978322	1.90999144151476e-06	0.00118292136611148	445	538	472	137	100	160	1133	553	488	853	958	730	sp	O36032	GLRX1_SCHPO	43.373	83	47	0	1	249	1	83	7.62e-20	80.1	O36032	reviewed	GLRX1_SCHPO	Glutaredoxin-1	grx1 SPAC4F10.20	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	101	cellular response to oxidative stress [GO:0034599]	GO:0004602; GO:0005634; GO:0005737; GO:0005829; GO:0015038; GO:0034599
g3695	19.7099975776053	17.1452102738256	3.53268393648106	4.8533099994516	1.21417667275975e-06	0.000870856308146331	10	73	33	0	0	86	11	8	0	0	0	0	sp	Q9WV18	GABR1_MOUSE	43.243	74	41	1	364	582	163	236	1.16e-13	72.4	Q9WV18	reviewed	GABR1_MOUSE	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	Gabbr1	Mus musculus (Mouse)	960	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; gamma-aminobutyric acid signaling pathway [GO:0007214]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of epinephrine secretion [GO:0032811]; negative regulation of gamma-aminobutyric acid secretion [GO:0014053]; negative regulation of synaptic transmission [GO:0050805]; neuron-glial cell signaling [GO:0150099]; osteoblast differentiation [GO:0001649]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of growth hormone secretion [GO:0060124]; regulation of glutamate secretion [GO:0014048]; response to ethanol [GO:0045471]; response to nicotine [GO:0035094]; synaptic transmission, GABAergic [GO:0051932]	GO:0001649; GO:0004965; GO:0005615; GO:0005737; GO:0005789; GO:0005886; GO:0007193; GO:0007214; GO:0008021; GO:0008285; GO:0014048; GO:0014049; GO:0014053; GO:0016020; GO:0030673; GO:0031966; GO:0032811; GO:0033602; GO:0035094; GO:0038037; GO:0038039; GO:0042734; GO:0043025; GO:0043197; GO:0043198; GO:0045211; GO:0045471; GO:0046982; GO:0050805; GO:0051932; GO:0060124; GO:0097060; GO:0098685; GO:0098793; GO:0098978; GO:0098982; GO:0099579; GO:0150047; GO:0150099; GO:1902710; GO:1902712; GO:1990430
g5591	32.7212879022746	-6.86071577172515	1.73033696872761	-3.96495936671232	7.3408450729372e-05	0.0170177600782391	6	44	10	0	0	0	91	50	36	91	34	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13465	31.1210963582692	-10.349671767933	2.64083475363667	-3.91909101986808	8.88835463294462e-05	0.019556719233171	112	198	23	6	0	9	0	0	0	0	6	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20326	1387.92958082228	1.67044303297067	0.449282853278614	3.71802088768959	0.000200789671606945	0.0326542892249218	1460	749	922	2032	1523	1391	1937	1364	1458	1357	852	964	sp	Q8CFG5	CA2D3_RAT	30.351	313	183	10	487	1383	207	498	8.4e-29	126	Q8CFG5	reviewed	CA2D3_RAT	Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3]	Cacna2d3	Rattus norvegicus (Rat)	1085	calcium ion transport [GO:0006816]; cellular response to insulin-like growth factor stimulus [GO:1990314]; regulation of presynapse organization [GO:0099174]	GO:0005245; GO:0005246; GO:0005891; GO:0006816; GO:0046872; GO:0048787; GO:0098982; GO:0099174; GO:1990314
g8006	116.343076266002	18.1963091463363	4.9670387126152	3.66341198431203	0.000248877759735885	0.0368295035248094	9	51	611	0	0	555	0	8	22	0	0	0	sp	Q99056	LAC5_TRAVI	31.852	540	296	19	157	1740	16	495	4.37e-55	199	Q99056	reviewed	LAC5_TRAVI	Laccase-5 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 5) (Diphenol oxidase 5) (Urishiol oxidase 5)	LCC5	Trametes villosa (White-rot fungus)	527	lignin catabolic process [GO:0046274]	GO:0005507; GO:0005576; GO:0046274; GO:0052716
