gene_id,uniprot_accession.x,gene_name.x,Entry.Name.x,Protein.names.x,Gene.Names.x,Gene.Ontology.biological.process.x,Gene.Ontology.IDs.x,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203
g3344,P60522,GBRL2_RAT,GBRL2_RAT,Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16),Gabarapl2 Gef2,autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; negative regulation of proteasomal protein catabolic process [GO:1901799]; protein localization to endoplasmic reticulum [GO:0070972]; protein transport [GO:0015031],GO:0000045; GO:0000139; GO:0000421; GO:0000422; GO:0005737; GO:0005776; GO:0005789; GO:0005794; GO:0006995; GO:0008429; GO:0015031; GO:0031410; GO:0031625; GO:0070972; GO:0097352; GO:1901799,1384,3234,3565,2650,3150,3725,3142,3506,3379,2618,4011,2507,3324,2055,2029,4735,1978,1912,1631,1839,1548,1253,1850,1249,1262,2056,678,1511
g17176,O94817,ATG12_HUMAN,ATG12_HUMAN,Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like),ATG12 APG12 APG12L,autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; macroautophagy [GO:0016236]; negative regulation of defense response to virus [GO:0050687]; negative regulation of innate immune response [GO:0045824]; negative regulation of type I interferon production [GO:0032480]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of viral translation [GO:1904973]; regulation of autophagosome maturation [GO:1901096],GO:0000045; GO:0000421; GO:0000422; GO:0005654; GO:0005776; GO:0005829; GO:0016236; GO:0030670; GO:0032480; GO:0032991; GO:0034045; GO:0034274; GO:0034727; GO:0043231; GO:0045824; GO:0050687; GO:0061723; GO:0097352; GO:1901096; GO:1904973; GO:1990234,656,675,716,676,619,856,710,737,142,65,118,326,208,22,230,45,62,77,116,130,28,42,378,271,216,393,68,291
g1872,Q99570,PI3R4_HUMAN,PI3R4_HUMAN,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),PIK3R4 VPS15,autophagosome maturation [GO:0097352]; autophagy of peroxisome [GO:0030242]; cellular response to glucose starvation [GO:0042149]; early endosome to late endosome transport [GO:0045022]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]; protein phosphorylation [GO:0006468]; protein targeting to lysosome [GO:0006622]; protein targeting to vacuole [GO:0006623]; receptor catabolic process [GO:0032801]; regulation of autophagy [GO:0010506]; regulation of cytokinesis [GO:0032465]; regulation of macroautophagy [GO:0016241],GO:0004672; GO:0004674; GO:0005524; GO:0005770; GO:0005776; GO:0005829; GO:0005930; GO:0006468; GO:0006622; GO:0006623; GO:0010506; GO:0015630; GO:0016020; GO:0016236; GO:0016241; GO:0030242; GO:0030670; GO:0032465; GO:0032801; GO:0034271; GO:0034272; GO:0035032; GO:0036092; GO:0042149; GO:0043231; GO:0043491; GO:0045022; GO:0045324; GO:0071561; GO:0097352; GO:0106310,1145,1888,1419,870,1035,1151,2549,1682,435,162,641,1113,722,35,365,255,150,321,453,303,94,193,1130,794,598,749,365,695
g2075,Q5R605,CHM1A_PONAB,CHM1A_PONAB,Charged multivesicular body protein 1a (Chromatin-modifying protein 1a) (CHMP1a),CHMP1A PCOLN3,autophagosome maturation [GO:0097352]; endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport [GO:0045324]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; nuclear membrane reassembly [GO:0031468]; plasma membrane repair [GO:0001778]; protein transport [GO:0015031]; regulation of mitotic spindle assembly [GO:1901673]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702],GO:0000776; GO:0000815; GO:0001778; GO:0005643; GO:0005765; GO:0005828; GO:0007080; GO:0015031; GO:0016363; GO:0030496; GO:0031468; GO:0032509; GO:0032585; GO:0039702; GO:0043162; GO:0045324; GO:0046761; GO:0061952; GO:0097352; GO:1901673; GO:1902774; GO:1904930,914,1566,1590,1204,1384,1609,1229,1609,1690,2374,1740,1968,2071,605,797,1448,1562,1012,881,806,654,644,860,538,544,758,432,721
g12900,Q8CGS4,CHMP3_RAT,CHMP3_RAT,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24) (rVps24p),Chmp3 Vps24,autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; endosome to lysosome transport [GO:0008333]; endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport [GO:0045324]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; multivesicular body sorting pathway [GO:0071985]; multivesicular body-lysosome fusion [GO:0061763]; nuclear membrane reassembly [GO:0031468]; nucleus organization [GO:0006997]; plasma membrane repair [GO:0001778]; positive regulation of cytokinesis [GO:0032467]; protein polymerization [GO:0051258]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of endosome size [GO:0051036]; regulation of mitotic spindle assembly [GO:1901673]; suppression of viral release by host [GO:0044790]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702],GO:0000421; GO:0000776; GO:0000815; GO:0001778; GO:0005546; GO:0005643; GO:0005765; GO:0005769; GO:0005770; GO:0005771; GO:0005828; GO:0005829; GO:0005886; GO:0006914; GO:0006997; GO:0007080; GO:0008333; GO:0010824; GO:0015031; GO:0030496; GO:0031210; GO:0031410; GO:0031468; GO:0032467; GO:0032509; GO:0032585; GO:0039702; GO:0043162; GO:0044790; GO:0045324; GO:0046761; GO:0051036; GO:0051258; GO:0061763; GO:0061952; GO:0071985; GO:0097352; GO:0140678; GO:1901673; GO:1902774; GO:1904930; GO:1990381; GO:2000641,620,545,698,497,746,775,554,679,1196,1469,825,2000,1187,653,596,947,1071,659,696,411,609,607,453,299,355,477,341,340
g14682,Q4QQV8,CHMP5_RAT,CHMP5_RAT,Charged multivesicular body protein 5 (Chromatin-modifying protein 5),Chmp5,autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; endosome to lysosome transport [GO:0008333]; erythrocyte differentiation [GO:0030218]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; lysosome organization [GO:0007040]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; multivesicular body sorting pathway [GO:0071985]; nuclear membrane reassembly [GO:0031468]; nucleus organization [GO:0006997]; plasma membrane repair [GO:0001778]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; regulation of receptor recycling [GO:0001919]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; vesicle budding from membrane [GO:0006900]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702],GO:0000421; GO:0000776; GO:0001778; GO:0001919; GO:0005634; GO:0005643; GO:0005765; GO:0005771; GO:0005828; GO:0005829; GO:0005886; GO:0006900; GO:0006914; GO:0006997; GO:0007040; GO:0007080; GO:0008333; GO:0010824; GO:0015031; GO:0030218; GO:0030496; GO:0031468; GO:0032511; GO:0032585; GO:0039702; GO:0043162; GO:0046761; GO:0061952; GO:0071222; GO:0071225; GO:0071985; GO:0097352; GO:1901673; GO:1902774; GO:1904930,1123,1603,1730,1555,1708,1983,1432,1681,3444,3841,2711,2733,3658,1455,1351,3272,2695,1766,2168,1388,1690,1929,1147,685,677,978,1226,797
g19769,Q63615,VP33A_RAT,VP33A_RAT,Vacuolar protein sorting-associated protein 33A (r-vps33a),Vps33a,autophagosome maturation [GO:0097352]; endosome to lysosome transport [GO:0008333]; intracellular protein transport [GO:0006886]; lysosome localization [GO:0032418]; melanosome localization [GO:0032400]; pigmentation [GO:0043473]; platelet formation [GO:0030220]; regulation of developmental pigmentation [GO:0048070]; regulation of lysosomal lumen pH [GO:0035751]; vesicle-mediated transport [GO:0016192],GO:0005764; GO:0005765; GO:0005769; GO:0005770; GO:0005776; GO:0006886; GO:0008333; GO:0016192; GO:0030123; GO:0030136; GO:0030220; GO:0030897; GO:0031902; GO:0032400; GO:0032418; GO:0033263; GO:0035751; GO:0043473; GO:0044877; GO:0048070; GO:0048471; GO:0071439; GO:0097352,1138,1521,1575,940,1271,1363,1622,2282,415,243,361,933,664,47,350,231,202,429,438,139,86,262,1083,656,772,770,581,692
g19020,Q9Z2P6,SNP29_RAT,SNP29_RAT,Synaptosomal-associated protein 29 (SNAP-29) (Golgi SNARE of 32 kDa) (Gs32) (Soluble 29 kDa NSF attachment protein) (Vesicle-membrane fusion protein SNAP-29),Snap29,autophagosome maturation [GO:0097352]; autophagosome membrane docking [GO:0016240]; cilium assembly [GO:0060271]; exocytosis [GO:0006887]; protein transport [GO:0015031]; regulation of synaptic vesicle cycle [GO:0098693]; regulation of synaptic vesicle exocytosis [GO:2000300]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; synaptic vesicle priming [GO:0016082],GO:0000139; GO:0000421; GO:0005484; GO:0005737; GO:0005776; GO:0005886; GO:0006887; GO:0008021; GO:0015031; GO:0016082; GO:0016240; GO:0019905; GO:0020018; GO:0031201; GO:0031629; GO:0043195; GO:0060271; GO:0097352; GO:0098693; GO:0098850; GO:2000300,103,170,92,96,154,134,128,130,259,426,170,377,303,185,73,401,245,180,216,95,287,311,103,81,86,56,54,91
g2401,O75351,VPS4B_HUMAN,VPS4B_HUMAN,Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1),VPS4B SKD1 VPS42 MIG1,angiogenesis [GO:0001525]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; canonical Wnt signaling pathway [GO:0060070]; cholesterol transport [GO:0030301]; endosomal transport [GO:0016197]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ESCRT III complex disassembly [GO:1904903]; establishment of blood-brain barrier [GO:0060856]; late endosomal microautophagy [GO:0061738]; late endosome to lysosome transport via multivesicular body sorting pathway [GO:0061764]; macroautophagy [GO:0016236]; membrane fission [GO:0090148]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; multivesicular body assembly [GO:0036258]; multivesicular body sorting pathway [GO:0071985]; negative regulation of exosomal secretion [GO:1903542]; nuclear membrane reassembly [GO:0031468]; nucleus organization [GO:0006997]; plasma membrane repair [GO:0001778]; positive regulation of centriole elongation [GO:1903724]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; potassium ion transport [GO:0006813]; protein depolymerization [GO:0051261]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; response to lipid [GO:0033993]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway [GO:0090611]; vacuole organization [GO:0007033]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702],GO:0000922; GO:0001525; GO:0001778; GO:0005524; GO:0005634; GO:0005643; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0005886; GO:0006813; GO:0006914; GO:0006997; GO:0007033; GO:0007080; GO:0010008; GO:0010824; GO:0010971; GO:0015031; GO:0016197; GO:0016236; GO:0016887; GO:0030301; GO:0030496; GO:0031468; GO:0031902; GO:0032510; GO:0033993; GO:0036258; GO:0039702; GO:0042802; GO:0042803; GO:0043162; GO:0044877; GO:0046761; GO:0051261; GO:0060070; GO:0060856; GO:0061738; GO:0061764; GO:0061952; GO:0070062; GO:0071985; GO:0090148; GO:0090543; GO:0090611; GO:0097352; GO:1901673; GO:1903542; GO:1903543; GO:1903724; GO:1904903; GO:1904949,1748,2405,3073,2320,3151,2798,2617,2937,3789,3531,2537,4118,4473,1240,1370,3691,3171,1911,1934,1617,1470,1650,2077,1231,1358,1221,1095,1229
g1447,P23787,TERA_XENLA,TERA_XENLA,Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (p97) (Valosin-containing protein) (VCP),vcp,autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to arsenite ion [GO:1903843]; cellular response to heat [GO:0034605]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ERAD pathway [GO:0036503]; interstrand cross-link repair [GO:0036297]; macroautophagy [GO:0016236]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of protein localization to chromatin [GO:1905634]; stress granule disassembly [GO:0035617]; translesion synthesis [GO:0019985],GO:0000785; GO:0005524; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0006281; GO:0006302; GO:0006914; GO:0006974; GO:0008289; GO:0010494; GO:0010498; GO:0016236; GO:0016567; GO:0016887; GO:0019985; GO:0032510; GO:0034605; GO:0035617; GO:0035861; GO:0036297; GO:0036503; GO:0042802; GO:0043161; GO:0044877; GO:0061857; GO:0097352; GO:1903843; GO:1905634,12416,10573,16218,14048,22512,16997,13533,15184,24067,30267,17194,31414,29052,20966,10997,36156,23115,14364,14613,18800,20762,18543,9586,6852,9186,7080,12576,7029
