gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g15973	380.6666494	1.396506155	0.467481806	2.987295196	0.002814578	0.010559191	7001	174	219	186	98	267	432	420	132	825	372	1680	12163	71	415	111	sp	Q95LR0	CFA91_MACFA	60.851	470	183	1	1	1407	269	738	3.95E-165	498	Q95LR0	reviewed	CFA91_MACFA	Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)	CFAP91 AAT1 MAATS1 QtsA-10510 QtsA-13847 QtsA-19865	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	767	GO:0003341; GO:0005739; GO:0005930; GO:0007283; GO:0030154; GO:0031514; GO:1904158
g15972	78.59739387	1.600590673	0.516737869	3.097490562	0.001951666	0.007786044	1556	21	40	36	36	40	100	57	24	232	29	337	2976	21	81	32	sp	Q8BRC6	CFA91_MOUSE	46.226	212	103	3	46	669	34	238	2.88E-51	180	Q8BRC6	reviewed	CFA91_MOUSE	Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1 homolog) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)	Cfap91 Aat1 Maats1 Spata26	Mus musculus (Mouse)	783	GO:0003341; GO:0005739; GO:0005930; GO:0007283; GO:0030154; GO:0031514; GO:1904158
g10929	513.5450634	2.303932911	0.644333881	3.575681772	0.000349316	0.001835412	12935	152	28	84	59	167	562	182	174	1063	873	3139	17782	95	393	154	sp	B2RY50	ODAD2_MOUSE	76.771	607	138	2	1213	3027	431	1036	0	949	B2RY50	reviewed	ODAD2_MOUSE	Outer dynein arm-docking complex subunit 2 (Armadillo repeat-containing protein 4)	Odad2 Armc4	Mus musculus (Mouse)	1037	GO:0003341; GO:0003356; GO:0005930; GO:0007368; GO:0007507; GO:0021591; GO:0036158; GO:0097546
g20436	198.770359	2.033796113	0.551627713	3.686899815	0.000227003	0.001278184	5363	94	59	40	35	79	186	104	71	513	195	943	7406	31	334	41	sp	Q494V2	CP100_HUMAN	44.521	584	281	9	163	1827	42	611	2.02E-114	357	Q494V2	reviewed	CP100_HUMAN	Cilia- and flagella-associated protein 100 (Coiled-coil domain-containing protein 37)	CFAP100 CCDC37	Homo sapiens (Human)	611	GO:0003341; GO:0031514; GO:0036064; GO:0036159; GO:0070840; GO:0097545
g3666	194.1067189	2.397148802	0.767789337	3.122143911	0.001795392	0.00725884	4449	77	0	10	14	123	147	56	95	222	314	1205	5397	60	291	51	sp	Q5TYW6	RSPH9_DANRE	49.458	277	109	2	1	738	1	277	1.85E-96	286	Q5TYW6	reviewed	RSPH9_DANRE	Radial spoke head protein 9 homolog	rsph9 si:ch211-117l16.2 zgc:123211	Danio rerio (Zebrafish) (Brachydanio rerio)	277	GO:0001535; GO:0003341; GO:0005929; GO:0005930; GO:0031514; GO:0035082; GO:0036126; GO:0044458; GO:0060091; GO:0060271; GO:0060294; GO:0062177; GO:0097729; GO:1904158
g16779	531.3332759	1.934027553	0.557967181	3.466203065	0.000527864	0.002593796	12026	250	97	133	166	197	669	229	253	1544	665	2492	18970	47	417	199	sp	Q4G0X9	CCD40_HUMAN	43.008	851	485	0	1171	3723	278	1128	0	618	Q4G0X9	reviewed	CCD40_HUMAN	Coiled-coil domain-containing protein 40	CCDC40 KIAA1640	Homo sapiens (Human)	1142	GO:0001947; GO:0003341; GO:0003351; GO:0003356; GO:0005576; GO:0005737; GO:0005929; GO:0005930; GO:0030317; GO:0030324; GO:0035082; GO:0035469; GO:0036159; GO:0044458; GO:0060287; GO:0070286; GO:0071907; GO:0071910
g5374	118.7839603	2.147914824	0.643919251	3.335689715	0.000850881	0.00387362	994	29	49	39	15	69	148	35	40	42	36	469	868	14	131	45	sp	Q8VHE6	DYH5_MOUSE	26.685	727	429	21	1	2163	3836	4464	5.75E-59	221	Q8VHE6	reviewed	DYH5_MOUSE	Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (mDNAH5) (Ciliary dynein heavy chain 5)	Dnah5 Dnahc5	Mus musculus (Mouse)	4621	GO:0003341; GO:0003351; GO:0003777; GO:0005524; GO:0005576; GO:0005737; GO:0005858; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0008569; GO:0016887; GO:0021670; GO:0030317; GO:0031514; GO:0036157; GO:0036158; GO:0045505; GO:0051649; GO:0051959; GO:0060294; GO:0097728; GO:0097729
g3247	29.96051096	-2.062986485	0.659500105	-3.128106377	0.001759365	0.007132651	66	44	89	54	76	51	88	55	3	11	0	30	36	0	14	0	sp	Q4G0P3	HYDIN_HUMAN	51.282	39	19	0	199	315	3899	3937	2.89E-06	48.1	Q4G0P3	reviewed	HYDIN_HUMAN	Hydrocephalus-inducing protein homolog	HYDIN HYDIN1 KIAA1864	Homo sapiens (Human)	5121	GO:0002064; GO:0003341; GO:0005930; GO:0021591; GO:0060438; GO:1904158; GO:1990716; GO:1990718
g23981	310.1792869	2.863824534	0.702618948	4.075928411	4.58E-05	0.000326435	32939	60	61	116	70	34	94	66	97	1559	112	1747	41407	50	96	51	sp	Q8BSN3	ODAD3_MOUSE	27.29	513	331	10	13	1512	61	544	2.20E-32	135	Q8BSN3	reviewed	ODAD3_MOUSE	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	ODAD3 Ccdc151	Mus musculus (Mouse)	593	GO:0003341; GO:0005576; GO:0005814; GO:0005929; GO:0005930; GO:0007283; GO:0007368; GO:0007420; GO:0007507; GO:0030317; GO:0035253; GO:0035264; GO:0036064; GO:0036158; GO:0060287; GO:0061371; GO:0090660; GO:0097542; GO:0120228; GO:1902017
g4758	378.5636238	4.069268176	0.827728562	4.916186736	8.82E-07	1.00E-05	3136	62	29	28	34	16	91	45	37	350	83	895	4523	30	162	18	sp	Q8NHU2	CFA61_HUMAN	49.465	467	199	4	1213	2502	377	843	7.33E-137	441	Q8NHU2	reviewed	CFA61_HUMAN	Cilia- and flagella-associated protein 61	CFAP61 C20orf26	Homo sapiens (Human)	1237	GO:0003341; GO:0005930; GO:0031514; GO:0044782; GO:0120316
