gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
1	g21712	15506.8006860189	-0.686001394104519	0.279769093821729	-2.45202707966608	0.0142053971059541	0.04104326062556	16897	26645	32348	20860	32914	28245	21628	26422	10051	7784	7655	8444	8324	2531	22624	6679	sp	P54985	PPIA_BLAGE	73.171	164	44	0	1	492	1	164	2.17e-88	258	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	GO:0003755; GO:0005737; GO:0006457; GO:0043231
2	g21713	931.361342578574	0.765760120416294	0.279988740054853	2.73496755714631	0.00623864245462093	0.0207814457271467	1025	718	596	910	905	905	1269	1044	1602	1167	479	2113	1073	128	584	1016	sp	Q8TDM6	DLG5_HUMAN	34.563	732	353	15	310	2409	158	795	1.74e-107	387	Q8TDM6	reviewed	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919	GO:0001837; GO:0005737; GO:0005886; GO:0005912; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060563; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609; GO:0098978; GO:0099173
3	g21711	12883.0935253533	-0.709970512692711	0.228673239474894	-3.10473807220743	0.00190447593029036	0.00763473087082639	20107	18753	28228	16428	32440	22008	12887	20837	8398	9483	5108	9733	10351	2354	11873	4728	sp	P54985	PPIA_BLAGE	76.829	164	38	0	1	492	1	164	1.88e-90	263	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	GO:0003755; GO:0005737; GO:0006457; GO:0043231
4	g21769	95.2608451733162	3.6958184007692	1.00771829984027	3.66751144774787	0.000244922588350467	0.00136039062124746	7777	18	0	16	16	0	2	18	39	203	17	1200	6407	7	103	7	sp	Q86XQ3	CTSR3_HUMAN	33.609	363	237	3	67	1155	30	388	2.09e-64	214	Q86XQ3	reviewed	CTSR3_HUMAN	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	CATSPER3	Homo sapiens (Human)	398	GO:0001669; GO:0005245; GO:0005783; GO:0005886; GO:0006814; GO:0030317; GO:0031514; GO:0036128; GO:0048240; GO:0051649
5	g15181	7362.04249036577	2.13117880973538	0.606155663157497	3.5158935885115	0.000438276606665117	0.00222160900619904	2050	4021	5267	2735	5754	3349	2310	4159	5948	12920	4942	686	4493	8496	1682	13152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	g15182	848.103634775757	1.44107523921733	0.603474139884921	2.38796519017722	0.0169419463881676	0.047565397521059	357	551	1072	381	1012	514	342	749	329	511	230	729	345	937	185	2259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	g15183	916.675431757199	-0.700558231713056	0.24491415606803	-2.86042359886482	0.00423075479942892	0.0149434418878582	954	1585	1464	886	1703	1881	1635	2359	1007	614	608	1023	634	102	442	269	sp	Q62432	SMAD2_MOUSE	72.163	467	98	4	1	1305	1	467	0	624	Q62432	reviewed	SMAD2_MOUSE	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (mMad2) (SMAD family member 2) (SMAD 2) (Smad2)	Smad2 Madh2 Madr2	Mus musculus (Mouse)	467	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003140; GO:0003180; GO:0003184; GO:0003203; GO:0003677; GO:0003682; GO:0003690; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006355; GO:0007179; GO:0007352; GO:0007369; GO:0007389; GO:0007492; GO:0007507; GO:0008283; GO:0008285; GO:0009653; GO:0009749; GO:0009791; GO:0009880; GO:0009952; GO:0010628; GO:0010629; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030154; GO:0030324; GO:0030325; GO:0030513; GO:0031016; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042802; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0048156; GO:0048340; GO:0048589; GO:0048617; GO:0048701; GO:0060039; GO:0060395; GO:0061629; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0071142; GO:0071144; GO:0071333; GO:0071559; GO:0071895; GO:0097718; GO:0140297
8	g7651	625.045813674949	1.17515444248357	0.338850532449784	3.46806137203791	0.000524227551336494	0.00257724022366272	488	538	365	372	437	714	646	571	449	834	200	837	623	327	539	1166	sp	Q4V920	PACN1_DANRE	44.889	450	228	6	1	1305	1	445	1.07e-134	397	Q4V920	reviewed	PACN1_DANRE	Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1)	pacsin1b pacsin1	Danio rerio (Zebrafish) (Brachydanio rerio)	445	GO:0005543; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0006897; GO:0007010; GO:0007015; GO:0030100; GO:0030659; GO:0032587; GO:0043005; GO:0045202; GO:0048812; GO:0060088; GO:0060271; GO:0097320; GO:1900006
9	g7656	369.553524158447	1.34279754324671	0.359840419468955	3.73164733752917	0.000190231694582979	0.00109975735292238	461	231	229	113	192	546	256	210	369	442	352	476	843	172	156	428	sp	Q9D8N3	TM86A_MOUSE	40.491	163	93	3	10	495	8	167	4.61e-25	100	Q9D8N3	reviewed	TM86A_MOUSE	Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A)	Tmem86a	Mus musculus (Mouse)	241	GO:0005789; GO:0006629; GO:0016020; GO:0016787; GO:0047408
10	g15189	813.34216092778	0.971053951949848	0.273032225562707	3.55655435891698	0.000375750759031123	0.00195246421118789	730	537	667	729	905	717	709	877	657	1128	526	1046	902	356	465	1233	sp	Q5ZLW3	DYM_CHICK	50.142	704	310	12	1	2094	1	669	0	632	Q5ZLW3	reviewed	DYM_CHICK	Dymeclin	DYM RCJMB04_4k4	Gallus gallus (Chicken)	669	GO:0005794; GO:0007030
