transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_accession_ID	gene	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
1	g8558.t1	1425.59111801166	1.20403997357081	0.256864959569766	4.6874434550649	2.76639100629131e-06	0.00215601449466319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	g10892.t1	14.1429529188142	6.82585145150417	1.80421626974129	3.783277850877	0.000154776468629268	0.0361038156639371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	g12205.t1	126.18730286596	2.23786400905132	0.567700971641498	3.94197671105015	8.08128249822089e-05	0.0229009265650959	sp	B2RQR8	ECE2_MOUSE	48.454	679	341	6	361	2391	92	763	0	723
4	g3730.t1	583.916726997189	-0.613817775854036	0.121616780218389	-5.0471470692761	4.48456142715654e-07	0.000513983499098341	sp	Q9D8T7	SLIRP_MOUSE	48.81	84	43	0	40	291	22	105	4.98e-24	91.7
5	g5374.t2	31.0874373169495	8.06490022298491	1.69248612788964	4.76512042851483	1.88740886230918e-06	0.00159888149014052	sp	Q8VHE6	DYH5_MOUSE	27.083	720	428	20	1	2142	3836	4464	4.02e-61	228
6	g17510.t1	25.5922295122051	5.15327163606851	1.3855195245225	3.71937857594935	0.000199713527363111	0.0436427318154623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	g14914.t3	24.9123994021687	7.82909880812619	1.67903047809098	4.66286878665103	3.11831589158942e-06	0.00225122811741143	sp	Q91579	CEL3A_XENLA	53.831	522	178	11	127	1683	1	462	8.48e-172	497
8	g1748.t1	670.129384055745	-1.62924241481054	0.381834022314758	-4.26688644697957	1.98219987555357e-05	0.00919551961316326	sp	Q06806	TIE1_MOUSE	46.333	300	148	4	2776	3648	832	1127	4.91e-77	281
9	g1748.t1	670.129384055745	-1.62924241481054	0.381834022314758	-4.26688644697957	1.98219987555357e-05	0.00919551961316326	sp	Q06806	TIE1_MOUSE	31.387	274	153	12	316	1107	96	344	1.51e-31	138
10	g8977.t1	91.222272485061	4.62671743307095	1.05992429581451	4.36513952113485	1.27041645163854e-05	0.00728023357168389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	g11899.t1	731.451457515778	1.85458138361551	0.431256623375011	4.30041252259866	1.70480458454276e-05	0.00851702885262336	sp	Q8VI93	OAS3_MOUSE	25.963	701	425	24	4	1965	452	1105	4.65e-43	171
12	g23101.t1	59.2841981712825	-2.24877488721791	0.551581411601843	-4.07695915764684	4.56285036724396e-05	0.0173707951316209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	g11893.t1	55.2382072352368	7.01557528778513	1.27606954222754	5.49780012423033	3.84558454120096e-08	6.24394743339663e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	g23103.t1	293.657889574639	-2.00292184000186	0.5042269661085	-3.97226244256613	7.11932211237739e-05	0.0218540593425334	sp	P22105	TENX_HUMAN	32.897	687	322	40	73	1977	148	747	1.22e-30	133
15	g623.t1	201.07548557038	-2.35941080627191	0.484525321780308	-4.86953044600981	1.11863747607529e-06	0.00107490015723614	sp	O00602	FCN1_HUMAN	57.343	143	60	1	88	513	184	326	1.64e-51	170
