gene_id,uniprot_accession.x,gene_name.x,Entry.Name.x,Protein.names.x,Gene.Names.x,Gene.Ontology.biological.process.x,Gene.Ontology.IDs.x,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203
g20837,P09215,KPCD_RAT,KPCD_RAT,Protein kinase C delta type (EC 2.7.11.13) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],Prkcd Pkcd,apoptotic process [GO:0006915]; B cell proliferation [GO:0042100]; cell chemotaxis [GO:0060326]; cellular response to angiotensin [GO:1904385]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hydroperoxide [GO:0071447]; cellular response to insulin stimulus [GO:0032869]; cellular response to oxidative stress [GO:0034599]; cellular response to UV [GO:0034644]; cellular senescence [GO:0090398]; collagen metabolic process [GO:0032963]; D-aspartate import across plasma membrane [GO:0070779]; defense response to bacterium [GO:0042742]; DNA damage response [GO:0006974]; immunoglobulin mediated immune response [GO:0016064]; intracellular signal transduction [GO:0035556]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of filopodium assembly [GO:0051490]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; negative regulation of platelet aggregation [GO:0090331]; neutrophil activation [GO:0042119]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of glucose import [GO:0046326]; positive regulation of glucosylceramide catabolic process [GO:2000753]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of sphingomyelin catabolic process [GO:2000755]; positive regulation of superoxide anion generation [GO:0032930]; post-translational protein modification [GO:0043687]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of ceramide biosynthetic process [GO:2000303]; regulation of phosphorylation [GO:0042325]; response to amino acid [GO:0043200]; response to ethanol [GO:0045471]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to mechanical stimulus [GO:0009612]; response to organic cyclic compound [GO:0014070]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; termination of signal transduction [GO:0023021],GO:0001666; GO:0004672; GO:0004674; GO:0004697; GO:0004699; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005783; GO:0005829; GO:0005886; GO:0005911; GO:0006915; GO:0006974; GO:0006979; GO:0008047; GO:0009410; GO:0009612; GO:0009749; GO:0014070; GO:0016020; GO:0016064; GO:0016363; GO:0018105; GO:0019899; GO:0019901; GO:0023021; GO:0030837; GO:0032869; GO:0032930; GO:0032956; GO:0032963; GO:0034351; GO:0034599; GO:0034644; GO:0035307; GO:0035556; GO:0036019; GO:0042100; GO:0042119; GO:0042149; GO:0042307; GO:0042325; GO:0042542; GO:0042742; GO:0043065; GO:0043200; GO:0043410; GO:0043560; GO:0043687; GO:0045471; GO:0046326; GO:0046627; GO:0046872; GO:0048471; GO:0050732; GO:0051490; GO:0060326; GO:0070301; GO:0070779; GO:0070976; GO:0071447; GO:0090331; GO:0090398; GO:0099524; GO:0106310; GO:1904385; GO:2000303; GO:2000304; GO:2000753; GO:2000755; GO:2001235,1611,3191,3957,2746,3398,2482,2653,2995,4906,8472,882,2797,2540,1708,1084,4593,3918,2366,2163,2708,2880,4101,1823,1264,1733,1177,1154,1359
g18475,Q0Q028,DFP3_ANTMY,DFP3_ANTMY,Putative defense protein 3 (DFP-3),,defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087],GO:0005576; GO:0042742; GO:0042832; GO:0045087,1514,5145,4198,3077,11493,7859,2787,2587,845,980,568,159,306,142,321,198,281,137,80,279,299,542,1406,3481,1461,2159,503,2583
g14045,Q5XJ85,MYD88_DANRE,MYD88_DANRE,Myeloid differentiation primary response protein MyD88,myd88,activation of innate immune response [GO:0002218]; defense response to bacterium [GO:0042742]; defense response to Gram-positive bacterium [GO:0050830]; inflammatory response to wounding [GO:0090594]; innate immune response [GO:0045087]; monocyte activation [GO:0042117]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; neutrophil activation involved in immune response [GO:0002283]; neutrophil chemotaxis [GO:0030593]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of hematopoietic progenitor cell differentiation [GO:1901534]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; regulation of hematopoietic progenitor cell differentiation [GO:1901532]; response to molecule of bacterial origin [GO:0002237]; Toll signaling pathway [GO:0008063]; toll-like receptor 4 signaling pathway [GO:0034142],GO:0002218; GO:0002237; GO:0002283; GO:0002755; GO:0005737; GO:0005886; GO:0008063; GO:0030593; GO:0034142; GO:0035325; GO:0042117; GO:0042742; GO:0043123; GO:0045087; GO:0050830; GO:0070976; GO:0090594; GO:1901224; GO:1901532; GO:1901534,609,1113,1288,1102,1181,1688,1023,1265,2939,3785,2577,2229,2683,1354,645,2600,1868,853,1048,1055,1543,1993,745,408,451,546,771,579
g2677,P17676,CEBPB_HUMAN,CEBPB_HUMAN,CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5),CEBPB TCF5 PP9092,acute-phase response [GO:0006953]; brown fat cell differentiation [GO:0050873]; cellular response to amino acid stimulus [GO:0071230]; defense response to bacterium [GO:0042742]; embryonic placenta development [GO:0001892]; granuloma formation [GO:0002432]; hepatocyte proliferation [GO:0072574]; immune response [GO:0006955]; inflammatory response [GO:0006954]; integrated stress response signaling [GO:0140467]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; liver regeneration [GO:0097421]; mammary gland epithelial cell differentiation [GO:0060644]; mammary gland epithelial cell proliferation [GO:0033598]; myeloid cell development [GO:0061515]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron differentiation [GO:0030182]; ovarian follicle development [GO:0001541]; positive regulation of biomineral tissue development [GO:0070169]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of sodium-dependent phosphate transport [GO:2000120]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell differentiation [GO:0045595]; regulation of dendritic cell differentiation [GO:2001198]; regulation of DNA-templated transcription [GO:0006355]; regulation of interleukin-6 production [GO:0032675]; regulation of odontoblast differentiation [GO:1901329]; regulation of osteoclast differentiation [GO:0045670]; regulation of transcription by RNA polymerase II [GO:0006357]; response to endoplasmic reticulum stress [GO:0034976]; response to lipopolysaccharide [GO:0032496]; T-helper 1 cell activation [GO:0035711]; transcription by RNA polymerase II [GO:0006366],GO:0000122; GO:0000779; GO:0000785; GO:0000976; GO:0000977; GO:0000978; GO:0000979; GO:0000981; GO:0001227; GO:0001228; GO:0001541; GO:0001892; GO:0002432; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0006357; GO:0006366; GO:0006953; GO:0006954; GO:0006955; GO:0016363; GO:0019900; GO:0030182; GO:0031490; GO:0032496; GO:0032675; GO:0032753; GO:0033598; GO:0034976; GO:0035035; GO:0035711; GO:0036488; GO:0042130; GO:0042742; GO:0042803; GO:0042826; GO:0043524; GO:0044389; GO:0045595; GO:0045600; GO:0045669; GO:0045670; GO:0045893; GO:0045944; GO:0050729; GO:0050873; GO:0060644; GO:0061515; GO:0070059; GO:0070169; GO:0071230; GO:0072574; GO:0090575; GO:0097421; GO:0120162; GO:0140467; GO:1901329; GO:1990647; GO:1990837; GO:2000120; GO:2001198,15719,21307,21016,23312,31732,21951,22689,21669,47078,54289,38333,38171,37386,72720,21913,108168,43385,34816,26545,55295,72214,47128,19421,15331,13491,11370,16772,13679
g16346,Q8R481,PERL_MESAU,PERL_MESAU,Lactoperoxidase (LPO) (EC 1.11.1.7) (Lacrimal gland peroxidase),LPO,defense response to bacterium [GO:0042742]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; response to oxidative stress [GO:0006979],GO:0001580; GO:0004601; GO:0005615; GO:0005737; GO:0006979; GO:0016323; GO:0020037; GO:0036393; GO:0042742; GO:0046872; GO:0140825,31,32,0,0,0,3,21,34,67,37,171,236,181,44,235,263,146,554,93,5,5,51,43,17,0,30,0,44
g16630,B9EKI3,TMF1_MOUSE,TMF1_MOUSE,TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa),Tmf1 Ara160 Gm153,acrosome assembly [GO:0001675]; androgen receptor signaling pathway [GO:0030521]; apoptotic process [GO:0006915]; cellular response to organic cyclic compound [GO:0071407]; defense response to bacterium [GO:0042742]; epithelial cell apoptotic process [GO:1904019]; flagellated sperm motility [GO:0030317]; Leydig cell differentiation [GO:0033327]; luteinizing hormone secretion [GO:0032275]; male gonad development [GO:0008584]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of gene expression [GO:0010629]; positive regulation of cytokine production [GO:0001819]; positive regulation of testosterone secretion [GO:2000845]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of proteasomal protein catabolic process [GO:0061136]; spermatid development [GO:0007286]; spermatid nucleus differentiation [GO:0007289],GO:0000139; GO:0001675; GO:0001819; GO:0003677; GO:0005634; GO:0005783; GO:0005794; GO:0006915; GO:0007286; GO:0007289; GO:0008584; GO:0010629; GO:0030317; GO:0030374; GO:0030521; GO:0032275; GO:0033327; GO:0042742; GO:0045944; GO:0050681; GO:0061136; GO:0071407; GO:1904019; GO:1904036; GO:2000845,1549,1872,2472,2244,2754,2634,2570,2638,917,779,921,1495,1132,173,1007,571,684,881,731,374,258,398,1549,813,854,1193,1110,1058
g580,Q9V9J3,SRC42_DROME,SRC42_DROME,Tyrosine-protein kinase Src42A (EC 2.7.10.2) (Tyrosine-protein kinase Src41) (Dsrc41),Src42A Src41 TK5 CG44128,"actin filament bundle assembly [GO:0051017]; adherens junction organization [GO:0034332]; apoptotic cell clearance [GO:0043277]; axon guidance [GO:0007411]; cell differentiation [GO:0030154]; cell migration [GO:0016477]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; compound eye development [GO:0048749]; defense response to bacterium [GO:0042742]; dorsal closure [GO:0007391]; dorsal closure, spreading of leading edge cells [GO:0007395]; epithelial cell-cell adhesion [GO:0090136]; imaginal disc fusion, thorax closure [GO:0046529]; imaginal disc-derived wing morphogenesis [GO:0007476]; innate immune response [GO:0045087]; intestinal stem cell homeostasis [GO:0036335]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of synaptic assembly at neuromuscular junction [GO:0045886]; open tracheal system development [GO:0007424]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of inflammatory response to wounding [GO:0106016]; positive regulation of sevenless signaling pathway [GO:0045874]; regulation of synaptic plasticity [GO:0048167]; salivary gland morphogenesis [GO:0007435]",GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0007169; GO:0007391; GO:0007395; GO:0007411; GO:0007424; GO:0007435; GO:0007476; GO:0016477; GO:0030154; GO:0034332; GO:0036335; GO:0042059; GO:0042742; GO:0043277; GO:0045087; GO:0045742; GO:0045874; GO:0045886; GO:0046529; GO:0048167; GO:0048749; GO:0051017; GO:0070374; GO:0090136; GO:0106016,358,492,546,647,589,604,570,540,1144,1505,375,1485,1121,731,777,1801,1330,1215,881,281,1661,1009,801,330,359,318,227,471
g12365,Q9SAL0,RGLG4_ARATH,RGLG4_ARATH,E3 ubiquitin-protein ligase RGLG4 (EC 2.3.2.27) (RING domain ligase 4),RGLG4 At1g79380 T8K14.20,defense response to bacterium [GO:0042742]; jasmonic acid mediated signaling pathway [GO:0009867]; response to wounding [GO:0009611],GO:0004842; GO:0005634; GO:0005737; GO:0005739; GO:0009611; GO:0009867; GO:0042742; GO:0046872,261,379,452,336,442,528,540,646,523,913,824,993,837,653,367,832,616,935,430,374,327,532,164,213,139,129,158,96
g12643,Q5RAZ4,DHX15_PONAB,DHX15_PONAB,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (DEAH box protein 15),DHX15,antiviral innate immune response [GO:0140374]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; mRNA processing [GO:0006397]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; RNA splicing [GO:0008380],GO:0003724; GO:0003725; GO:0005524; GO:0005689; GO:0005730; GO:0006397; GO:0008380; GO:0016607; GO:0016887; GO:0042742; GO:0043123; GO:0051607; GO:0071008; GO:0140374,3095,2918,2673,2208,3323,2882,3708,4028,2746,2475,3733,5929,3055,895,1984,2542,1692,1566,1144,1795,1114,1067,1419,1240,1257,1036,1249,1069
g3209,A9JTG5,HOIL1_DANRE,HOIL1_DANRE,RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (Heme-oxidized IRP2 ubiquitin ligase 1 homolog) (HOIL-1) (Heme-oxidized IRP2 ubiquitin transferase 1 homolog),rbck1 zgc:175152,defense response to bacterium [GO:0042742]; embryonic cranial skeleton morphogenesis [GO:0048701]; otic vesicle morphogenesis [GO:0071600]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039],GO:0004842; GO:0042742; GO:0043123; GO:0043130; GO:0043161; GO:0046872; GO:0048701; GO:0071600; GO:0071797; GO:0097039,1241,2061,2394,1314,1971,2090,2088,2448,1911,1398,1689,2513,1733,944,828,3155,2147,1319,1220,1265,1190,1758,1924,1285,1228,1299,1123,1107
