"","uniprot_accession"
"1","Q94A76"
"2","Q90WJ8"
"3","Q6AY85"
"4","Q8C163"
"5","Q9D1J3"
"6","Q4PJW3"
"7","P48449"
"8","Q99996"
"9","Q70FJ1"
"10","Q6PB06"
"11","Q6PB06"
"12","Q6PB06"
"13","A2RU49"
"14","P59110"
"15","Q6ZWH5"
"16","Q6ZWH5"
"17","Q07537"
"18","Q07537"
"19","Q96DM1"
"20","Q8IVF7"
"21","Q58L90"
"22","Q9H4F1"
"23","Q9NS86"
"24","Q7ZSX3"
"25","P83038"
"26","P83038"
"27","P83038"
"28","P83038"
"29","P83038"
"30","Q8BHN5"
"31","Q5ZHP8"
"32","Q5ZHP8"
"33","Q9H0J9"
"34","Q642F4"
"35","O35760"
"36","Q66H85"
"37","Q8TCD6"
"38","Q9H4F1"
"39","E1BJL9"
"40","E1BJL9"
"41","Q0VFE3"
"42","Q80U56"
"43","Q80U56"
"44","A5GFY8"
"45","P24668"
"46","Q9H4F1"
"47","O75533"
"48","Q99NB9"
"49","Q3THF9"
"50","Q9BVH7"
"51","Q53SF7"
"52","Q5C9Z4"
"53","Q1RMT1"
"54","Q1RMT1"
"55","P0C7P0"
"56","Q9JLI7"
"57","O62026"
"58","O62026"
"59","P18293"
"60","Q9QYJ1"
"61","Q9BVH7"
"62","Q9H8E8"
"63","P23258"
"64","Q4G0U5"
"65","Q4G0U5"
"66","Q4G0U5"
"67","B0BN95"
"68","Q9Y238"
"69","Q9H8E8"
"70","Q80Z37"
"71","Q61263"
"72","Q8TDX9"
"73","B8UU59"
"74","Q9ASR4"
"75","P08635"
"76","Q99558"
"77","P48969"
"78","Q05AM5"
"79","Q9ASR4"
"80","Q05AM5"
"81","Q99728"
"82","F8WLE0"
"83","D3YXS5"
"84","O75400"
"85","O75400"
"86","Q6IMZ0"
"87","O75400"
"88","Q8BH07"
"89","P79701"
"90","Q8AXB3"
"91","Q7RTY1"
"92","Q92172"
"93","Q9EST2"
"94","Q01984"
"95","Q8C159"
"96","Q8C159"
"97","P53396"
"98","Q91V92"
"99","Q32PF2"
"100","Q91V92"
"101","Q8QGH2"
"102","A9JRX0"
"103","O88377"
"104","Q9BQ61"
"105","Q6BD04"
"106","P28798"
"107","Q8N8K9"
"108","Q5R9F4"
"109","Q864U1"
"110","Q6KB59"
"111","Q02745"
"112","Q66KY0"
"113","Q92184"
"114","Q92184"
"115","P70277"
"116","Q9UJ37"
"117","P70277"
"118","A2A4P0"
"119","A2A4P0"
"120","Q14562"
"121","Q0MQB8"
"122","Q6JEL2"
"123","P61291"
"124","Q9D9X6"
"125","Q6DFV3"
"126","Q5PQL2"
"127","Q9J4Z5"
"128","F7C1E2"
"129","Q5ZKI4"
"130","Q9MYM7"
"131","Q6P9U3"
"132","Q9UJ83"
"133","Q9UJ83"
"134","Q96EV2"
"135","Q6DFQ7"
"136","Q7SIC1"
"137","Q5RCZ2"
"138","Q6P1H1"
"139","Q9VIM5"
"140","O60239"
"141","P51400"
"142","Q7ZYA5"
"143","Q9BSH4"
"144","Q02763"
"145","Q9DER7"
"146","P98069"
"147","P98069"
"148","P98069"
"149","P35353"
"150","O42603"
"151","Q6NX27"
"152","Q5UQP2"
"153","Q6BD04"
"154","Q6BD04"
"155","Q02763"
"156","Q7TM99"
"157","Q6BD04"
"158","Q924U1"
"159","O05408"
"160","Q0VD31"
"161","F6QEU4"
"162","Q9MYM7"
"163","Q8BJ25"
"164","P22045"
"165","D4A734"
"166","B2GUE2"
"167","Q7K237"
"168","Q2PC93"
"169","Q2PC93"
"170","A0A125QXJ1"
"171","Q9I927"
"172","E7F9L8"
"173","Q00560"
"174","P61810"
"175","Q28199"
"176","F6P3G4"
"177","Q99LX5"
"178","Q2PC93"
"179","Q28295"
"180","P56716"
"181","Q5H8C1"
"182","P17124"
"183","Q4R6W9"
"184","Q05A80"
"185","Q8R5C8"
"186","Q6QI06"
"187","Q95V11"
"188","Q5F450"
"189","Q9CZ28"
"190","P40144"
"191","P48758"
"192","B2GV72"
"193","P42325"
"194","Q9H3L0"
"195","Q9H3L0"
"196","Q6BD04"
"197","Q91616"
"198","Q5U4E6"
"199","Q5U4E6"
"200","Q13439"
"201","Q13439"
"202","A6P320"
"203","Q91175"
"204","Q6QI06"
"205","O42574"
"206","P91657"
"207","Q708S5"
"208","Q21974"
"209","Q6X0I2"
"210","D3Z8N4"
"211","P49442"
"212","Q8HZY8"
"213","P05630"
"214","Q9JLC8"
"215","Q9JLC8"
"216","Q9JLC8"
"217","B0UYT5"
"218","P98158"
"219","P98165"
"220","Q9NZR2"
"221","Q5R5M8"
"222","P99028"
"223","Q6NYL3"
"224","O54749"
"225","Q8R205"
"226","Q96K80"
"227","Q98989"
"228","Q98989"
"229","Q91453"
"230","Q12834"
"231","Q99715"
"232","O35701"
"233","Q99715"
"234","Q641F3"
"235","Q99715"
"236","Q21281"
"237","Q96PC2"
"238","Q45T69"
"239","F1QVR8"
"240","A0A0R4IXF6"
"241","Q96SL4"
"242","Q5ZI03"
"243","O42596"
"244","P25107"
"245","Q91085"
"246","Q0VA42"
"247","P51049"
"248","P51049"
"249","Q9P232"
"250","Q8C172"
"251","P61354"
"252","Q7T3H1"
"253","Q7T3H1"
"254","Q7T3H1"
"255","P35978"
"256","P58557"
"257","Q1MTN8"
"258","P57760"
"259","Q805E5"
"260","Q9QYF1"
"261","Q7K237"
