gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	avg_control	avg_exposed	higher_control	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g20093	39706.19141	0.974428719	0.232382014	4.193219184	2.75E-05	0.000209748	46552	40587	39456	23523	32853	36990	32557	35797	34962	36957	47422	39073	47482	20489	43601	30779	36039.375	37595.625	false	sp	Q02543	RL18A_HUMAN	70.455	176	51	1	1	525	1	176	5.35E-86	253	Q02543	reviewed	RL18A_HUMAN	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	RPL18A	Homo sapiens (Human)	176	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0005829; GO:0006412; GO:0016020; GO:0022625; GO:0022626
g17003	1370.089753	0.695598696	0.207451316	3.353069566	0.000799206	0.003679252	1229	1441	1612	1201	1698	1171	1235	1667	1032	1106	1199	1610	1575	716	1316	1199	1406.75	1219.125	true	sp	P55039	DRG2_HUMAN	78.797	349	74	0	46	1092	16	364	0	599	P55039	reviewed	DRG2_HUMAN	Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-)	DRG2	Homo sapiens (Human)	364	GO:0002181; GO:0003723; GO:0003924; GO:0005525; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0007165; GO:0016020; GO:0043231; GO:0046872
g11895	340.9731818	-0.774467364	0.281371172	-2.752475883	0.00591465	0.019822491	634	534	561	474	555	457	691	755	233	68	211	397	330	22	372	147	582.625	222.5	true	sp	Q8CBC7	TRM7_MOUSE	72.945	292	75	1	1	876	1	288	2.13E-143	410	Q8CBC7	reviewed	TRM7_MOUSE	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog) (Protein ftsJ homolog 1)	Ftsj1	Mus musculus (Mouse)	324	GO:0002130; GO:0002181; GO:0005634; GO:0005737; GO:0005829; GO:0008175; GO:0016423; GO:0022008; GO:0030488; GO:0106339; GO:0106340; GO:1904047
g509	18128.21652	0.84883477	0.188273635	4.508516384	6.53E-06	5.99E-05	25540	18609	18100	11004	16816	15761	14734	18918	16932	16494	20767	21471	24306	6627	21552	14207	17435.25	17794.5	false	sp	P63221	RS21_PIG	73.494	83	22	0	1	249	1	83	1.54E-40	131	P63221	reviewed	RS21_PIG	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21	Sus scrofa (Pig)	83	GO:0000447; GO:0000461; GO:0002181; GO:0003735; GO:0022627; GO:0043022; GO:0098556
g16639	28574.38615	0.481878005	0.202854669	2.375483927	0.017525956	0.048876303	31198	39781	32952	25401	24670	31451	38624	32486	29268	19154	25381	30376	25987	11688	37856	18366	32070.375	24759.5	true	sp	P27659	RL3_MOUSE	75.41	305	75	0	1	915	99	403	9.54E-162	459	P27659	reviewed	RL3_MOUSE	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (J1 protein)	Rpl3	Mus musculus (Mouse)	403	GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0008097; GO:0022625; GO:0045202; GO:0071353
g6297	43644.00731	0.84504998	0.187563731	4.505401857	6.62E-06	6.07E-05	48000	47666	45458	29925	38179	42061	37131	48509	45912	35988	46552	44752	47192	19085	51345	38522	42116.125	41168.5	true	sp	Q8JGR4	RL24_DANRE	63.057	157	55	1	1	462	1	157	6.33E-50	160	Q8JGR4	reviewed	RL24_DANRE	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	rpl24	Danio rerio (Zebrafish) (Brachydanio rerio)	157	GO:0002181; GO:0003729; GO:0003735; GO:0022625; GO:0043009
g9064	24522.7252	0.908584984	0.241525335	3.761862013	0.000168653	0.0009935	27705	26956	23957	15731	19923	23091	20849	25713	19058	21031	33389	21571	30673	11073	31104	17456	22990.625	23169.375	false	sp	Q8UW19	RL36_HYDHA	65.278	72	21	1	1	204	1	72	1.90E-14	66.6	Q8UW19	reviewed	RL36_HYDHA	Large ribosomal subunit protein eL36 (60S ribosomal protein L36)	RPL36	Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii)	105	GO:0002181; GO:0003735; GO:0022625
g13448	22065.17167	0.920773291	0.216767139	4.24775311	2.16E-05	0.000170623	28515	24028	22203	12666	17957	18963	18072	22244	21205	18422	29301	24262	27321	8508	29545	15311	20581	21734.375	false	sp	G1SQH0	RL26_RABIT	78.014	141	30	1	1	423	1	140	2.49E-43	142	G1SQH0	reviewed	RL26_RABIT	Large ribosomal subunit protein uL24 (60S ribosomal protein L26)	RPL26	Oryctolagus cuniculus (Rabbit)	145	GO:0002181; GO:0003735; GO:0005654; GO:0005730; GO:0006364; GO:0006977; GO:0022625; GO:0042273; GO:0045202; GO:0045727; GO:0048027; GO:0071480; GO:1902164; GO:1902167; GO:1904803
g4288	20351.76376	1.001678872	0.272905047	3.670429997	0.000242143	0.001348841	19036	21225	21850	11143	18706	18084	17004	19822	15813	14336	22945	19322	21242	13296	21340	18937	18358.75	18403.875	false	sp	P62861	RS30_HUMAN	59.398	133	54	0	1	399	1	133	9.18E-47	150	P62861	reviewed	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	Homo sapiens (Human)	133	GO:0002181; GO:0002227; GO:0003723; GO:0003735; GO:0005615; GO:0005654; GO:0005737; GO:0005829; GO:0006412; GO:0015935; GO:0019731; GO:0022626; GO:0022627; GO:0050830; GO:0061844
g21139	6110.960924	0.922948207	0.226862587	4.068313863	4.74E-05	0.000336001	6100	6907	6575	3626	5442	6058	4928	5958	5331	4429	7454	6412	6759	2689	9565	4558	5699.25	5899.625	false	sp	A0A1D8PF57	RL29_CANAL	71.739	46	13	0	1	138	1	46	6.02E-17	71.6	A0A1D8PF57	reviewed	RL29_CANAL	Large ribosomal subunit protein eL29 (60S ribosomal protein L29)	RPL29 orf19.2310.1 CAALFM_C111040WA	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	63	GO:0002181; GO:0003735; GO:0022625
