Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCA_032158295.1		Primary Assembly	1	14385136	39	CM063243.1	Chromosome			assembled-molecule	36870502		
GCA_032158295.1		Primary Assembly	2	11734225	39.5	CM063244.1	Chromosome			assembled-molecule	29871463		
GCA_032158295.1		Primary Assembly	3	10867627	39	CM063245.1	Chromosome			assembled-molecule	27710299		
GCA_032158295.1		Primary Assembly	4	9647501	39	CM063246.1	Chromosome			assembled-molecule	24679292		
GCA_032158295.1		Primary Assembly	5	9168210	39	CM063247.1	Chromosome			assembled-molecule	23411275		
GCA_032158295.1		Primary Assembly	6	9087099	39	CM063248.1	Chromosome			assembled-molecule	23232344		
GCA_032158295.1		Primary Assembly	7	8859168	39	CM063249.1	Chromosome			assembled-molecule	22662310		
GCA_032158295.1		Primary Assembly	8	8837438	39	CM063250.1	Chromosome			assembled-molecule	22612688		
GCA_032158295.1		Primary Assembly	9	8610041	39	CM063251.1	Chromosome			assembled-molecule	21978984		
GCA_032158295.1		Primary Assembly	10	8541627	39.5	CM063252.1	Chromosome			assembled-molecule	21765409		
GCA_032158295.1		Primary Assembly	11	8425582	39.5	CM063253.1	Chromosome			assembled-molecule	21441704		
GCA_032158295.1		Primary Assembly	12	8104100	39.5	CM063254.1	Chromosome			assembled-molecule	20620482		
GCA_032158295.1		Primary Assembly	13	7990832	39	CM063255.1	Chromosome			assembled-molecule	20401637		
GCA_032158295.1		Primary Assembly	14	7446853	39	CM063256.1	Chromosome			assembled-molecule	19021878		
GCA_032158295.1		Primary Assembly	15	7190136	39.5	CM063257.1	Chromosome			assembled-molecule	18291573		
GCA_032158295.1		Primary Assembly	16	6684312	39.5	CM063258.1	Chromosome			assembled-molecule	17015051		
GCA_032158295.1		Primary Assembly	17	6511302	39.5	CM063259.1	Chromosome			assembled-molecule	16579126		
GCA_032158295.1		Primary Assembly	18	5905024	39.5	CM063260.1	Chromosome			assembled-molecule	14953517		
GCA_032158295.1		Primary Assembly	19	5705978	39.5	CM063261.1	Chromosome			assembled-molecule	14440156		
GCA_032158295.1		Primary Assembly	20	5539968	39.5	CM063262.1	Chromosome			assembled-molecule	14116674		
GCA_032158295.1		Primary Assembly	21	5222463	39.5	CM063263.1	Chromosome			assembled-molecule	13263187		
GCA_032158295.1		Primary Assembly	22	4942566	39	CM063264.1	Chromosome			assembled-molecule	12654229		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000023.1	Chromosome			unplaced-scaffold	320703		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000024.1	Chromosome			unplaced-scaffold	264736		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000025.1	Chromosome			unplaced-scaffold	237230		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000026.1	Chromosome			unplaced-scaffold	222599		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000027.1	Chromosome			unplaced-scaffold	213321		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000028.1	Chromosome			unplaced-scaffold	191229		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000029.1	Chromosome			unplaced-scaffold	189023		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000030.1	Chromosome			unplaced-scaffold	185150		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000031.1	Chromosome			unplaced-scaffold	171949		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000032.1	Chromosome			unplaced-scaffold	160464		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000033.1	Chromosome			unplaced-scaffold	146694		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000034.1	Chromosome			unplaced-scaffold	133522		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000035.1	Chromosome			unplaced-scaffold	132021		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000036.1	Chromosome			unplaced-scaffold	131353		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000037.1	Chromosome			unplaced-scaffold	128418		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000038.1	Chromosome			unplaced-scaffold	124759		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000039.1	Chromosome			unplaced-scaffold	120825		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000040.1	Chromosome			unplaced-scaffold	115317		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000041.1	Chromosome			unplaced-scaffold	114370		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000042.1	Chromosome			unplaced-scaffold	114321		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000043.1	Chromosome			unplaced-scaffold	112404		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000044.1	Chromosome			unplaced-scaffold	111345		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000045.1	Chromosome			unplaced-scaffold	106239		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000046.1	Chromosome			unplaced-scaffold	100756		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000047.1	Chromosome			unplaced-scaffold	95357		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000048.1	Chromosome			unplaced-scaffold	94899		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000049.1	Chromosome			unplaced-scaffold	94429		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000050.1	Chromosome			unplaced-scaffold	94155		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000051.1	Chromosome			unplaced-scaffold	93409		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000052.1	Chromosome			unplaced-scaffold	90832		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000053.1	Chromosome			unplaced-scaffold	90666		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000054.1	Chromosome			unplaced-scaffold	89964		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000055.1	Chromosome			unplaced-scaffold	89440		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000056.1	Chromosome			unplaced-scaffold	88126		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000057.1	Chromosome			unplaced-scaffold	86763		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000058.1	Chromosome			unplaced-scaffold	85973		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000059.1	Chromosome			unplaced-scaffold	85889		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000060.1	Chromosome			unplaced-scaffold	85216		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000061.1	Chromosome			unplaced-scaffold	82657		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000062.1	Chromosome			unplaced-scaffold	82576		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000063.1	Chromosome			unplaced-scaffold	81101		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000064.1	Chromosome			unplaced-scaffold	80743		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000065.1	Chromosome			unplaced-scaffold	77532		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000066.1	Chromosome			unplaced-scaffold	76882		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000067.1	Chromosome			unplaced-scaffold	76828		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000068.1	Chromosome			unplaced-scaffold	76187		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000069.1	Chromosome			unplaced-scaffold	75536		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000070.1	Chromosome			unplaced-scaffold	75139		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000071.1	Chromosome			unplaced-scaffold	75086		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000072.1	Chromosome			unplaced-scaffold	74660		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000073.1	Chromosome			unplaced-scaffold	74105		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000074.1	Chromosome			unplaced-scaffold	73166		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000075.1	Chromosome			unplaced-scaffold	73096		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000076.1	Chromosome			unplaced-scaffold	72734		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000077.1	Chromosome			unplaced-scaffold	71581		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000078.1	Chromosome			unplaced-scaffold	71107		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000079.1	Chromosome			unplaced-scaffold	70718		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000080.1	Chromosome			unplaced-scaffold	66731		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000081.1	Chromosome			unplaced-scaffold	66488		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000082.1	Chromosome			unplaced-scaffold	66286		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000083.1	Chromosome			unplaced-scaffold	66248		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000084.1	Chromosome			unplaced-scaffold	65240		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000085.1	Chromosome			unplaced-scaffold	64627		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000086.1	Chromosome			unplaced-scaffold	64550		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000087.1	Chromosome			unplaced-scaffold	64249		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000088.1	Chromosome			unplaced-scaffold	64096		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000089.1	Chromosome			unplaced-scaffold	63823		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000090.1	Chromosome			unplaced-scaffold	63308		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000091.1	Chromosome			unplaced-scaffold	63266		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000092.1	Chromosome			unplaced-scaffold	62440		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000093.1	Chromosome			unplaced-scaffold	62020		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000094.1	Chromosome			unplaced-scaffold	61462		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000095.1	Chromosome			unplaced-scaffold	61198		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000096.1	Chromosome			unplaced-scaffold	60146		
