target_id	length	eff_length	est_counts	tpm
g3450.t1	300	99.5738	75.5652	44.5967
g3451.t1	324	114.932	26	13.294
g3452.t1	1137	858.221	0	0
g3453.t1	1509	1230.22	4	0.191074
g3454.t1	1638	1359.22	186	8.04172
g3455.t1	726	453.392	96	12.443
g3456.t1	555	296.284	3	0.59503
g3457.t1	6606	6327.22	49	0.455102
g3458.t1	2493	2214.22	9	0.238862
g3459.t1	3207	2928.22	11	0.220757
g3460.t1	1509	1230.22	68	3.24827
g3461.t1	1299	1020.22	77	4.43529
g3462.t1	1536	1257.22	172	8.03975
g3463.t1	1182	903.221	14	0.910877
g3464.t1	666	396.97	138	20.429
g3465.t1	7548	7269.22	219.275	1.77267
g3465.t2	7620	7341.22	0.0165554	0.000132525
g3465.t3	7542	7263.22	0	0
g3465.t4	7590	7311.22	0.854133	0.00686533
g3465.t5	7590	7311.22	0.854133	0.00686533
g3466.t1	810	534.078	12	1.32039
g3467.t1	1989	1710.22	171	5.87584
g3468.t1	915	636.982	133	12.2702
g3469.t1	2460	2181.22	75	2.02063
g3470.t1	2586	2307.22	67	1.70652
g3471.t1	1263	984.221	334	19.9425
g3472.t1	708	436.335	268	36.0945
g3473.t1	1293	1014.22	82	4.75124
g3474.t1	321	112.997	9.07724	4.72077
g3474.t2	318	111.047	43.9228	23.2439
g3475.t1	4482	4203.22	3781	52.8628
g3476.t1	297	97.7112	51	30.6727
g3477.t1	1146	867.221	168	11.3843
g3478.t1	1353	1074.22	53	2.8994
g3479.t1	1326	1047.22	376	21.0997
g3480.t1	843	566.161	71	7.3696
g3481.t1	1995	1716.22	8.08316	0.276779
g3481.t2	1992	1713.22	18.9168	0.648875
g3482.t1	297	97.7112	12	7.2171
g3483.t1	207	48.9867	0	0
g3484.t1	273	83.4507	1	0.7042
g3485.t1	315	109.055	4	2.15547
g3486.t1	381	154.537	0	0
g3487.t1	1566	1287.22	2	0.0913067
g3488.t1	1080	801.221	38	2.78713
g3489.t1	7296	7017.22	78.5301	0.657653
g3489.t2	2292	2013.22	28.4699	0.831038
g3490.t1	1887	1608.22	102	3.72718
g3491.t1	204	47.6213	0	0
g3492.t1	3690	3411.22	155	2.67022
g3493.t1	1209	930.221	10692	675.458
g3494.t1	951	672.596	68	5.94129
g3495.t1	1455	1176.22	235	11.741
g3496.t1	1623	1344.22	44	1.92357
g3497.t1	393	163.35	0	0
g3498.t1	237	63.5004	1	0.925442
g3499.t1	387	158.884	4	1.47947
g3500.t1	366	143.71	0	0
g3501.t1	336	122.885	0	0
