gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.biological.process	Gene.Ontology.IDs
g16982	22.7019889801797	5.44286877933906	1.26892592136529	4.28935108637616	1.79195913983545e-05	0.00987929473280531	24	167	13	0	0	8	14	21	39	0	0	0	sp	G3C7W6	S2611_CAVPO	47.358	492	234	9	61	1509	25	500	3.4e-131	397	G3C7W6	reviewed	S2611_CAVPO	Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11)	Slc26a11	Cavia porcellus (Guinea pig)	605	oxalate transport [GO:0019532]; sulfate transport [GO:0008272]	GO:0005254; GO:0005654; GO:0005765; GO:0005783; GO:0005794; GO:0005886; GO:0008271; GO:0008272; GO:0016323; GO:0016324; GO:0019532; GO:0140900
g535	253.638074523758	4.03466486005345	1.027429780051	3.92694949902385	8.60300355975943e-05	0.0261679635864269	676	1776	445	3	3	160	4	5	6	0	0	0	sp	Q8TAD2	IL17D_HUMAN	36.471	85	54	0	244	498	85	169	4.94e-10	59.3	Q8TAD2	reviewed	IL17D_HUMAN	Interleukin-17D (IL-17D) (Interleukin-27) (IL-27)	IL17D UNQ3096/PRO21175	Homo sapiens (Human)	202	inflammatory response [GO:0006954]; negative regulation of hemopoiesis [GO:1903707]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of granulocyte macrophage colony-stimulating factor production [GO:0032725]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]	GO:0005125; GO:0005615; GO:0006954; GO:0032725; GO:0032755; GO:0032757; GO:0042803; GO:0048018; GO:1900017; GO:1903707
g13468	209.213439373732	5.37796409336257	1.0939427793813	4.9161292480071	8.82721309784331e-07	0.0012782993747892	386	1963	104	3	0	13	18	36	48	0	0	7	sp	P19630	NEU2_ANSAN	40.741	81	45	2	586	828	9	86	1.55e-06	50.1	P19630	reviewed	NEU2_ANSAN	Neurophysin 2 (MSEL-neurophysin)		Anser anser anser (Western greylag goose)	131		GO:0005185; GO:0005576
g1823	43.6163526479419	4.97595395746843	1.29926854405124	3.82981176620572	0.000128241316982288	0.0341751183089055	378	88	44	0	0	8	25	21	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15793	102.357223222121	3.04769853850776	0.697660543070425	4.36845478618404	1.25128715010039e-05	0.00761214065588655	472	205	247	14	13	10	204	91	42	30	0	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22586	57.0343271129947	4.18791033934127	0.787771724394894	5.3161470634886	1.05987499420301e-07	0.000207759051641439	355	228	53	3	11	21	18	10	9	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21696	171.257787343337	-1.20261129791549	0.304509278916517	-3.94934204367937	7.83663037594245e-05	0.0242550584372591	104	107	113	229	219	253	107	157	81	152	167	173	sp	B0BNF9	HAOX1_RAT	47.802	364	176	6	16	1080	6	364	7.74e-107	321	B0BNF9	reviewed	HAOX1_RAT	2-Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GOX) (Glyoxylate oxidase) (EC 1.2.3.5)	Hao1	Rattus norvegicus (Rat)	370	fatty acid alpha-oxidation [GO:0001561]; glycine biosynthetic process [GO:0006545]; glycolate catabolic process [GO:0046296]; response to oxidative stress [GO:0006979]	GO:0001561; GO:0003973; GO:0005777; GO:0005782; GO:0006545; GO:0006979; GO:0010181; GO:0046296; GO:0047969
g17719	257.808406307487	2.24648269654317	0.540962725764269	4.1527495140619	3.28504257972843e-05	0.0148601849209151	938	239	315	30	41	129	705	602	233	81	27	182	sp	Q8AVH7	EGFL6_XENLA	47.177	248	124	5	106	834	35	280	1.73e-61	219	Q8AVH7	reviewed	EGFL6_XENLA	Epidermal growth factor-like protein 6 (EGF-like protein 6)	egfl6	Xenopus laevis (African clawed frog)	544	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]	GO:0005509; GO:0005576; GO:0005604; GO:0007155; GO:0016020; GO:0030154
g23108	2272.43899651403	-1.84112892675309	0.43936496540468	-4.19043180891155	2.7842408307124e-05	0.0137487420029942	1267	489	901	1032	3267	2691	2214	1922	552	3887	4454	3101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23104	1419.44142174146	-1.98646408313956	0.484467569608862	-4.10030352443064	4.12608613406029e-05	0.0177542467261199	640	364	628	448	2171	1723	1390	1000	214	3050	2197	2277	sp	Q29116	TENA_PIG	30.396	556	293	28	67	1611	185	687	4.63e-27	125	Q29116	reviewed	TENA_PIG	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (P230) (Tenascin-C) (TN-C)	TNC HXB	Sus scrofa (Pig)	1746	cell adhesion [GO:0007155]; regulation of cell adhesion [GO:0030155]	GO:0005178; GO:0005615; GO:0007155; GO:0030155; GO:0098966
