gene_id,uniprot_accession.x,gene_name.x,Entry.Name.x,Protein.names.x,Gene.Names.x,Gene.Ontology.biological.process.x,Gene.Ontology.IDs.x,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203
g19475,Q9H3F6,BACD3_HUMAN,BACD3_HUMAN,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10),KCTD10 ULR061 MSTP028,negative regulation of Rho protein signal transduction [GO:0035024]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein homooligomerization [GO:0051260]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260,499,525,567,480,838,747,407,516,951,1058,669,1430,1458,2823,628,4910,1558,1176,670,1012,1250,622,381,302,415,293,310,332
g14478,P0C2W1,FBSP1_HUMAN,FBSP1_HUMAN,F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45),FBXO45 FBX45,anterior commissure morphogenesis [GO:0021960]; cerebral cortex radially oriented cell migration [GO:0021799]; cerebral cortex tangential migration [GO:0021800]; corticospinal tract morphogenesis [GO:0021957]; DNA damage response [GO:0006974]; neuron migration [GO:0001764]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of synaptic vesicle exocytosis [GO:2000300]; synapse assembly involved in innervation [GO:0060386]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300,138,167,170,307,296,169,165,216,68,35,5,51,47,4,64,0,21,17,11,21,10,15,102,125,144,120,137,100
g9753,Q6I6G8,HECW2_MOUSE,HECW2_MOUSE,"E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)",Hecw2 Kiaa1301 Nedl2,protein ubiquitination [GO:0016567]; regulation of dendrite morphogenesis [GO:0048814]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0005737; GO:0006511; GO:0016567; GO:0030071; GO:0048814; GO:0061630; GO:0072686,1082,1514,1359,1571,2019,1624,1681,2130,2083,1970,1002,2405,1278,695,855,1925,1688,1093,1144,938,1463,1091,1776,752,697,1428,591,902
g13596,Q4G0X4,KCD21_HUMAN,KCD21_HUMAN,BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21),KCTD21,negative regulation of smoothened signaling pathway [GO:0045879]; protein homooligomerization [GO:0051260]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0006511; GO:0016567; GO:0042802; GO:0042826; GO:0045879; GO:0051260; GO:0097602,6,0,1,5,9,8,19,7,0,8,11,19,23,8,8,157,32,114,106,5,0,63,2,9,4,0,0,7
g17328,Q9HAU4,SMUF2_HUMAN,SMUF2_HUMAN,E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),SMURF2,"negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of trophoblast cell migration [GO:1901165]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]",GO:0000122; GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0016607; GO:0017015; GO:0030512; GO:0030514; GO:0042802; GO:0043161; GO:0045121; GO:0045892; GO:0046332; GO:0060071; GO:0061630; GO:0090263; GO:1901165,141,108,130,116,121,148,156,210,182,238,66,314,119,124,157,505,220,159,155,155,224,219,125,84,111,97,52,168
g4809,Q5ND34,WDR81_MOUSE,WDR81_MOUSE,WD repeat-containing protein 81,Wdr81,aggrephagy [GO:0035973]; early endosome to late endosome transport [GO:0045022]; mitochondrion organization [GO:0007005]; protein stabilization [GO:0050821]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000421; GO:0005739; GO:0005765; GO:0005829; GO:0006511; GO:0007005; GO:0010008; GO:0031901; GO:0031902; GO:0035014; GO:0035973; GO:0045022; GO:0050821; GO:0070530; GO:0141039,557,750,810,636,604,501,828,1096,159,62,182,422,190,13,140,84,165,158,249,90,40,106,663,312,235,475,296,276
g13964,P49407,ARRB1_HUMAN,ARRB1_HUMAN,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),ARRB1 ARR1,G protein-coupled receptor internalization [GO:0002031]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of receptor internalization [GO:0002092]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; stress fiber assembly [GO:0043149]; ubiquitin-dependent protein catabolic process [GO:0006511]; visual perception [GO:0007601],GO:0000139; GO:0000785; GO:0001664; GO:0001934; GO:0002031; GO:0002092; GO:0003713; GO:0004857; GO:0005096; GO:0005159; GO:0005634; GO:0005654; GO:0005737; GO:0005765; GO:0005829; GO:0005886; GO:0005905; GO:0006357; GO:0006511; GO:0007165; GO:0007601; GO:0015031; GO:0016567; GO:0016604; GO:0030659; GO:0031143; GO:0031397; GO:0031410; GO:0031625; GO:0031701; GO:0032088; GO:0032715; GO:0032717; GO:0035025; GO:0043149; GO:0043161; GO:0045746; GO:0045944; GO:0070374; GO:1990763,2153,3919,4520,3409,2708,3902,4404,3620,536,374,384,1346,929,120,298,463,572,784,467,246,206,316,2959,2135,1251,2140,1019,1643
g14365,B4F6W9,TRIPC_XENTR,TRIPC_XENTR,E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12),trip12,DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; heterochromatin boundary formation [GO:0033696]; protein polyubiquitination [GO:0000209]; regulation of embryonic development [GO:0045995]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000209; GO:0005654; GO:0006281; GO:0006511; GO:0008270; GO:0033696; GO:0045995; GO:0061630; GO:0140861,3365,2902,2940,2112,3120,2313,3117,3790,3151,3668,1783,5671,3591,933,1483,4179,3293,2798,2152,2118,2994,2305,3089,1657,1239,2736,1159,1990
g1423,Q15386,UBE3C_HUMAN,UBE3C_HUMAN,Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL),UBE3C KIAA0010 KIAA10,protein K29-linked ubiquitination [GO:0035519]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000209; GO:0000502; GO:0006511; GO:0035519; GO:0061630; GO:0070936,610,463,578,455,474,419,516,557,604,1017,232,895,707,315,166,602,1038,409,480,453,257,369,310,314,243,308,313,229
g11349,Q9P2G1,AKIB1_HUMAN,AKIB1_HUMAN,Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31),ANKIB1 KIAA1386,protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000151; GO:0000209; GO:0005737; GO:0006511; GO:0008270; GO:0031624; GO:0061630,435,378,406,259,371,293,381,497,299,331,367,1029,464,233,235,772,567,1232,468,261,362,394,328,236,122,188,234,200
