gene_id,uniprot_accession.x,gene_name.x,Entry.Name.x,Protein.names.x,Gene.Names.x,Gene.Ontology.biological.process.x,Gene.Ontology.IDs.x,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203
g20017,Q99JY8,PLPP3_MOUSE,PLPP3_MOUSE,Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b),Plpp3 Lpp3 Ppap2b,"Bergmann glial cell differentiation [GO:0060020]; blood vessel development [GO:0001568]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by integrin [GO:0033631]; ceramide metabolic process [GO:0006672]; gastrulation with mouth forming second [GO:0001702]; homotypic cell-cell adhesion [GO:0034109]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of protein phosphorylation [GO:0001933]; phospholipid dephosphorylation [GO:0046839]; phospholipid metabolic process [GO:0006644]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; protein stabilization [GO:0050821]; regulation of sphingolipid mediated signaling pathway [GO:1902068]; regulation of Wnt signaling pathway [GO:0030111]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; signal transduction [GO:0007165]; sphingosine metabolic process [GO:0006670]; wound healing [GO:0042060]",GO:0000139; GO:0001568; GO:0001702; GO:0001933; GO:0005178; GO:0005789; GO:0005794; GO:0005802; GO:0005886; GO:0006644; GO:0006670; GO:0006672; GO:0006890; GO:0007155; GO:0007165; GO:0007229; GO:0008195; GO:0010595; GO:0016020; GO:0016323; GO:0022409; GO:0030111; GO:0033116; GO:0033631; GO:0034109; GO:0042060; GO:0042392; GO:0042577; GO:0045121; GO:0046839; GO:0050731; GO:0050821; GO:0051091; GO:0060020; GO:0070971; GO:0098609; GO:0106235; GO:1902068,77,65,89,61,111,90,136,124,646,729,8159,10995,8520,202,2100,1902,2747,5514,2006,68,190,482,61,72,35,57,11,55
g14363,Q6GPF3,CUL3B_XENLA,CUL3B_XENLA,Cullin-3-B (CUL-3-B),cul3b,cell migration [GO:0016477]; COPII vesicle coating [GO:0048208]; embryonic cleavage [GO:0040016]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; integrin-mediated signaling pathway [GO:0007229]; mitotic metaphase chromosome alignment [GO:0007080]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of mitotic cell cycle phase transition [GO:1901992]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; stem cell division [GO:0017145]; stress fiber assembly [GO:0043149],GO:0000922; GO:0005634; GO:0005737; GO:0005813; GO:0005827; GO:0006513; GO:0006888; GO:0007080; GO:0007229; GO:0016477; GO:0016567; GO:0017145; GO:0031463; GO:0031625; GO:0035024; GO:0040016; GO:0043149; GO:0043161; GO:0045842; GO:0048208; GO:0072686; GO:1901992,3623,2073,2513,1749,2119,2502,2118,2246,2124,2614,1261,2987,5454,772,1011,1928,1327,1043,974,1163,874,1207,1594,1015,1020,1070,866,1071
g4022,Q9VZI3,UN112_DROME,UN112_DROME,Unc-112-related protein (Fermitin-1),Fit1 CG14991,cardiac muscle tissue development [GO:0048738]; cell-matrix adhesion [GO:0007160]; defense response to Gram-negative bacterium [GO:0050829]; integrin-mediated signaling pathway [GO:0007229],GO:0005178; GO:0005737; GO:0007160; GO:0007229; GO:0030055; GO:0048738; GO:0050829; GO:0050839,7661,13163,20613,16342,14875,19092,16857,19571,3962,5266,2138,3773,2875,2573,937,4493,2286,1228,1727,2924,3406,2457,14897,7979,9633,7301,6763,7028
g5240,Q8CFN2,CDC42_RAT,CDC42_RAT,Cell division control protein 42 homolog (EC 3.6.5.2),Cdc42,"actin cytoskeleton organization [GO:0030036]; actin filament branching [GO:0090135]; actin filament organization [GO:0007015]; adherens junction organization [GO:0034332]; cardiac conduction system development [GO:0003161]; cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:0003253]; Cdc42 protein signal transduction [GO:0032488]; cell junction assembly [GO:0034329]; cellular response to type II interferon [GO:0071346]; dendritic cell migration [GO:0036336]; dendritic spine morphogenesis [GO:0060997]; embryonic heart tube development [GO:0035050]; endocytosis [GO:0006897]; endothelin receptor signaling pathway involved in heart process [GO:0086101]; establishment of cell polarity [GO:0030010]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of Golgi localization [GO:0051683]; establishment of localization in cell [GO:0051649]; establishment or maintenance of apical/basal cell polarity [GO:0035088]; establishment or maintenance of cell polarity [GO:0007163]; filopodium assembly [GO:0046847]; Golgi organization [GO:0007030]; heart contraction [GO:0060047]; heart process [GO:0003015]; integrin-mediated signaling pathway [GO:0007229]; modification of synaptic structure [GO:0099563]; modulation by host of viral process [GO:0044788]; negative regulation of protein-containing complex assembly [GO:0031333]; neuron fate determination [GO:0048664]; neuropilin signaling pathway [GO:0038189]; nuclear migration [GO:0007097]; nucleus localization [GO:0051647]; organelle transport along microtubule [GO:0072384]; phagocytosis, engulfment [GO:0006911]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cytokinesis [GO:0032467]; positive regulation of DNA replication [GO:0045740]; positive regulation of epithelial cell proliferation involved in lung morphogenesis [GO:0060501]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of JNK cascade [GO:0046330]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of pinocytosis [GO:0048549]; positive regulation of pseudopodium assembly [GO:0031274]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of synapse structural plasticity [GO:0051835]; protein localization [GO:0008104]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of exocytosis [GO:0017157]; regulation of filopodium assembly [GO:0051489]; regulation of lamellipodium assembly [GO:0010591]; regulation of mitotic nuclear division [GO:0007088]; regulation of modification of postsynaptic structure [GO:0099159]; regulation of postsynapse organization [GO:0099175]; regulation of stress fiber assembly [GO:0051492]; response to glucose [GO:0009749]; sprouting angiogenesis [GO:0002040]; submandibular salivary gland formation [GO:0060661]",GO:0000139; GO:0000322; GO:0002040; GO:0003015; GO:0003161; GO:0003253; GO:0003924; GO:0003925; GO:0005525; GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0005911; GO:0006897; GO:0006911; GO:0007015; GO:0007030; GO:0007088; GO:0007097; GO:0007163; GO:0007229; GO:0008104; GO:0009749; GO:0010591; GO:0010592; GO:0016020; GO:0017119; GO:0017157; GO:0019901; GO:0030010; GO:0030036; GO:0030141; GO:0030175; GO:0030307; GO:0030335; GO:0030496; GO:0030742; GO:0031252; GO:0031256; GO:0031258; GO:0031274; GO:0031333; GO:0031435; GO:0031996; GO:0032427; GO:0032467; GO:0032488; GO:0032956; GO:0032991; GO:0034191; GO:0034329; GO:0034332; GO:0035050; GO:0035088; GO:0036336; GO:0036464; GO:0038189; GO:0042802; GO:0042995; GO:0043005; GO:0043025; GO:0043197; GO:0043410; GO:0043525; GO:0044788; GO:0045177; GO:0045198; GO:0045335; GO:0045740; GO:0046330; GO:0046847; GO:0048549; GO:0048664; GO:0051233; GO:0051489; GO:0051491; GO:0051492; GO:0051496; GO:0051647; GO:0051649; GO:0051683; GO:0051835; GO:0051897; GO:0051988; GO:0060047; GO:0060501; GO:0060661; GO:0060997; GO:0061630; GO:0071346; GO:0071944; GO:0072384; GO:0072686; GO:0086101; GO:0090135; GO:0090316; GO:0098685; GO:0098794; GO:0098978; GO:0099159; GO:0099175; GO:0099563; GO:1900026,6,0,0,0,13,0,0,0,440,825,49,109,109,116,74,162,119,144,177,5,252,545,0,5,0,5,0,0
g68,Q03001,DYST_HUMAN,DYST_HUMAN,Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein),DST BP230 BP240 BPAG1 DMH DT KIAA0728,cell adhesion [GO:0007155]; cell motility [GO:0048870]; cytoskeleton organization [GO:0007010]; hemidesmosome assembly [GO:0031581]; integrin-mediated signaling pathway [GO:0007229]; intermediate filament cytoskeleton organization [GO:0045104]; maintenance of cell polarity [GO:0030011]; microtubule cytoskeleton organization [GO:0000226]; response to wounding [GO:0009611]; retrograde axonal transport [GO:0008090]; wound healing [GO:0042060],GO:0000226; GO:0001725; GO:0003779; GO:0005178; GO:0005198; GO:0005509; GO:0005604; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005789; GO:0005829; GO:0005882; GO:0005925; GO:0005938; GO:0007010; GO:0007155; GO:0007229; GO:0008017; GO:0008090; GO:0009611; GO:0009925; GO:0015629; GO:0015630; GO:0016020; GO:0030011; GO:0030018; GO:0030056; GO:0030424; GO:0031252; GO:0031410; GO:0031581; GO:0031673; GO:0035371; GO:0042060; GO:0042803; GO:0045104; GO:0045111; GO:0048870; GO:0051010; GO:1904115,50,273,295,263,241,333,285,489,23,21,4,70,35,4,16,14,100,111,113,45,77,136,866,369,184,381,323,385
g9859,B0FYY4,ITB1_SHEEP,ITB1_SHEEP,Integrin beta-1 (Fibronectin receptor subunit beta) (Integrin subunit beta-1) (VLA-4 subunit beta) (CD antigen CD29),ITGB1,cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; integrin-mediated signaling pathway [GO:0007229]; muscle organ development [GO:0007517]; myoblast differentiation [GO:0045445]; myoblast fusion [GO:0007520]; negative regulation of vasoconstriction [GO:0045906]; positive regulation of cell migration [GO:0030335]; positive regulation of protein localization to plasma membrane [GO:1903078]; receptor internalization [GO:0031623]; regulation of collagen catabolic process [GO:0010710],GO:0001968; GO:0005925; GO:0007229; GO:0007517; GO:0007520; GO:0009986; GO:0010710; GO:0016020; GO:0016477; GO:0019960; GO:0030027; GO:0030335; GO:0031623; GO:0032587; GO:0033627; GO:0034679; GO:0042470; GO:0043236; GO:0045445; GO:0045906; GO:0046872; GO:0046982; GO:0055037; GO:0071404; GO:0098639; GO:0098640; GO:1903078,2138,4279,4607,4897,3100,3907,3922,4733,492,430,308,1841,846,163,494,450,867,935,841,307,489,311,3607,2150,1611,3048,2660,2233
g9829,A2ARA8,ITA8_MOUSE,ITA8_MOUSE,Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain],Itga8,cell adhesion mediated by integrin [GO:0033627]; cell projection organization [GO:0030030]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; establishment of protein localization [GO:0045184]; extracellular matrix organization [GO:0030198]; inner ear morphogenesis [GO:0042472]; integrin-mediated signaling pathway [GO:0007229]; memory [GO:0007613]; mesodermal cell differentiation [GO:0048333]; metanephros development [GO:0001656]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; smooth muscle cell differentiation [GO:0051145]; smooth muscle tissue development [GO:0048745]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179],GO:0001656; GO:0005178; GO:0005783; GO:0005886; GO:0007160; GO:0007179; GO:0007229; GO:0007399; GO:0007613; GO:0008305; GO:0009897; GO:0030030; GO:0030198; GO:0030511; GO:0032591; GO:0033627; GO:0034446; GO:0042472; GO:0043204; GO:0045177; GO:0045184; GO:0045944; GO:0046872; GO:0048333; GO:0048745; GO:0051145; GO:0098609; GO:0098839; GO:0098978,82877,169985,215883,196532,241220,202593,183501,215042,53076,71348,30875,34231,44133,21615,10998,33991,20887,11266,17184,45209,23517,28558,134583,110162,126134,99300,100362,80273
g63,Q03001,DYST_HUMAN,DYST_HUMAN,Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein),DST BP230 BP240 BPAG1 DMH DT KIAA0728,cell adhesion [GO:0007155]; cell motility [GO:0048870]; cytoskeleton organization [GO:0007010]; hemidesmosome assembly [GO:0031581]; integrin-mediated signaling pathway [GO:0007229]; intermediate filament cytoskeleton organization [GO:0045104]; maintenance of cell polarity [GO:0030011]; microtubule cytoskeleton organization [GO:0000226]; response to wounding [GO:0009611]; retrograde axonal transport [GO:0008090]; wound healing [GO:0042060],GO:0000226; GO:0001725; GO:0003779; GO:0005178; GO:0005198; GO:0005509; GO:0005604; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005789; GO:0005829; GO:0005882; GO:0005925; GO:0005938; GO:0007010; GO:0007155; GO:0007229; GO:0008017; GO:0008090; GO:0009611; GO:0009925; GO:0015629; GO:0015630; GO:0016020; GO:0030011; GO:0030018; GO:0030056; GO:0030424; GO:0031252; GO:0031410; GO:0031581; GO:0031673; GO:0035371; GO:0042060; GO:0042803; GO:0045104; GO:0045111; GO:0048870; GO:0051010; GO:1904115,984,2500,3508,3582,2370,3526,4400,7004,485,366,130,1095,261,39,399,308,1067,1744,1858,926,961,3009,13077,5458,2783,5339,2484,6006
g23499,Q61001,LAMA5_MOUSE,LAMA5_MOUSE,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),Lama5,animal organ morphogenesis [GO:0009887]; axon guidance [GO:0007411]; branching involved in salivary gland morphogenesis [GO:0060445]; branching involved in ureteric bud morphogenesis [GO:0001658]; branching morphogenesis of an epithelial tube [GO:0048754]; cilium assembly [GO:0060271]; hair follicle development [GO:0001942]; integrin-mediated signaling pathway [GO:0007229]; kidney development [GO:0001822]; lung development [GO:0030324]; morphogenesis of a polarized epithelium [GO:0001738]; morphogenesis of embryonic epithelium [GO:0016331]; muscle organ development [GO:0007517]; neural crest cell migration [GO:0001755]; odontogenesis of dentin-containing tooth [GO:0042475]; postsynapse organization [GO:0099173]; protein localization to plasma membrane [GO:0072659]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; regulation of epithelial cell proliferation [GO:0050678]; skeletal system morphogenesis [GO:0048705]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888]; trunk neural crest cell migration [GO:0036484],GO:0001658; GO:0001738; GO:0001755; GO:0001822; GO:0001942; GO:0005178; GO:0005201; GO:0005576; GO:0005604; GO:0005610; GO:0005615; GO:0007229; GO:0007411; GO:0007517; GO:0009887; GO:0009888; GO:0016331; GO:0030155; GO:0030324; GO:0030334; GO:0031012; GO:0031594; GO:0034446; GO:0036484; GO:0042475; GO:0043083; GO:0043259; GO:0045995; GO:0048705; GO:0048754; GO:0050678; GO:0060271; GO:0060445; GO:0062023; GO:0072659; GO:0098965; GO:0098978; GO:0099173,1506,4711,5427,4954,6242,5315,5389,8594,2290,1733,2370,3044,1906,572,946,1714,1014,855,1295,1461,1334,687,6281,3652,2820,2930,3576,2815
g19545,Q66H76,PAXI_RAT,PAXI_RAT,Paxillin,Pxn,branching morphogenesis of an epithelial tube [GO:0048754]; cell migration [GO:0016477]; cellular response to reactive oxygen species [GO:0034614]; cytoskeleton organization [GO:0007010]; endothelial cell migration [GO:0043542]; focal adhesion assembly [GO:0048041]; growth hormone receptor signaling pathway [GO:0060396]; integrin-mediated signaling pathway [GO:0007229]; lamellipodium assembly [GO:0030032]; positive regulation of angiogenesis [GO:0045766]; positive regulation of stress fiber assembly [GO:0051496]; regulation of cell shape [GO:0008360]; response to peptide [GO:1901652]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179],GO:0001725; GO:0005078; GO:0005178; GO:0005886; GO:0005911; GO:0005925; GO:0005938; GO:0007010; GO:0007179; GO:0007229; GO:0008013; GO:0008360; GO:0016477; GO:0017166; GO:0019901; GO:0019903; GO:0030027; GO:0030032; GO:0031252; GO:0034446; GO:0034614; GO:0038191; GO:0043542; GO:0044877; GO:0045766; GO:0046872; GO:0048041; GO:0048754; GO:0051435; GO:0051496; GO:0060396; GO:1901652,6556,9599,15655,11543,17933,13621,17215,16184,5007,7079,2574,5082,3460,798,1105,2505,2506,1390,2040,4039,2785,1793,17549,10566,9660,10401,5567,7658
