gene_id,uniprot_accession.x,gene_name.x,Entry.Name.x,Protein.names.x,Gene.Names.x,Gene.Ontology.biological.process.x,Gene.Ontology.IDs.x,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203
g15976,Q92542,NICA_HUMAN,NICA_HUMAN,Nicastrin,NCSTN KIAA0253 UNQ1874/PRO4317,adult behavior [GO:0030534]; amyloid precursor protein biosynthetic process [GO:0042983]; amyloid precursor protein catabolic process [GO:0042987]; amyloid precursor protein metabolic process [GO:0042982]; amyloid-beta formation [GO:0034205]; cellular response to calcium ion [GO:0071277]; central nervous system myelination [GO:0022010]; cerebellum development [GO:0021549]; epithelial cell proliferation [GO:0050673]; G protein-coupled dopamine receptor signaling pathway [GO:0007212]; glutamate receptor signaling pathway [GO:0007215]; learning or memory [GO:0007611]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; myeloid cell homeostasis [GO:0002262]; neuron apoptotic process [GO:0051402]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; positive regulation of amyloid precursor protein biosynthetic process [GO:0042986]; positive regulation of endopeptidase activity [GO:0010950]; protein processing [GO:0016485]; proteolysis [GO:0006508]; regulation of long-term synaptic potentiation [GO:1900271]; short-term synaptic potentiation [GO:1990926]; T cell proliferation [GO:0042098],GO:0000139; GO:0002262; GO:0005765; GO:0005769; GO:0005783; GO:0005789; GO:0005794; GO:0005886; GO:0005925; GO:0006508; GO:0006509; GO:0007212; GO:0007215; GO:0007219; GO:0007220; GO:0007611; GO:0008021; GO:0010008; GO:0010950; GO:0016020; GO:0016485; GO:0021549; GO:0022010; GO:0030534; GO:0030674; GO:0031293; GO:0034205; GO:0035577; GO:0042098; GO:0042383; GO:0042470; GO:0042500; GO:0042734; GO:0042982; GO:0042983; GO:0042986; GO:0042987; GO:0050673; GO:0051117; GO:0051402; GO:0070062; GO:0070765; GO:0070851; GO:0071277; GO:1900271; GO:1990926,1653,2990,4337,3815,4876,4572,3651,3757,3401,4839,2439,3672,3711,3295,1552,6571,3299,2106,1812,3291,2703,2322,2400,1582,2115,1814,1612,1524
g19177,P48052,CBPA2_HUMAN,CBPA2_HUMAN,Carboxypeptidase A2 (EC 3.4.17.15),CPA2,protein catabolic process in the vacuole [GO:0007039]; proteolysis [GO:0006508],GO:0004180; GO:0004181; GO:0005576; GO:0005615; GO:0005773; GO:0006508; GO:0007039; GO:0008270,1313,12,8,15,7,1588,8,60,3178,39,45,648,171,569,525,8084,601,7678,34428,102,274,40983,57,476,1915,190,1063,901
g19176,P00730,CBPA1_BOVIN,CBPA1_BOVIN,Carboxypeptidase A1 (EC 3.4.17.1),CPA1 CPA,leukotriene metabolic process [GO:0006691]; proteolysis [GO:0006508],GO:0004181; GO:0005615; GO:0006508; GO:0006691; GO:0008270,402,8,0,0,8,347,0,33,1433,23,15,288,31,95,88,3223,218,1949,6377,19,164,17052,19,96,454,120,382,231
g2736,Q5I0D7,PEPD_RAT,PEPD_RAT,Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase),Pepd,collagen catabolic process [GO:0030574]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508],GO:0006508; GO:0008233; GO:0030145; GO:0030574; GO:0043069; GO:0070006; GO:0102009,5317,6171,6926,6289,12052,10701,6966,9130,10953,6033,17155,11340,8655,1697,4217,4381,2738,3493,4338,2702,1292,2562,9741,10021,7300,4272,10045,5334
g13145,P08594,AQL1_THEAQ,AQL1_THEAQ,Aqualysin-1 (EC 3.4.21.111) (Aqualysin-I),pstI,proteolysis [GO:0006508],GO:0004252; GO:0005615; GO:0006508,293,265,249,525,273,592,525,626,40,50,35,25,37,0,25,18,21,53,8,21,30,14,307,246,170,287,420,162
g11371,Q9QX15,CA3A1_MOUSE,CA3A1_MOUSE,Calcium-activated chloride channel regulator 3A-1 (EC 3.4.-.-),Clca3a1 Clca1,chloride transport [GO:0006821]; proteolysis [GO:0006508],GO:0005229; GO:0005886; GO:0006508; GO:0006821; GO:0008237; GO:0046872,50,51,77,0,11,160,505,54,444,698,4506,1945,1695,467,545,1925,1494,572,854,719,288,203,190,48,33,42,11,310
g11370,Q9D7Z6,CLCA1_MOUSE,CLCA1_MOUSE,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 3) (mCLCA3) (Protein gob-5),Clca1 Clca3 Gob5,calcium ion transport [GO:0006816]; cellular response to hypoxia [GO:0071456]; chloride transport [GO:0006821]; proteolysis [GO:0006508],GO:0005229; GO:0005254; GO:0005576; GO:0005886; GO:0005902; GO:0006508; GO:0006816; GO:0006821; GO:0008237; GO:0016020; GO:0030141; GO:0042589; GO:0046872; GO:0071456,4,15,5,0,3,28,71,8,36,84,677,409,283,75,146,357,287,86,234,121,55,36,55,4,14,9,0,37
g21051,Q96LD8,SENP8_HUMAN,SENP8_HUMAN,"Sentrin-specific protease 8 (EC 3.4.22.-) (Deneddylase-1) (NEDD8-specific protease 1) (Protease, cysteine 2) (Sentrin/SUMO-specific protease SENP8)",SENP8 DEN1 NEDP1 PRSC2 FKSG8,post-translational protein modification [GO:0043687]; protein deneddylation [GO:0000338]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508],GO:0000338; GO:0005829; GO:0006508; GO:0008234; GO:0016579; GO:0019784; GO:0043687,776,1061,1227,1131,1148,1585,1055,1629,311,170,389,347,293,44,424,95,51,97,78,83,12,57,427,402,225,594,195,341
g17554,Q6ICB0,DESI1_HUMAN,DESI1_HUMAN,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Palmitoyl protein thioesterase DESI1) (EC 3.1.2.22) (Polyubiquitinated substrate transporter) (POST) (S-depalmitoylase DESI1),DESI1 FAM152B PPPDE2,protein desumoylation [GO:0016926]; protein export from nucleus [GO:0006611]; protein modification by small protein removal [GO:0070646]; proteolysis [GO:0006508]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434],GO:0005634; GO:0005829; GO:0006508; GO:0006611; GO:0008474; GO:0016926; GO:0016929; GO:0032434; GO:0032991; GO:0042802; GO:0052816; GO:0061676; GO:0070646,887,1093,1078,655,1546,887,921,1305,1230,604,1077,1482,1522,102,885,935,1485,1339,709,375,294,833,558,425,385,379,482,441
g18353,O02467,ASPG_SPOFR,ASPG_SPOFR,N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (AGA) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain],,proteolysis [GO:0006508],GO:0003948; GO:0004067; GO:0005764; GO:0006508; GO:0008798,505,616,716,528,612,706,741,799,242,139,206,293,387,64,486,249,117,150,237,168,61,109,447,410,310,444,464,446
