gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
1	g16984	42.5732532580854	-1.81200656062504	0.66079228179516	-2.74217270774169	0.00610342409756489	0.0214840052055303	34	44	0	13	6	8	141	56	77	124	52	54	sp	Q8C2A2	SEN54_MOUSE	26.298	289	186	8	310	1170	260	523	8.49e-20	94.7	Q8C2A2	reviewed	SEN54_MOUSE	tRNA-splicing endonuclease subunit Sen54 (tRNA-intron endonuclease Sen54)	Tsen54 Sen54	Mus musculus (Mouse)	525	GO:0000214; GO:0000379; GO:0005730; GO:0006397
2	g16989	1068.14286285207	0.930144085813178	0.319936567780745	2.90727656505528	0.00364590699251201	0.0139876027835596	1444	787	975	1597	1168	856	1094	1101	1104	643	651	739	sp	Q7YRK6	CX6B1_CARSF	62.069	87	29	2	1	252	1	86	3.83e-36	120	Q7YRK6	reviewed	CX6B1_CARSF	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	COX6B1 COX6B	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	86	GO:0005743; GO:0006119; GO:0045277
3	g21716	12.4131389975863	3.35172944244102	1.18332115697557	2.8324765619907	0.00461889522100612	0.0170674041878578	23	43	20	0	9	27	0	5	4	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	g21714	4.79204462190479	5.46550556767689	1.79324558599679	3.04782881405441	0.00230501195012124	0.00956068735091656	0	13	11	6	13	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	g21712	7194.43287302476	-0.638633249769945	0.242165630686154	-2.63717542394615	0.00835995865095745	0.0276565755484632	4473	5455	5657	7330	1953	4619	13008	10955	11418	11105	6691	10802	sp	P54985	PPIA_BLAGE	73.171	164	44	0	1	492	1	164	2.17e-88	258	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	GO:0003755; GO:0005737; GO:0006457; GO:0043231
6	g21713	1582.92353049577	2.54784798479592	0.580569616192163	4.38853139009708	1.1411866532543e-05	0.000102923515898453	2206	6182	3634	178	437	2679	845	545	393	576	382	691	sp	Q8TDM6	DLG5_HUMAN	34.563	732	353	15	310	2409	158	795	1.74e-107	387	Q8TDM6	reviewed	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919	GO:0001837; GO:0005737; GO:0005886; GO:0005912; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060563; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609; GO:0098978; GO:0099173
7	g21710	1969.5260086036	1.2778623470401	0.501719328071695	2.54696655189951	0.0108663847983991	0.0343322210183315	2916	1200	1062	852	4051	2204	1436	1624	1053	1720	1092	1414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	g21719	30.1347946203639	2.08516251053588	0.729105850975754	2.85988997035935	0.00423788015928135	0.0158575623542506	48	88	56	9	14	53	16	22	7	9	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	g7659	1086.58628382577	1.80419468598691	0.62902366444317	2.86824612168452	0.00412754308971042	0.0155413666054671	566	3411	2282	175	191	2673	636	659	545	514	773	344	sp	Q9Y2H1	ST38L_HUMAN	72.234	461	115	5	28	1398	13	464	0	676	Q9Y2H1	reviewed	ST38L_HUMAN	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	Homo sapiens (Human)	464	GO:0000287; GO:0003779; GO:0004674; GO:0005524; GO:0005737; GO:0005829; GO:0006468; GO:0010507; GO:0015629; GO:0016020; GO:0035556; GO:0051128; GO:0098978; GO:0099173; GO:0106310
10	g15181	3319.56899233365	2.77714663766482	0.499705832400324	5.55756298525649	2.7356728019417e-08	4.97688377587115e-07	3925	1314	2046	7340	6081	5438	1141	882	643	1140	1376	914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	g15182	767.351797230135	2.20304006989375	0.672728192463399	3.27478481588032	0.00105742486147927	0.00498760738436136	397	247	329	2146	1698	529	257	649	381	210	168	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	g15183	630.03336478941	-0.851629354705675	0.178256084898924	-4.77756119903886	1.77434056825512e-06	2.00134526470626e-05	449	396	611	381	225	297	1278	1079	656	1125	858	961	sp	Q62432	SMAD2_MOUSE	72.163	467	98	4	1	1305	1	467	0	624	Q62432	reviewed	SMAD2_MOUSE	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (mMad2) (SMAD family member 2) (SMAD 2) (Smad2)	Smad2 Madh2 Madr2	Mus musculus (Mouse)	467	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003140; GO:0003180; GO:0003184; GO:0003203; GO:0003677; GO:0003682; GO:0003690; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006355; GO:0007179; GO:0007352; GO:0007369; GO:0007389; GO:0007492; GO:0007507; GO:0008283; GO:0008285; GO:0009653; GO:0009749; GO:0009791; GO:0009880; GO:0009952; GO:0010628; GO:0010629; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030154; GO:0030324; GO:0030325; GO:0030513; GO:0031016; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042802; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0048156; GO:0048340; GO:0048589; GO:0048617; GO:0048701; GO:0060039; GO:0060395; GO:0061629; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0071142; GO:0071144; GO:0071333; GO:0071559; GO:0071895; GO:0097718; GO:0140297
13	g7651	360.758726627261	1.5672505308692	0.31636010219109	4.95400816984986	7.27001518208064e-07	9.09230519688214e-06	391	461	535	358	500	371	212	147	159	262	239	284	sp	Q4V920	PACN1_DANRE	44.889	450	228	6	1	1305	1	445	1.07e-134	397	Q4V920	reviewed	PACN1_DANRE	Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1)	pacsin1b pacsin1	Danio rerio (Zebrafish) (Brachydanio rerio)	445	GO:0005543; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0006897; GO:0007010; GO:0007015; GO:0030100; GO:0030659; GO:0032587; GO:0043005; GO:0045202; GO:0048812; GO:0060088; GO:0060271; GO:0097320; GO:1900006
14	g7656	218.743117682241	1.94046798341619	0.403874252304816	4.80463404721246	1.55034804762538e-06	1.77492483866553e-05	394	93	254	260	299	371	189	134	62	86	108	96	sp	Q9D8N3	TM86A_MOUSE	40.491	163	93	3	10	495	8	167	4.61e-25	100	Q9D8N3	reviewed	TM86A_MOUSE	Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A)	Tmem86a	Mus musculus (Mouse)	241	GO:0005789; GO:0006629; GO:0016020; GO:0016787; GO:0047408
