baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g8558.t1	1425.59111801166	1.20403997357081	0.256864959569766	4.6874434550649	2.76639100629131e-06	0.00215601449466319
g10892.t1	14.1429529188142	6.82585145150417	1.80421626974129	3.783277850877	0.000154776468629268	0.0361038156639371
g12205.t1	126.18730286596	2.23786400905132	0.567700971641498	3.94197671105015	8.08128249822089e-05	0.0229009265650959
g3730.t1	583.916726997189	-0.613817775854036	0.121616780218389	-5.0471470692761	4.48456142715654e-07	0.000513983499098341
g5374.t2	31.0874373169495	8.06490022298491	1.69248612788964	4.76512042851483	1.88740886230918e-06	0.00159888149014052
g17510.t1	25.5922295122051	5.15327163606851	1.3855195245225	3.71937857594935	0.000199713527363111	0.0436427318154623
g14914.t3	24.9123994021687	7.82909880812619	1.67903047809098	4.66286878665103	3.11831589158942e-06	0.00225122811741143
g1748.t1	670.129384055745	-1.62924241481054	0.381834022314758	-4.26688644697957	1.98219987555357e-05	0.00919551961316326
g8977.t1	91.222272485061	4.62671743307095	1.05992429581451	4.36513952113485	1.27041645163854e-05	0.00728023357168389
g11899.t1	731.451457515778	1.85458138361551	0.431256623375011	4.30041252259866	1.70480458454276e-05	0.00851702885262336
g23101.t1	59.2841981712825	-2.24877488721791	0.551581411601843	-4.07695915764684	4.56285036724396e-05	0.0173707951316209
g11893.t1	55.2382072352368	7.01557528778513	1.27606954222754	5.49780012423033	3.84558454120096e-08	6.24394743339663e-05
g23103.t1	293.657889574639	-2.00292184000186	0.5042269661085	-3.97226244256613	7.11932211237739e-05	0.0218540593425334
g623.t1	201.07548557038	-2.35941080627191	0.484525321780308	-4.86953044600981	1.11863747607529e-06	0.00107490015723614
g8019.t3	9.8671369410399	6.43678036871913	1.28024963793793	5.02775410199428	4.96257662532946e-07	0.000537171349821774
g14335.t1	61.267636662728	-7.39189824571993	1.88017513278399	-3.931494527733	8.4419418198646e-05	0.0234975420597488
g15793.t1	102.402781091387	3.06130017775201	0.72026607293398	4.25023514613413	2.13546210543198e-05	0.00945621446869018
g3035.t1	8.21939544572944	6.32127980268084	1.11552671214499	5.66663239334354	1.45631315303422e-08	2.83748054737188e-05
g13468.t1	209.966453762334	5.37580886829653	1.15291897933476	4.66278113610239	3.11964479419568e-06	0.00225122811741143
g17027.t1	146.34160370158	-2.12124273029907	0.538116460410314	-3.94197703724138	8.08127150507674e-05	0.0229009265650959
g22932.t2	59.6324572621141	9.14914415803335	2.13795324585304	4.27939393706566	1.87402915412555e-05	0.00912839600974558
g3945.t1	11.5913345135368	6.23958994981219	1.43489020980277	4.34847900360952	1.37084939710779e-05	0.00741934157034674
g14021.t2	27.6615629263125	7.95291986680087	1.53607793925926	5.17741949385458	2.24975972920285e-07	0.000292228790425255
g19209.t1	20.2046666657248	3.87868999068622	1.04349695014822	3.71701133399123	0.000201593402966106	0.0436427318154623
g21696.t1	169.765896359195	-1.18640873359454	0.299167830611039	-3.96569621530278	7.31820210466673e-05	0.0218540593425334
g22789.t1	7.39027689226739	5.73561186039634	1.44338839645145	3.97371343326388	7.07606916429357e-05	0.0218540593425334
g20804.t1	32.0525495758927	7.98327191604884	1.84476546535982	4.32752675933887	1.50793029853152e-05	0.00773171419383897
g11256.t1	16.9572968222984	6.7930374082403	1.48140063179753	4.58555050027056	4.52791811336128e-06	0.00304213643174935
g5067.t1	8.66151072167043	6.18066584992762	1.05729827967037	5.8457163591097	5.04392871348534e-09	1.0919545228172e-05
g6847.t1	1180.75215882297	-0.579393353341864	0.136540688227599	-4.24337507641734	2.20182965952035e-05	0.00953343313024324
g11097.t1	243.356860350405	2.41417178499498	0.606735423849066	3.9789530825145	6.92193976183349e-05	0.0218540593425334
g8676.t2	120.994079794039	-25.3237343864271	3.0583748533002	-8.28012771524752	1.23043247149794e-16	4.79474925493316e-13
g16046.t1	565.284546702964	2.96780526543923	0.69760928716741	4.2542513696883	2.09749571610034e-05	0.00945621446869018
g17488.t1	15.4310077878658	5.31625947664563	1.07447796010774	4.94776037668802	7.50722458356051e-07	0.000769846125189963
g8842.t1	938.742656596627	2.46996254749036	0.563282786522361	4.38494235327092	1.16016497915805e-05	0.00706395451684858
g10898.t1	64.6992070826944	5.82980722862799	1.34322055765952	4.34017123649899	1.42371727918592e-05	0.00749721823450231
g12821.t1	450.297436615593	-27.3623795530373	3.00374990692431	-9.10940670858147	8.28336989495553e-20	1.61393179033313e-15
g17719.t1	257.743061672569	2.2544762309128	0.556413254295039	4.05180181009376	5.0824709821596e-05	0.0180048844757087
g3867.t3	18.1291754387014	2.89330520199822	0.697794241503999	4.1463586683692	3.37804529981959e-05	0.0140037946003585
g14601.t1	165.414994154586	8.44684852061402	2.06609210189641	4.08832138357282	4.34505913805446e-05	0.0172773739277251
g23158.t1	41.2675777335231	3.92070968372859	0.806298955503052	4.86260047463716	1.15853537784638e-06	0.00107490015723614
g16461.t1	316.3960136469	-3.22996598753164	0.8266307842275	-3.90738652510999	9.32998351832277e-05	0.0252479720654168
g8557.t1	266.658175673508	1.0570343635932	0.242552002703757	4.35797005100066	1.31274341810536e-05	0.00730785507381853
g22586.t1	57.0410476407534	4.21321515823987	0.798331597534302	5.27752524296001	1.30940171689596e-07	0.000196249100400007
g10994.t1	26.2961765349229	5.83736196511348	1.44547635336859	4.03836558896994	5.38249205964611e-05	0.0186713879622384
g9821.t1	6.15161466703463	5.6220427437593	1.46710004291294	3.8320786444779	0.000127065103993544	0.0321524218988339
g3840.t1	37.3808784012868	4.94250848948764	1.29357066578341	3.82082604392887	0.000133005444093163	0.0328035199077367
g23108.t1	2252.419761047	-1.82276361939131	0.44798327986696	-4.06882064869167	4.72517009841875e-05	0.0173707951316209
g18086.t1	292.177173164375	0.885535252780739	0.193445735562024	4.57769332680281	4.70131235944519e-06	0.00305334566704767
g1067.t2	48.8228629358186	8.57096407598657	2.10292951571707	4.07572579676498	4.58710466851792e-05	0.0173707951316209
g535.t2	238.541193237685	3.98612652288039	1.0666047261522	3.73721063215275	0.000186073041719898	0.0420136593359051
g1623.t1	360.218847360206	1.75898829707738	0.442941287977216	3.97115451826622	7.15251677192168e-05	0.0218540593425334
g12314.t1	32.8713215507592	7.18339868420253	1.27935778235338	5.61484737364761	1.96735820753585e-08	3.48472793778442e-05
g16982.t1	22.7567459688395	5.46211566818504	1.29438598981581	4.21985073321313	2.44464124686139e-05	0.0103546500117059
g9649.t1	9686.97412335491	-2.19362315909424	0.560550659501381	-3.91333614886031	9.10296756827071e-05	0.024980594380308
g11353.t1	4480.20322030054	-1.58630850827343	0.349847703212059	-4.53428304290423	5.77994783525278e-06	0.00363279043942146
g5017.t1	11.5155527714754	3.97481323622192	1.0502999459312	3.78445533737302	0.000154045567020833	0.0361038156639371
g3934.t1	32.5676285950584	4.29555265076674	1.08993077854021	3.94112427627739	8.11005919211466e-05	0.0229009265650959
g15820.t1	131.905485260575	2.90687692231697	0.759564056545419	3.82703327950742	0.000129696985472957	0.0323976418583986
g23378.t1	200.522641318522	8.12396115176882	2.17499964601705	3.73515516043681	0.000187599484819531	0.0420136593359051
g23472.t1	13.9414712447065	5.83978656319251	1.54599508393514	3.77736425159132	0.000158496843107701	0.0363312057777699
g16019.t1	1175.94166618743	3.41428913834439	0.841849304409073	4.05570108624252	4.99841488321321e-05	0.0180048844757087
g23104.t1	1407.92029667908	-1.96875872216194	0.496790819636319	-3.96295310690966	7.40283266581401e-05	0.0218540593425334
g14901.t1	63.2941230750128	9.24038693059312	2.38007982693316	3.88238529902578	0.000103436810590354	0.0276077098293488
g1326.t1	5424.78555522366	4.37958218993049	1.08542193384277	4.03491218795004	5.46227219178602e-05	0.0186713879622384
g241.t3	44.5224098217257	5.80131000957281	1.12016246064729	5.17898984600902	2.23090610717917e-07	0.000292228790425255
g6700.t1	14041.63126766	-1.42995169513964	0.360492754299681	-3.9666586306778	7.28872706280202e-05	0.0218540593425334
g10969.t1	1137.81662830756	5.11797361164279	1.32701174966295	3.85676585979192	0.000114897121750142	0.0298487402690636
g23094.t1	42.4432410667289	-1.81510513771663	0.443314735807589	-4.0943938721325	4.23274236911291e-05	0.0171814067332908
g362.t1	1493.74967944922	0.544260149638662	0.146014615901825	3.72743609451128	0.000193437587387238	0.0428288403710562
g20825.t2	213.787996957989	7.81696423843558	2.03170280500888	3.84749394407683	0.000119332226000958	0.0305930143605614
g15129.t1	245.495513545194	3.68584857515341	0.997536763725486	3.69495011029762	0.000219929966485862	0.0470891809561597
g19065.t1	37.9579317882544	-1.24578064385753	0.268975103942659	-4.63158346477713	3.62879652796942e-06	0.00252512398396272
g782.t1	965.047951498212	6.28753440353786	1.6625444411627	3.7818744857976	0.000155651843346885	0.0361038156639371
g10608.t1	2344.9062195141	5.92174584315194	1.35518429730296	4.36969780046685	1.24418597163393e-05	0.00728023357168389
g5607.t1	251.384689159593	24.6012972831167	2.92930360240318	8.39834330007102	4.52821713491271e-17	2.20569456641598e-13
g2330.t1	14.0736110288989	6.13077688199484	1.43586724054572	4.26973797359202	1.95702743195858e-05	0.00919551961316326
g6661.t1	9.76439271993197	6.43020611599666	1.2507744298135	5.14097983035633	2.73309395532837e-07	0.000332822516410112
g20615.t1	18.2548630550915	-4.85512140104971	1.01458607508265	-4.78532233024607	1.70713141162761e-06	0.00151189765564328
