gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,PSC.56,PSC.52,PSC.54,PSC.61,PSC.64,PSC.73,PSC.76,PSC.81,PSC.59,PSC.57,PSC.69,PSC.67,PSC.71,PSC.75,PSC.78,PSC.83,V2,uniprot_accession,gene_name,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Entry,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length,Gene.Ontology.biological.process,Gene.Ontology.IDs
g8349,12.34238537,6.394438886,2.129287109,3.00308909,0.002672542,0.010136919,931,0,0,0,0,0,0,0,11,116,0,20,1708,0,0,0,sp,F1LZ52,KLHL3_RAT,39.474,114,68,1,589,927,187,300,2.59E-16,83.2,F1LZ52,reviewed,KLHL3_RAT,Kelch-like protein 3,Klhl3,Rattus norvegicus (Rat),587,distal tubule morphogenesis [GO:0072156]; gene expression [GO:0010467]; monoatomic ion homeostasis [GO:0050801]; potassium ion homeostasis [GO:0055075]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process [GO:0030163]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; renal absorption [GO:0070293]; renal sodium ion absorption [GO:0070294]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000209; GO:0003779; GO:0005829; GO:0005856; GO:0006511; GO:0010467; GO:0016567; GO:0030163; GO:0031463; GO:0043161; GO:0050801; GO:0055075; GO:0070293; GO:0070294; GO:0070936; GO:0072156; GO:0097602; GO:1990756
g17258,3964.447512,5.779773185,0.567988265,10.17586726,2.54E-24,3.74E-22,127,62,187,31,354,571,74,126,4788,3398,3982,6249,4914,3559,2216,12926,sp,O35717,SOCS2_MOUSE,40.741,189,85,3,166,732,35,196,3.29E-35,127,O35717,reviewed,SOCS2_MOUSE,Suppressor of cytokine signaling 2 (SOCS-2),Socs2,Mus musculus (Mouse),198,cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; growth hormone receptor signaling pathway [GO:0060396]; intracellular signal transduction [GO:0035556]; lactation [GO:0007595]; mammary gland alveolus development [GO:0060749]; negative regulation of growth hormone receptor signaling pathway [GO:0060400]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; positive regulation of neuron differentiation [GO:0045666]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of multicellular organism growth [GO:0040014]; response to estradiol [GO:0032355],GO:0005131; GO:0005159; GO:0005737; GO:0005942; GO:0007259; GO:0007595; GO:0016567; GO:0031466; GO:0032355; GO:0035556; GO:0040014; GO:0040015; GO:0043161; GO:0045666; GO:0046426; GO:0046854; GO:0046935; GO:0060396; GO:0060400; GO:0060749; GO:0140031; GO:1990756
g11907,6199.437359,4.630092068,0.523370421,8.846682736,9.02E-19,7.72E-17,258,295,428,273,790,2331,406,364,9445,9611,7201,9139,7206,5455,2799,13543,sp,A1Z6E0,GUS_DROME,65.108,278,89,4,19,834,1,276,5.92E-135,385,A1Z6E0,reviewed,GUS_DROME,Protein gustavus,gus CG2944,Drosophila melanogaster (Fruit fly),279,cuticle pattern formation [GO:0035017]; dorsal appendage formation [GO:0046843]; germ cell development [GO:0007281]; germ cell migration [GO:0008354]; intracellular signal transduction [GO:0035556]; oocyte anterior/posterior axis specification [GO:0007314]; pole plasm assembly [GO:0007315]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein localization [GO:0008104]; wing disc morphogenesis [GO:0007472],GO:0005634; GO:0005737; GO:0005938; GO:0007281; GO:0007314; GO:0007315; GO:0007472; GO:0008104; GO:0008354; GO:0019005; GO:0031466; GO:0035017; GO:0035556; GO:0043161; GO:0045495; GO:0045732; GO:0046843; GO:0048471; GO:0070449
g16413,3351.290782,3.93373542,0.364091442,10.80425126,3.29E-27,5.60E-25,359,661,578,216,434,1078,536,638,5367,5773,4262,4501,5209,2521,1560,5992,sp,Q6PJ21,SPSB3_HUMAN,35.545,211,114,3,58,639,104,309,1.03E-35,132,Q6PJ21,reviewed,SPSB3_HUMAN,SPRY domain-containing SOCS box protein 3 (SSB-3),SPSB3 C16orf31 SSB3,Homo sapiens (Human),355,negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936],GO:0005634; GO:0005829; GO:0010719; GO:0019005; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756
g17367,1949.715276,3.799797681,0.379960744,10.00050069,1.52E-23,2.10E-21,246,395,458,202,322,419,323,498,4976,2323,4745,5581,5415,257,794,1469,sp,Q6PJ21,SPSB3_HUMAN,53.409,176,79,2,532,1059,145,317,8.43E-57,193,Q6PJ21,reviewed,SPSB3_HUMAN,SPRY domain-containing SOCS box protein 3 (SSB-3),SPSB3 C16orf31 SSB3,Homo sapiens (Human),355,negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936],GO:0005634; GO:0005829; GO:0010719; GO:0019005; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756
g13000,30.79376605,3.695904519,0.769272009,4.804418301,1.55E-06,1.67E-05,8,15,4,0,0,6,15,0,68,29,45,228,42,8,20,11,sp,A4IF63,TRIM2_BOVIN,37.818,275,165,5,1273,2091,472,742,3.13E-53,199,A4IF63,reviewed,TRIM2_BOVIN,Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2),TRIM2,Bos taurus (Bovine),744,negative regulation of translation [GO:0017148]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of neuron apoptotic process [GO:0043523],GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0043523; GO:0061630
g5983,7377.080955,3.432797035,0.470088445,7.302449297,2.83E-13,1.12E-11,1001,1691,2528,1153,1695,1517,1947,2114,7914,8140,3751,10488,5564,8381,2312,20381,sp,Q13490,BIRC2_HUMAN,27.511,229,128,6,208,783,391,618,2.51E-17,84.7,Q13490,reviewed,BIRC2_HUMAN,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),BIRC2 API1 MIHB RNF48,Homo sapiens (Human),618,"apoptotic process [GO:0006915]; canonical NF-kappaB signal transduction [GO:0007249]; cell surface receptor signaling pathway [GO:0007166]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; negative regulation of ripoptosome assembly involved in necroptotic process [GO:1902443]; non-canonical NF-kappaB signal transduction [GO:0038061]; placenta development [GO:0001890]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein monoubiquitination [GO:1902527]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of cysteine-type endopeptidase activity [GO:2000116]; regulation of inflammatory response [GO:0050727]; regulation of innate immune response [GO:0045088]; regulation of necroptotic process [GO:0060544]; regulation of non-canonical NF-kappaB signal transduction [GO:1901222]; regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0070424]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to cAMP [GO:0051591]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]",GO:0000209; GO:0001666; GO:0001741; GO:0001890; GO:0003713; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006915; GO:0007166; GO:0007249; GO:0008270; GO:0009898; GO:0016740; GO:0031398; GO:0033209; GO:0034121; GO:0035631; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0044877; GO:0045088; GO:0045471; GO:0045595; GO:0050727; GO:0051087; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0061630; GO:0070266; GO:0070424; GO:0098770; GO:1901222; GO:1902443; GO:1902523; GO:1902524; GO:1902527; GO:2000116; GO:2000377
g642,83.58752648,3.029029814,0.731090837,4.143164788,3.43E-05,0.000253513,28,31,0,3,10,19,64,51,39,80,72,393,122,3,364,66,sp,Q28DT9,SPSB3_XENTR,38.462,208,120,5,49,663,105,307,5.04E-36,134,Q28DT9,reviewed,SPSB3_XENTR,SPRY domain-containing SOCS box protein 3 (SSB-3),spsb3 TGas007f05.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),360,negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936],GO:0005634; GO:0010719; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756
g19544,91.7155903,2.902050156,0.725221603,4.001604672,6.29E-05,0.000430694,29,79,56,0,0,21,26,30,165,21,123,165,125,32,197,199,sp,Q61382,TRAF4_MOUSE,50.647,464,220,4,1,1368,1,463,3.85E-180,515,Q61382,reviewed,TRAF4_MOUSE,TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich motif associated to RING and Traf domains protein 1),Traf4 Cart1,Mus musculus (Mouse),470,apoptotic process [GO:0006915]; innate immune response [GO:0045087]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein kinase activity [GO:0045860]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; respiratory gaseous exchange by respiratory system [GO:0007585]; respiratory tube development [GO:0030323]; signal transduction [GO:0007165],GO:0001650; GO:0005164; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007165; GO:0007585; GO:0008270; GO:0016740; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0043122; GO:0043161; GO:0045087; GO:0045860; GO:0046330; GO:0048471; GO:0050699
g22031,540.6632239,2.613545519,0.302681163,8.634648719,5.89E-18,4.57E-16,240,138,266,155,191,224,158,268,902,1252,471,902,1009,253,244,663,sp,A0A0G2JZ79,SIR1_RAT,39.744,78,39,1,172,405,396,465,2.92E-07,54.3,A0A0G2JZ79,reviewed,SIR1_RAT,NAD-dependent protein deacetylase sirtuin-1 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-),Sirt1,Rattus norvegicus (Rat),555,"angiogenesis [GO:0001525]; behavioral response to starvation [GO:0042595]; cardiac muscle cell apoptotic process [GO:0010659]; cellular response to amyloid-beta [GO:1904646]; cellular response to antibiotic [GO:0071236]; cellular response to curcumin [GO:1904644]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to organic cyclic compound [GO:0071407]; cellular response to resveratrol [GO:1904639]; cellular response to rotenone [GO:1904648]; cellular response to starvation [GO:0009267]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vitamin B3 [GO:0071303]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; DNA damage response [GO:0006974]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA synthesis involved in DNA repair [GO:0000731]; energy homeostasis [GO:0097009]; fatty acid homeostasis [GO:0055089]; heterochromatin formation [GO:0031507]; intracellular glucose homeostasis [GO:0001678]; intracellular triglyceride homeostasis [GO:0035356]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; leptin-mediated signaling pathway [GO:0033210]; macrophage differentiation [GO:0030225]; maintenance of nucleus location [GO:0051658]; muscle organ development [GO:0007517]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell cycle [GO:0045786]; negative regulation of cellular response to testosterone stimulus [GO:2000655]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of fibroblast apoptotic process [GO:2000270]; negative regulation of gene expression [GO:0010629]; negative regulation of growth hormone secretion [GO:0060125]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of protein acetylation [GO:1901984]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of triglyceride biosynthetic process [GO:0010868]; negative regulation of tumor necrosis factor production [GO:0032720]; neuron apoptotic process [GO:0051402]; ovulation from ovarian follicle [GO:0001542]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular senescence [GO:2000774]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of heart rate [GO:0010460]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of macroautophagy [GO:0016239]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein deacetylation [GO:0090312]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of skeletal muscle cell proliferation [GO:0014858]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of thyroid-stimulating hormone secretion [GO:2000614]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein depropionylation [GO:0106230]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; pyrimidine dimer repair by nucleotide-excision repair [GO:0000720]; rDNA heterochromatin formation [GO:0000183]; regulation of apoptotic process [GO:0042981]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell population proliferation [GO:0042127]; regulation of centrosome duplication [GO:0010824]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid storage [GO:0010883]; regulation of mitotic cell cycle [GO:0007346]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; regulation of smooth muscle cell apoptotic process [GO:0034391]; regulation of transcription by glucose [GO:0046015]; response to cocaine [GO:0042220]; response to ethanol [GO:0045471]; response to fluoride [GO:1902617]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to kainic acid [GO:1904373]; response to leptin [GO:0044321]; response to mycotoxin [GO:0010046]; response to nutrient levels [GO:0031667]; response to oxidative stress [GO:0006979]; response to resveratrol [GO:1904638]; single strand break repair [GO:0000012]; spermatogenesis [GO:0007283]; stress-induced premature senescence [GO:0090400]; transforming growth factor beta receptor signaling pathway [GO:0007179]; triglyceride mobilization [GO:0006642]; UV-damage excision repair [GO:0070914]; vasodilation [GO:0042311]; white fat cell differentiation [GO:0050872]",GO:0000012; GO:0000122; GO:0000183; GO:0000720; GO:0000731; GO:0000785; GO:0000791; GO:0000792; GO:0000978; GO:0001525; GO:0001542; GO:0001678; GO:0001934; GO:0001938; GO:0002039; GO:0002821; GO:0003713; GO:0003714; GO:0004407; GO:0005634; GO:0005635; GO:0005637; GO:0005654; GO:0005677; GO:0005730; GO:0005737; GO:0005739; GO:0005829; GO:0006325; GO:0006642; GO:0006974; GO:0006979; GO:0007179; GO:0007283; GO:0007346; GO:0007517; GO:0007623; GO:0008284; GO:0008630; GO:0009267; GO:0010046; GO:0010460; GO:0010629; GO:0010659; GO:0010667; GO:0010824; GO:0010868; GO:0010875; GO:0010883; GO:0010906; GO:0010976; GO:0014858; GO:0016239; GO:0016567; GO:0016605; GO:0016922; GO:0017136; GO:0019213; GO:0019899; GO:0019904; GO:0030225; GO:0030424; GO:0030426; GO:0030512; GO:0031393; GO:0031507; GO:0031648; GO:0031667; GO:0032007; GO:0032041; GO:0032720; GO:0032868; GO:0032922; GO:0032991; GO:0033210; GO:0033553; GO:0033558; GO:0034391; GO:0034979; GO:0035098; GO:0035356; GO:0035358; GO:0035774; GO:0042127; GO:0042149; GO:0042220; GO:0042311; GO:0042393; GO:0042542; GO:0042595; GO:0042632; GO:0042771; GO:0042802; GO:0042981; GO:0043065; GO:0043066; GO:0043124; GO:0043161; GO:0043398; GO:0043422; GO:0043425; GO:0043518; GO:0043524; GO:0043536; GO:0044321; GO:0045348; GO:0045471; GO:0045599; GO:0045722; GO:0045739; GO:0045766; GO:0045786; GO:0045892; GO:0045944; GO:0046015; GO:0046628; GO:0046872; GO:0046969; GO:0046970; GO:0050872; GO:0051019; GO:0051152; GO:0051402; GO:0051658; GO:0051897; GO:0051898; GO:0055089; GO:0060125; GO:0060766; GO:0060907; GO:0061051; GO:0061773; GO:0070301; GO:0070403; GO:0070577; GO:0070857; GO:0070914; GO:0071236; GO:0071303; GO:0071356; GO:0071407; GO:0071456; GO:0071479; GO:0090312; GO:0090335; GO:0090400; GO:0097009; GO:0106230; GO:0106231; GO:0140297; GO:0140861; GO:0140937; GO:0141050; GO:0160012; GO:1900181; GO:1901797; GO:1901984; GO:1902166; GO:1902176; GO:1902237; GO:1902617; GO:1903427; GO:1904179; GO:1904373; GO:1904638; GO:1904639; GO:1904644; GO:1904646; GO:1904648; GO:1990254; GO:1990830; GO:1990841; GO:2000111; GO:2000270; GO:2000614; GO:2000655; GO:2000757; GO:2000773; GO:2000774; GO:2000781
