gene_id	uniprot_accession	Gene.Ontology.IDs
g21712	P54985	GO:0003755; GO:0005737; GO:0006457; GO:0043231
g21713	Q8TDM6	GO:0001837; GO:0005737; GO:0005886; GO:0005912; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060563; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609; GO:0098978; GO:0099173
g15181	NA	NA
g15182	NA	NA
g15183	Q62432	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003140; GO:0003180; GO:0003184; GO:0003203; GO:0003677; GO:0003682; GO:0003690; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006355; GO:0007179; GO:0007352; GO:0007369; GO:0007389; GO:0007492; GO:0007507; GO:0008283; GO:0008285; GO:0009653; GO:0009749; GO:0009791; GO:0009880; GO:0009952; GO:0010628; GO:0010629; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030154; GO:0030324; GO:0030325; GO:0030513; GO:0031016; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042802; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0048156; GO:0048340; GO:0048589; GO:0048617; GO:0048701; GO:0060039; GO:0060395; GO:0061629; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0071142; GO:0071144; GO:0071333; GO:0071559; GO:0071895; GO:0097718; GO:0140297
g7651	Q4V920	GO:0005543; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0006897; GO:0007010; GO:0007015; GO:0030100; GO:0030659; GO:0032587; GO:0043005; GO:0045202; GO:0048812; GO:0060088; GO:0060271; GO:0097320; GO:1900006
g7656	Q9D8N3	GO:0005789; GO:0006629; GO:0016020; GO:0016787; GO:0047408
g15189	Q5ZLW3	GO:0005794; GO:0007030
g7654	G1T168	GO:0003723; GO:0003735; GO:0005730; GO:0022626; GO:0022627
g7655	F1RMN2	GO:0005737; GO:0005789; GO:0016020; GO:0046485; GO:0047408; GO:0047826
g14588	Q14696	GO:0001503; GO:0005783; GO:0005886; GO:0006457; GO:0006909; GO:0007498; GO:0016055; GO:0034394; GO:0042802; GO:0050750; GO:1904395
g14587	Q9C0E8	GO:0005654; GO:0005783; GO:0005789; GO:0007029; GO:0007596; GO:0016020; GO:0032330; GO:0035115; GO:0042733; GO:0042802; GO:0046872; GO:0060173; GO:0071782; GO:0071786; GO:0071788; GO:0098826; GO:1903373
g14586	P31937	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
g14585	P31937	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
g14584	A7T1N0	GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604
g10808	NA	NA
g10806	NA	NA
g10805	Q9UM22	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764
g4305	Q6P823	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
g4304	Q9UBU9	GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006406; GO:0010494; GO:0015031; GO:0016607; GO:0016973; GO:0042272; GO:0042405
g1377	P54725	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381
g1375	A3KN33	GO:0005509; GO:0005604; GO:0042995; GO:0043083; GO:0048786
g188	NA	NA
g22028	Q9UKB3	GO:0005737
g184	Q8K0G5	GO:0000938; GO:0005802; GO:0016567; GO:0032456; GO:0050796; GO:1904811; GO:1905281; GO:1990745; GO:2001137
g6684	Q80X72	GO:0001968; GO:0005518; GO:0005615; GO:0005886; GO:0009986; GO:0016324; GO:0030335; GO:0031012; GO:0043236; GO:0046597; GO:0046813; GO:0062023; GO:0140311; GO:1903077
g255	NA	NA
g257	Q80T74	
g258	O35709	GO:0000785; GO:0003779; GO:0005654; GO:0005737; GO:0005856; GO:0010499; GO:0010976; GO:0016363; GO:0016567; GO:0017148; GO:0031463; GO:0043025
g6530	Q8MSF5	GO:0004521; GO:0016020; GO:0098586
g6532	P62282	GO:0001649; GO:0003735; GO:0005730; GO:0006412; GO:0016020; GO:0019843; GO:0022626; GO:0022627; GO:0032040; GO:0042274; GO:0045202
g6533	NA	NA
g6537	Q01460	GO:0004568; GO:0005764; GO:0006032; GO:0008061; GO:0009313; GO:0016798
g15976	Q92542	GO:0000139; GO:0002262; GO:0005765; GO:0005769; GO:0005783; GO:0005789; GO:0005794; GO:0005886; GO:0005925; GO:0006508; GO:0006509; GO:0007212; GO:0007215; GO:0007219; GO:0007220; GO:0007611; GO:0008021; GO:0010008; GO:0010950; GO:0016020; GO:0016485; GO:0021549; GO:0022010; GO:0030534; GO:0030674; GO:0031293; GO:0034205; GO:0035577; GO:0042098; GO:0042383; GO:0042470; GO:0042500; GO:0042734; GO:0042982; GO:0042983; GO:0042986; GO:0042987; GO:0050673; GO:0051117; GO:0051402; GO:0070062; GO:0070765; GO:0070851; GO:0071277; GO:1900271; GO:1990926
g15978	Q8NCN5	GO:0005737; GO:0005739; GO:0005759; GO:0045253
g19475	Q9H3F6	GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260
g22731	Q9D361	GO:0005654; GO:0005689; GO:0005829; GO:0006397; GO:0008380; GO:0046872
g22734	P58375	GO:0003723; GO:0003735; GO:0022625
g6632	Q99PW8	GO:0001750; GO:0001917; GO:0003777; GO:0005524; GO:0005815; GO:0005829; GO:0005871; GO:0005874; GO:0005929; GO:0005930; GO:0007017; GO:0008017; GO:0008574; GO:0015031; GO:0015630; GO:0016192; GO:0016887; GO:0030030; GO:0031503; GO:0032391; GO:0032839; GO:0036064; GO:0042073; GO:0043005; GO:0098794; GO:0098971; GO:1990075
g8210	Q9JI85	GO:0001965; GO:0003677; GO:0005085; GO:0005164; GO:0005509; GO:0005615; GO:0005634; GO:0005640; GO:0005737; GO:0005783; GO:0005793; GO:0005797; GO:0007264; GO:0009749; GO:0032099; GO:0042594; GO:0043951; GO:0044752; GO:0045599; GO:0046321; GO:0046627; GO:0051238; GO:0070093; GO:1901142; GO:1990680; GO:2000845
g9167	Q6AZN6	GO:0005524; GO:0006914; GO:0016303; GO:0030496; GO:0032465; GO:0051301
g13913	Q6P5L7	GO:0005654; GO:0005739
g13919	NA	NA
g3157	Q80W93	GO:0002064; GO:0003341; GO:0005930; GO:0007420; GO:0021591; GO:0060438; GO:1904158; GO:1990716; GO:1990718
g9948	P10809	GO:0001530; GO:0002039; GO:0002755; GO:0002842; GO:0003688; GO:0003697; GO:0003723; GO:0003725; GO:0005524; GO:0005615; GO:0005737; GO:0005739; GO:0005743; GO:0005759; GO:0005769; GO:0005829; GO:0005886; GO:0005905; GO:0006457; GO:0006458; GO:0006919; GO:0006986; GO:0008035; GO:0008637; GO:0009409; GO:0009986; GO:0016020; GO:0016853; GO:0016887; GO:0019899; GO:0030135; GO:0030141; GO:0031625; GO:0032727; GO:0032729; GO:0032733; GO:0032735; GO:0032755; GO:0032991; GO:0034185; GO:0034186; GO:0034514; GO:0042026; GO:0042100; GO:0042110; GO:0042113; GO:0043032; GO:0043065; GO:0043066; GO:0045041; GO:0046696; GO:0048291; GO:0050821; GO:0050870; GO:0051082; GO:0051087; GO:0051131; GO:0051604; GO:0051702; GO:0070062; GO:0097225; GO:0097524; GO:0098761; GO:0140494; GO:0140662
g9945	O73817	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
g9947	Q5DC69	GO:0005524; GO:0005759; GO:0044183; GO:0046872; GO:0051082; GO:0051085; GO:0051087
g9941	Q6P6V1	GO:0000139; GO:0004653; GO:0005112; GO:0005794; GO:0006493; GO:0007220; GO:0007368; GO:0008593; GO:0018243; GO:0030246; GO:0046872; GO:0060271; GO:0061314
g6092	P58005	GO:0005634; GO:0005737; GO:0016239; GO:0016684; GO:0031932; GO:0032868; GO:0034198; GO:0038203; GO:0042149; GO:0042593; GO:0046626; GO:0051896; GO:0070728; GO:0071233; GO:1901031; GO:1904262; GO:1990253
g11668	NA	NA
g11667	NA	NA
