gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203,V2,uniprot_accession,gene_name,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Entry,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length,Gene.Ontology.biological.process,Gene.Ontology.IDs
g1377,1525.639235,1.270317323,0.30292967,4.193439759,2.75E-05,0.000218245,3221,1352,2123,1314,1512,1541,1723,1302,1334,967,479,863,sp,P54725,RD23A_HUMAN,41.912,408,172,8,1,1176,3,361,8.94E-76,242,P54725,reviewed,RD23A_HUMAN,UV excision repair protein RAD23 homolog A (HR23A) (hHR23A),RAD23A,Homo sapiens (Human),363,nucleotide-excision repair [GO:0006289]; positive regulation of cell cycle [GO:0045787]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of viral genome replication [GO:0045070]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein destabilization [GO:0031648]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434],GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381
g19475,786.8160768,2.190568155,0.328872658,6.660839994,2.72E-11,9.31E-10,1558,1176,670,1012,1250,622,381,302,415,293,310,332,sp,Q9H3F6,BACD3_HUMAN,71.483,263,68,4,88,873,28,284,2.79E-134,386,Q9H3F6,reviewed,BACD3_HUMAN,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10),KCTD10 ULR061 MSTP028,Homo sapiens (Human),313,negative regulation of Rho protein signal transduction [GO:0035024]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein homooligomerization [GO:0051260]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260
g9945,1114.189249,1.461550369,0.272165648,5.370076569,7.87E-08,1.27E-06,1762,992,1091,1913,1151,1202,804,716,808,610,737,594,sp,O73817,PSB3_ONCMY,72.683,205,37,1,1,558,1,205,5.98E-105,302,O73817,reviewed,PSB3_ONCMY,Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain),psmb3,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri),205,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
g13662,222.3821892,-0.806377827,0.231679048,-3.480581583,0.000500326,0.002643264,238,181,141,128,88,81,424,372,308,375,366,219,sp,Q5ZKD9,KLH20_CHICK,28.788,198,122,4,52,624,58,243,2.63E-10,63.2,Q5ZKD9,reviewed,KLH20_CHICK,Kelch-like protein 20,KLHL20 RCJMB04_11i2,Gallus gallus (Chicken),610,Golgi to endosome transport [GO:0006895]; negative regulation of apoptotic process [GO:0043066]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K33-linked ubiquitination [GO:1990390]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567],GO:0005737; GO:0005802; GO:0005829; GO:0006895; GO:0015031; GO:0016567; GO:0016605; GO:0019964; GO:0031463; GO:0043066; GO:0043161; GO:0048471; GO:1990390
g14478,60.73188569,-2.478275998,0.32038314,-7.735350866,1.03E-14,6.60E-13,21,17,11,21,10,15,102,125,144,120,137,100,sp,P0C2W1,FBSP1_HUMAN,72.727,220,59,1,25,681,39,258,3.93E-115,334,P0C2W1,reviewed,FBSP1_HUMAN,F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45),FBXO45 FBX45,Homo sapiens (Human),286,anterior commissure morphogenesis [GO:0021960]; cerebral cortex radially oriented cell migration [GO:0021799]; cerebral cortex tangential migration [GO:0021800]; corticospinal tract morphogenesis [GO:0021957]; DNA damage response [GO:0006974]; neuron migration [GO:0001764]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of synaptic vesicle exocytosis [GO:2000300]; synapse assembly involved in innervation [GO:0060386]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300
g14472,356.6106183,-0.90343508,0.245093605,-3.686081819,0.000227733,0.001361796,289,199,213,319,129,137,625,514,595,576,619,421,sp,Q5REY7,UBXN7_PONAB,54.088,318,133,6,1,954,1,305,6.50E-99,311,Q5REY7,reviewed,UBXN7_PONAB,UBX domain-containing protein 7,UBXN7 UBXD7,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),489,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0005654; GO:0031625; GO:0034098; GO:0043130; GO:0043161; GO:0061629
g11179,1166.977391,0.537171481,0.19378574,2.771986638,0.005571532,0.019914725,1829,1109,1248,1419,708,904,1357,979,1251,1205,1218,884,sp,Q9R1P4,PSA1_MOUSE,75.949,237,57,0,1,711,1,237,1.23E-133,382,Q9R1P4,reviewed,PSA1_MOUSE,Proteasome subunit alpha type-1 (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6),Psma1,Mus musculus (Mouse),263,immune system process [GO:0002376]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0000502; GO:0001530; GO:0002376; GO:0002862; GO:0005634; GO:0005654; GO:0005813; GO:0005829; GO:0005839; GO:0019773; GO:0043161
g6607,573.3589323,1.026715435,0.300049242,3.421823127,0.000622028,0.003177394,1142,525,636,499,498,650,527,365,689,530,230,405,sp,Q5ZK10,NSF1C_CHICK,42.298,409,188,8,13,1221,2,368,7.08E-85,266,Q5ZK10,reviewed,NSF1C_CHICK,NSFL1 cofactor p47 (p97 cofactor p47),NSFL1C RCJMB04_13o20,Gallus gallus (Chicken),369,autophagosome assembly [GO:0000045]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; membrane fusion [GO:0061025]; negative regulation of protein localization to centrosome [GO:1904780]; nuclear membrane reassembly [GO:0031468]; positive regulation of mitotic centrosome separation [GO:0046604]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0000045; GO:0000132; GO:0005634; GO:0005795; GO:0005813; GO:0005829; GO:0007030; GO:0008289; GO:0031468; GO:0043130; GO:0043161; GO:0046604; GO:0061025; GO:1904780; GO:1990730
g18476,1034.804131,1.0517391,0.193311914,5.440632591,5.31E-08,8.95E-07,1462,1387,1214,1135,910,1010,987,858,821,927,451,883,sp,Q8QG64,RBX1_SALSA,100,87,0,0,70,330,21,107,3.46E-61,185,Q8QG64,reviewed,RBX1_SALSA,E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (Hyperosmotic protein 21) (sHOP21) (RING-box protein 1) (Rbx1),rbx1 hop21,Salmo salar (Atlantic salmon),108,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein monoubiquitination [GO:0006513]; protein neddylation [GO:0045116]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146],GO:0005634; GO:0005737; GO:0006513; GO:0008270; GO:0016567; GO:0019005; GO:0031146; GO:0031463; GO:0031464; GO:0031465; GO:0031467; GO:0043161; GO:0045116; GO:0061630; GO:0061663; GO:0097602
g21244,1004.499074,1.600848527,0.313427924,5.107549153,3.26E-07,4.47E-06,3010,977,1061,1168,857,916,848,533,847,490,415,515,sp,Q9Z2U1,PSA5_MOUSE,79.253,241,50,0,1,723,1,241,3.60E-147,413,Q9Z2U1,reviewed,PSA5_MOUSE,Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain),Psma5,Mus musculus (Mouse),241,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0019773; GO:0043161
