transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_accession_ID	gene	V5	V6	V7	V8	V9	V10	V11	V12	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
g16359.t1	99.1727692502009	-0.907015523910786	0.317377350886998	-2.85784578318486	0.00426527631352983	0.016532402993508	sp|Q8QGX4|PRKDC_CHICK	41.411	3557	1921	48	106	10569	347	3809	0	2622	43	81	83	46	29	72	291	92	83	193	166	173
g21290.t1	9.66291541993617	2.48401700624149	0.954169968115785	2.60332759282575	0.00923236895244479	0.0311189161798707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	13	6	0	6	8	13	4	7	0	0	3
g12042.t1	5.6687110694822	2.77281667894874	1.12585094713659	2.46286303351339	0.0137832557853028	0.0429000916337025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	36	4	0	2	7	0	1	2	3	3	0
g3326.t1	573.15491751306	0.618189337818281	0.256475498216759	2.41032512702567	0.0159383099972605	0.0484358388555579	sp|Q8TB96|TIP_HUMAN	41.475	610	306	18	91	1866	36	612	1.62e-131	402	743	526	399	751	540	456	704	538	488	544	585	429
g18682.t1	4.23429848565288	5.02737008977051	1.23066439940288	4.08508614713304	4.40604665117359e-05	0.000355887393828198	sp|P49287|MTR1B_RAT	32.323	198	121	6	1	573	1	192	3.18e-16	79.3	2	1	8	9	11	4	0	0	0	0	1	0
g16529.t1	18.5103457376264	-2.28580397612841	0.63078849267112	-3.62372491363786	0.000290390454837191	0.00175760281474875	sp|Q5F364|MRP1_CHICK	45.841	1106	495	15	52	3144	15	1091	0	951	3	4	14	2	0	11	85	39	22	52	24	22
g23295.t2	37.3903126679932	-4.03006728921538	1.02347854014407	-3.93761777227698	8.22945439780758e-05	0.000601465909328378	sp|Q9NYQ6|CELR1_HUMAN	29.07	172	107	5	1735	2244	2470	2628	2.37e-09	65.5	0	11	0	11	0	0	73	45	64	67	205	52
g8735.t1	90.3380345625244	1.27149110259598	0.305339707435833	4.16418523903637	3.12466359740975e-05	0.000265081946435368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136	120	69	180	72	71	91	58	64	77	54	47
g12988.t1	9.29461705874977	-2.5885106567115	0.941543779444363	-2.74921964673705	0.00597373409012911	0.021809306229143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	2	0	1	1	59	17	23	13	1	15
g6188.t1	180.48922544722	-1.07711181323885	0.267670900778864	-4.02401534908984	5.72141857749764e-05	0.000442089091347292	sp|Q9Y6R4|M3K4_HUMAN	44.709	1134	520	25	1438	4650	516	1605	0	877	113	84	103	100	87	79	455	230	116	412	342	305
